type;source_sentence;target_sentence;generated_text;score
0;64 tys. km.;64 tys. km.;64 tys. km.;1
1;Nowelizacja dokonuje następujących zmian w ustawie o wyborze Prezydenta Rzeczypospolitej Polskiej.;Nowelizacja dokonuje następujących zmian w ustawie o wyborze Osoby Prezydenckiej Rzeczypospolitej Polskiej.;Nowelizacja dokonuje następujących zmian w ustawie o wyborze Osoby Prezydenckiej Rzeczypospolitej Polskiej.;1
1;A organizatorzy starają się, by stworzyć dobrą atmosferę, w przerwie meczu częstowali nawet widzów grochówką.;A osoby organizatorskie starają się, by stworzyć dobrą atmosferę, w przerwie meczu częstowały nawet widzów grochówką.;A osoby organizatorskie starają się, by stworzyć dobrą atmosferę, w przerwie meczu częstowali nawet widzów grochówką.;1
1;Rodzinom tym przyznawane są mieszkania z puli prezydenta miasta oraz środki pieniężne na zagospodarowanie i utrzymanie.;Rodzinom tym przyznawane są mieszkania z puli osoby prezydenckiej miasta oraz środki pieniężne na zagospodarowanie i utrzymanie.;Rodzinom tym przyznawane są mieszkania z puli osoby prezydenckiej miasta oraz środki pieniężne na zagospodarowanie i utrzymanie.;1
0;Główne miasta Siedmiogrodu to Braszów, Kluż-Napoka i Sybin.;Główne miasta Siedmiogrodu to Braszów, Kluż-Napoka i Sybin.;Główne miasta Siedmiogrodu to Braszów, Kluż-Napoka i Sybin.;1
1;Sięgnął po słuchawkę, wybrał numer wewnętrzny sekretariatu, ale odezwała się tylko sprzątaczka.;Sięgnął po słuchawkę, wybrał numer wewnętrzny sekretariatu, ale odezwała się tylko osoba sprzątająca.;Sięgnął po słuchawkę, wybrał numer wewnętrzny sekretariatu, ale odezwała się tylko sprzątaczka.;0
0;Pojawienie się słowa „dinozaur” w języku potocznym odzwierciedla ich znaczenie, np. w języku angielskim słowem tym określa się coś niepraktycznie wielkiego, przestarzałego, zmierzającego ku zagładzie.;Pojawienie się słowa „dinozaur” w języku potocznym odzwierciedla ich znaczenie, np. w języku angielskim słowem tym określa się coś niepraktycznie wielkiego, przestarzałego, zmierzającego ku zagładzie.;Pojawienie się słowa „dinozaur” w języku potocznym odzwierciedla ich znaczenie, np. w języku angielskim słowem tym określa się coś niepraktycznie wielkiego, przestarzałego, zmierzającego ku zagładzie.;1
0;Włochy cechuje wyżynny i górzysty krajobraz.;Włochy cechuje wyżynny i górzysty krajobraz.;Włochy cechuje wyżynny i górzysty krajobraz.;1
1;Zeszyty dostał od nauczycielki za sprzątanie lasu.;Zeszyty dostał od osoby nauczycielskiej za sprzątanie lasu.;Zeszyty dostał od osoby nauczycielskiej za sprzątanie lasu.;1
1;Otchłanie antyku reprezentowała wówczas surowa sprawiedliwość Kreona poskramiającego zbuntowaną przeciw władzy państwowej anarchistkę.;Otchłanie antyku reprezentowała wówczas surowa sprawiedliwość Kreona poskramiającego zbuntowaną przeciw władzy państwowej osobę anarchistyczną.;Otchłanie antyku reprezentowała wówczas surowa sprawiedliwość Kreona poskramiającego zbuntowaną przeciw władzy państwowej osobę anarchistyczną.;1
0;Pisklęta albatrosów opuszczają gniazdo samodzielnie i nie otrzymują później żadnej pomocy, podczas gdy pisklęta innych gatunków są karmione nawet po tym, jak nauczyły się latać.;Pisklęta albatrosów opuszczają gniazdo samodzielnie i nie otrzymują później żadnej pomocy, podczas gdy pisklęta innych gatunków są karmione nawet po tym, jak nauczyły się latać.;Pisklęta albatrosów opuszczają gniazdo samodzielnie i nie otrzymują później żadnej pomocy, podczas gdy pisklęta innych gatunków są karmione nawet po tym, jak nauczyły się latać.;1
0;Procesy tektoniczne sprawiły, że terrany tworzące blok australijsko-antarktyczny uległy reorganizacji i scaleniu.;Procesy tektoniczne sprawiły, że terrany tworzące blok australijsko-antarktyczny uległy reorganizacji i scaleniu.;Procesy tektoniczne sprawiły, że terrany tworzące blok australijsko-antarktyczny uległy reorganizacji i scaleniu.;1
1;"O Leszku Millerze piszą wszyscy, więc napisał też subtelny artysta w ""Tygodniku Solidarność”.";"O Leszku Millerze piszą wszyscy, więc napisał też subtelna osoba artystyczna w ""Tygodniku Solidarność”.";"O Leszku Millerze piszą wszyscy, więc napisał też subtelna osoba artystyczna w ""Tygodniku Solidarność”.";1
0;Angielska wersja powstała 27 czerwca 2003 roku, polska zaś 17 lipca 2004 roku.;Angielska wersja powstała 27 czerwca 2003 roku, polska zaś 17 lipca 2004 roku.;Angielska wersja powstała 27 czerwca 2003 roku, polska zaś 17 lipca 2004 roku.;1
1;Ja pisarzem nie jestem, żeby wątpliwości najmniejszych nie było.;Ja osobą pisarską nie jestem, żeby wątpliwości najmniejszych nie było.;Ja osobą pisarską nie jestem, żeby wątpliwości najmniejszych nie było.;1
1;Ten, kto dyktuje warunki, kto powołał narratora i kto tak długo zostawiał bez odpowiedzi listy i faksy, przypomina sobie co jakiś czas o zaległych sprawach, poczynając od cieknącego kranu, a kończąc na bankowych dyspozycjach.;Ten, kto dyktuje warunki, kto powołał osobę narratorską i kto tak długo zostawiał bez odpowiedzi listy i faksy, przypomina sobie co jakiś czas o zaległych sprawach, poczynając od cieknącego kranu, a kończąc na bankowych dyspozycjach.;Osoba, która dyktuje warunki, kto powołał osobę narraterską i kto tak długo zostawiał bez odpowiedzi listy i faksy, przypomina sobie co jakiś czas o zaległych sprawach, poczynając od cieknącego kranu, a kończąc na bankowych dyspozycjach.;1
1;Rok temu elbląskie Towarzystwo Opieki nad Zwierzętami oskarżyło gospodarza o okrutne traktowanie koni.;Rok temu elbląskie Towarzystwo Opieki nad Zwierzętami oskarżyło osobę gospodarską o okrutne traktowanie koni.;Rok temu elbląskie Towarzystwo Opieki nad Zwierzętami oskarżyło osobę gospodarską o okrutne traktowanie koni.;1
1;Gołębiarz zamieszkuje na brzegach lasów w pobliżu pól uprawnych.;Osoba gołębiarska zamieszkuje na brzegach lasów w pobliżu pól uprawnych.;Osoba gołębiarska zamieszkuje na brzegach lasów w pobliżu pól uprawnych.;1
0;Jeden z najlepszych przykładów odcisków tkanek miękkich na skamielinach dinozaurów stanowi odkrycie z Pietraroja we Włoszech.;Jeden z najlepszych przykładów odcisków tkanek miękkich na skamielinach dinozaurów stanowi odkrycie z Pietraroja we Włoszech.;Jeden z najlepszych przykładów odcisków tkanek miękkich na skamielinach dinozaurów stanowi odkrycie z Pietraroja we Włoszech.;1
1;Sekcja Krajowa Górnictwa składała poręczenie na etapie zażalenia na decyzję w sprawie zastosowania aresztu – mówi sędzia Rafał Lisak.;Sekcja Krajowa Górnictwa składała poręczenie na etapie zażalenia na decyzję w sprawie zastosowania aresztu – mówiła osoba sędziowska Rafał Lisak.;Sekcja Krajowa Górnictwa składała poręczenie na etapie zażalenia na decyzję w sprawie zastosowania aresztu – mówi osoba sędziowska Rafał Lisak.;1
1;W 2000 roku sejneńscy mleczarze skupili ponad 23 mln litrów surowca.;W 2000 roku sejneńskie osoby mleczarskie skupiły ponad 23 mln litrów surowca.;W 2000 roku sejneńscy mleczarze skupili ponad 23 mln litrów surowca.;0
0;Liczne grupy wykształciły wyszukane struktury, jak rogi czy kryzy.;Liczne grupy wykształciły wyszukane struktury, jak rogi czy kryzy.;Liczne grupy wykształciły wyszukane struktury, jak rogi czy kryzy.;1
0;W okresie tym powstało również kilka kościołów, głównie zbudowanych poza ścisłym centrum miasta.;W okresie tym powstało również kilka kościołów, głównie zbudowanych poza ścisłym centrum miasta.;W okresie tym powstało również kilka kościołów, głównie zbudowanych poza ścisłym centrum miasta.;1
1;U młodej dziewczyny psychiatra rozpoznał początki choroby psychicznej, dziewczyna myśli o samobójstwie.;U młodej dziewczyny osoba zajmująca się psychiatrią rozpoznała początki choroby psychicznej, dziewczyna myśli o samobójstwie.;U młodej dziewczyny osoba psychiaterska rozpoznała początki choroby psychicznej, dziewczyna myśli o samobójstwie.;1
0;Istnieją wszystkożerne gatunki ptaków, które stosują wiele strategii zdobywania pokarmu, jak i odżywiają się różnymi rodzajami pożywienia, oraz gatunki z wąską specjalizacją pokarmową (stenofagi) koncentrujące się na zdobywaniu szczególnego rodzaju pokarmu, albo stosujące wyłącznie jedną technikę zdobywania pokarmu.;Istnieją wszystkożerne gatunki ptaków, które stosują wiele strategii zdobywania pokarmu, jak i odżywiają się różnymi rodzajami pożywienia, oraz gatunki z wąską specjalizacją pokarmową (stenofagi) koncentrujące się na zdobywaniu szczególnego rodzaju pokarmu, albo stosujące wyłącznie jedną technikę zdobywania pokarmu.;Istnieją wszystkożerne gatunki ptaków, które stosują wiele strategii zdobywania pokarmu, jak i odżywiają się różnymi rodzajami pożywienia, oraz gatunki z wąską specjalizacją pokarmową (stenofagi) koncentrujące się na zdobywaniu szczególnego rodzaju pokarmu, albo stosujące wyłącznie jedną technikę zdobywania pokarmu.;1
0;— Pod trzeci — powtórzyła matka.;— Pod trzeci — powtórzyła matka.;— Pod trzeci — powtórzyła matka.;1
0;Koniec okresu kredowego wyznacza wymieranie, które wydarzyło się 66 milionów lat temu.;Koniec okresu kredowego wyznacza wymieranie, które wydarzyło się 66 milionów lat temu.;Koniec okresu kredowego wyznacza wymieranie, które wydarzyło się 66 milionów lat temu.;1
0;Utopi! — wrzeszczał Piotruś i aż siniał i przysiadał na ziemię, obu się rękami brzucha własnego trzymając.;Utopi! — wrzeszczał Piotruś i aż siniał i przysiadał na ziemię, obu się rękami brzucha własnego trzymając.;Utopi! — wrzeszczał Piotruś i aż siniał i przysiadał na ziemię, obu się rękami brzucha własnego trzymając.;1
0;Akt unii lubelskiej.;Akt unii lubelskiej.;Akt unii lubelskiej.;1
1;- Przystępujemy do głosowania nad wnioskiem Komisji Praw Człowieka i Praworządności oraz senatora Wyględowskiego o skreślenie pktu 1 w art. 7 ustawy.;- Przystępujemy do głosowania nad wnioskiem Komisji Praw Człowieka i Praworządności oraz osoby senatorskiej Wyględowskiego o skreślenie pktu 1 w art. 7 ustawy.;- Przystępujemy do głosowania nad wnioskiem Komisji Praw Człowieka i Praworządności oraz osoby senatorskiej Wyględowskiego o skreślenie pktu 1 w art. 7 ustawy.;1
1;Ponownie zabrakło punktów juniora - powiedział opiekun Płomienia, Franciszek Hylla.;Ponownie zabrakło punktów osoby juniorskiej - powiedział opiekun Płomienia, Franciszek Hylla.;Ponownie zabrakło punktów osoby juniorskiej - powiedziała osoba opiekująca się Płomienia, Franciszek Hylla.;1
1;Na jaką cholerę zachęcono 100 lokatorów do zamontowania etażowego ogrzewania gazowego, jeśli teraz będą musieli je zlikwidować?;Na jaką cholerę zachęcono 100 osób lokatorskich do zamontowania etażowego ogrzewania gazowego, jeśli teraz będą musiały je zlikwidować?;Na jaką cholerę zachęcono 100 osób lokatorskich do zamontowania etażowego ogrzewania gazowego, jeśli teraz będą musieli je zlikwidować?;1
1;Ta wizja macierzyństwa spotkała się z polemiką ze strony działaczki pacyfistycznej i feministycznej Madeleine Vernet (1878-1949).;Ta wizja macierzyństwa spotkała się z polemiką ze strony pacyfistycznej i feministycznej osoby działaczej Madeleine Vernet (1878-1949).;Ta wizja macierzyństwa spotkała się z polemiką ze strony osoby działaczej pacyfistycznej i feministycznej Madeleine Vernet (1878-1949).;1
1;Pan minister odpowiedział: jest program.;Osoba ministerska odpowiedziała: jest program.;Osoba ministerska odpowiedziała: jest program.;1
0;W trakcie dwóch pierwszych prób inwazji na Brytanię, dokonanych przez Cezara w 55 i 54 roku p.n.e., nie zdobyto żadnych terytoriów.;W trakcie dwóch pierwszych prób inwazji na Brytanię, dokonanych przez Cezara w 55 i 54 roku p.n.e., nie zdobyto żadnych terytoriów.;W trakcie dwóch pierwszych prób inwazji na Brytanię, dokonanych przez Cezara w 55 i 54 roku p.n.e., nie zdobyto żadnych terytoriów.;1
1;Kilka dni temu na oddział trafiła prątkująca absolwentka gimnazjum.;Kilka dni temu na oddział trafiła prątkująca osoba absolwencka gimnazjum.;Kilka dni temu na oddział trafiła prątkująca osoba absolwencka gimnazjum.;1
1;Różowiutki sędzia uderzył pięścią w stół.;Różowiutka osoba sędziowska uderzyła pięścią w stół.;Różowiutka osoba sędziowska uderzyła pięścią w stół.;1
0;On tak się uspokaja po każdej pańskiej wizycie.;On tak się uspokaja po każdej pańskiej wizycie.;On tak się uspokaja po każdej pańskiej wizycie.;1
1;Lektura: Życie i niezwykłe sprawy żołnierza Iwana Czonkina.;Lektura: Życie i niezwykłe sprawy osoby żołnierskiej Iwana Czonkina.;Lektura: Życie i niezwykłe sprawy osoby żołnierskiej Iwana Czonkina.;1
0;A toć żeście pierw dziesięć złotych dawali.;A toć żeście pierw dziesięć złotych dawali.;A toć żeście pierw dziesięć złotych dawali.;1
1;Jego partnerka Magda Dobrowolska (21 l.) jest ekspedientką w sklepie.;Jego osoba partnerska Magda Dobrowolska (21 l.) jest osobą ekspediencką w sklepie.;Jego osoba partnerska Magda Dobrowolska (21 l.) jest osobą ekspediencką w sklepie.;1
0;Ze względów kulturowych Rumunia pozostawała też w bliskich związkach z Francją.;Ze względów kulturowych Rumunia pozostawała też w bliskich związkach z Francją.;Ze względów kulturowych Rumunia pozostawała też w bliskich związkach z Francją.;1
1;Cały czas otwartą kwestią jest oddanie jej w ajencję dotychczasowej kierowniczce.;Cały czas otwartą kwestią jest oddanie jej w ajencję dotychczasowej osobie kierowniczej.;Cały czas otwartą kwestią jest oddanie jej w ajencję dotychczasowej osobie kierowniczej.;1
1;Bardzo charakterystyczne dla tego nastawienia były słowa kanclerza Josepha Wirtha wypowiedziane poufnie w 1922 r.: jedno oświadczam jasno i bez ogródek: Polskę trzeba wykończyć.;Bardzo charakterystyczne dla tego nastawienia były słowa osoby kanclerskiej Josepha Wirtha wypowiedziane poufnie w 1922 r.: jedno oświadczam jasno i bez ogródek: Polskę trzeba wykończyć.;Bardzo charakterystyczne dla tego nastawienia były słowa osoby kanclerskiej Josepha Wirtha wypowiedziane poufnie w 1922 r.: jedno oświadczam jasno i bez ogródek: Polskę trzeba wykończyć.;1
1;To jest nauczka dla wszystkich: Justyna poszła do miejscowego lekarza, bo ją bolała noga.;To jest nauczka dla wszystkich: Justyna poszła do miejscowej osoby lekarskiej, bo ją bolała noga.;To jest nauczka dla wszystkich: Justyna poszła do miejscowej osoby lekarskiej, bo ją bolała noga.;1
1;Na razie jedynie weto Kwaśniewskiego może powstrzymać pazernych awuesiarzy, którzy mnożąc urzędy rozbudowują dla siebie przechowalnię.;Na razie jedynie weto Kwaśniewskiego może powstrzymać pazerne osoby awuesiarskie, którzy mnożąc urzędy rozbudowują dla siebie przechowalnię.;Na razie jedynie weto Kwaśniewskiego może powstrzymać pazernych osób awuesiarskich, którzy mnożąc urzędy rozbudowują dla siebie przechowalnię.;1
1;Zatrzymał dwa konie rycerza, jako gwarancję jego powrotu, a w zamian dał mu ich równowartość w gotówce.;Zatrzymał dwa konie osoby rycerskiej, jako gwarancję jego powrotu, a w zamian dał jej ich równowartość w gotówce.;Zatrzymał dwa konie osoby rycerskiej, jako gwarancję jej powrotu, a w zamian dał mu ich równowartość w gotówce.;1
0;Komórka elementarna ma wymiary a1 = a2 = 4,913 Å i c = 5,405 Å i zawiera trzy jednostki (cząsteczki).;Komórka elementarna ma wymiary a1 = a2 = 4,913 Å i c = 5,405 Å i zawiera trzy jednostki (cząsteczki).;Komórka elementarna ma wymiary a1 = a2 = 4,913 Å i c = 5,405 Å i zawiera trzy jednostki (cząsteczki).;1
1;Niemieccy policjanci twierdzą, że w rachubę nie wchodzi kolizja z innym pojazdem.;Niemieckie osoby policjanckie twierdzą, że w rachubę nie wchodzi kolizja z innym pojazdem.;Niemieckie osoby policjanckie twierdzą, że w rachubę nie wchodzi kolizja z innym pojazdem.;1
1;– Oczywiście – w głosie recepcjonistki zabrzmiało zdumienie.;– Oczywiście – w głosie osoby pracującej w recepcji zabrzmiało zdumienie.;– Oczywiście – w głosie osoby pracującej w recepcji zabrzmiało zdumienie.;1
0;— Owszem! — odparła pani, znowu stając.;— Owszem! — odparła pani, znowu stając.;— Owszem! — odparła pani, znowu stając.;1
1;"Była mistrzyni świata w boksie, Agnieszka Rylik, znana również jako ""Lady Tyson"", ma poważne problemy ze zdrowiem.";"Była osoba mistrzowska świata w boksie, Agnieszka Rylik, znana również jako ""Lady Tyson"", ma poważne problemy ze zdrowiem.";"Była osoba mistrzowska świata w boksie, Agnieszka Rylik, znana również jako ""Lady Tyson"", ma poważne problemy ze zdrowiem.";1
0;Natychmiast zaczęliśmy na nią dmuchać, ale była zdechła.;Natychmiast zaczęliśmy na nią dmuchać, ale była zdechła.;Natychmiast zaczęliśmy na nią dmuchać, ale była zdechła.;1
0;"Przekrój poprzeczny pnia w parku narodowym ""De Veluwe"" w Holandii.";"Przekrój poprzeczny pnia w parku narodowym ""De Veluwe"" w Holandii.";"Przekrój poprzeczny pnia w parku narodowym ""De Veluwe"" w Holandii.";1
1;Lekarze i pielęgniarki o oczach czerwonych od niewyspania słaniali się na nogach ze zmęczenia, samoloty dowoziły szczepionkę z różnych końców świata: epidemia była przecież wtedy zaskoczeniem.;Osoby lekarskie i pielęgniarskie o oczach czerwonych od niewyspania słaniali się na nogach ze zmęczenia, samoloty dowoziły szczepionkę z różnych końców świata: epidemia była przecież wtedy zaskoczeniem.;Osoby lekarskie i pielęgniarskie o oczach czerwonych od niewyspania słaniły się na nogach ze zmęczenia, samoloty dowoziły szczepionkę z różnych końców świata: epidemia przecież była wtedy zaskoczeniem.;1
0;Częste są zbliźniaczenia, będące połączeniem kryształów lewych z prawymi, zrośniętych pod różnym kątem.;Częste są zbliźniaczenia, będące połączeniem kryształów lewych z prawymi, zrośniętych pod różnym kątem.;Częste są zbliźniaczenia, będące połączeniem kryształów lewych z prawymi, zrośniętych pod różnym kątem.;1
1;S. Wszedłem do banku, aby zająć kasjerów swoją osobą.;S. Wszedłem do banku, aby zająć osoby kasjerskie swoją osobą.;S. Wszedłem do banku, aby zająć osoby kasjerskie swoją osobą.;1
1;Czterech młodych żołnierzy w granatowych mundurach MSW mocno zapukało do drzwi.;Cztery młode osoby żołnierskie w granatowych mundurach MSW mocno zapukały do drzwi.;Czterech młodych osób żołnierskich w granatowych mundurach MSW mocno zapukało do drzwi.;1
1;To prawda, ale z drugiej strony nie ma nic gorszego niż wydać dużo pieniędzy, a potem mimo to biegać z kartą gwarancyjną za jaśnie wielmożnym panem (tfu) serwisantem.;To prawda, ale z drugiej strony nie ma nic gorszego niż wydać dużo pieniędzy, a potem mimo to biegać z kartą gwarancyjną za jaśnie wielmożną (tfu) osobą serwisancką.;To prawda, ale z drugiej strony nie ma nic gorszego niż wydać dużo pieniędzy, a potem mimo to biegać z kartą gwarancyjną za jaśnie wielmożnym panem (tfu) osobą serwisancką.;1
0;Owady i grzyby obniżają mechaniczną wytrzymałość drewna.;Owady i grzyby obniżają mechaniczną wytrzymałość drewna.;Owady i grzyby obniżają mechaniczną wytrzymałość drewna.;1
1;Za chwilę zgłosiła się ta sama recepcjonistka i bez wstępów, widocznie konsultowała rzecz z siostrą, powiedziała: - Łączę z działem obsługi pielgrzymów.;Za chwilę zgłosiła się ta sama osoba pracująca w recepcji i bez wstępów, widocznie konsultowała rzecz z siostrą, powiedziała: - Łączę z działem obsługi osób pielgrzymujących.;Za chwilę zgłosiła się ta sama osoba pracująca w recepcji i bez wstępów, widocznie konsultowała rzecz z siostrą, powiedziała: - Łączę z działem obsługi osób pielgrzymskich.;1
0;Pierwsze logo województwa pomorskiego zostało wyłonione w konkursie i oficjalnie ogłoszone 22 czerwca 2007 roku.;Pierwsze logo województwa pomorskiego zostało wyłonione w konkursie i oficjalnie ogłoszone 22 czerwca 2007 roku.;Pierwsze logo województwa pomorskiego zostało wyłonione w konkursie i oficjalnie ogłoszone 22 czerwca 2007 roku.;1
0;Czworościenna komórka SO4 łączy się w każdym wierzchołku z sąsiednią, dzieląc z nią jeden atom tlenu.;Czworościenna komórka SO4 łączy się w każdym wierzchołku z sąsiednią, dzieląc z nią jeden atom tlenu.;Czworościenna komórka SO4 łączy się w każdym wierzchołku z sąsiednią, dzieląc z nią jeden atom tlenu.;1
0;W jajowodzie jajo nabiera swój typowy wygląd: po kolei powstają żółtko, białko i skorupa.;W jajowodzie jajo nabiera swój typowy wygląd: po kolei powstają żółtko, białko i skorupa.;W jajowodzie jajo nabiera swój typowy wygląd: po kolei powstają żółtko, białko i skorupa.;1
1;Do pracy naukowej wrócił również niedawny lider UP, RYSZARD BUGAJ.;Do pracy naukowej wróciła również niedawna osoba liderska UP, RYSZARD BUGAJ.;Do pracy naukowej wrócił również niedawna osoba liderska UP, RYSZARD BUGAJ.;1
1;W innych konkurencjach reprezentanci Ostrzeszowa zajmowali wysokie miejsca punktowe, które zapewniły w generalnej ocenie powiatowi 11-12 pozycję w Wielkopolsce.;W innych konkurencjach osoby reprezentanckie Ostrzeszowa zajmowały wysokie miejsca punktowe, które zapewniły w generalnej ocenie powiatowi 11-12 pozycję w Wielkopolsce.;W innych konkurencjach osoby reprezentanckie Ostrzeszowa zajmowały wysokie miejsca punktowe, które zapewniły w generalnej ocenie powiatowi 11-12 pozycję w Wielkopolsce.;1
1;Jaka jest pewność, że Pismo Święte po wielu tłumaczeniach oddaje wiernie to, co autorzy mieli na myśli...;Jaka jest pewność, że Pismo Święte po wielu tłumaczeniach oddaje wiernie to, co osoby autorskie mialy na myśli...;Jaka jest pewność, że Pismo Święte po wielu tłumaczeniach oddaje wiernie to, co osoby autorskie miały na myśli...;1
1;Ekipa profesora Montagne'a, pracująca w Instytucie Pasteura nad mieszanką, prowadzącą do zmiany płci bez konieczności interwencji chirurgicznej, może poszczycić się sukcesem.;Ekipa osoby profesorskiej Montagne'a, pracująca w Instytucie Pasteura nad mieszanką, prowadzącą do zmiany płci bez konieczności interwencji chirurgicznej, może poszczycić się sukcesem.;Ekipa osoby profesorskiej Montagne'a, pracująca w Instytucie Pasteura nad mieszanką, prowadzącą do zmiany płci bez konieczności interwencji chirurgicznej, może poszczycić się sukcesem.;1
0;— Czy ci się nie zdaje? — spytała pani z akcentem wielkiej wątpliwości.;— Czy ci się nie zdaje? — spytała pani z akcentem wielkiej wątpliwości.;— Czy ci się nie zdaje? — spytała pani z akcentem wielkiej wątpliwości.;1
1;– bo on chyba jakimś dyrektorem przecież został nie?;– bo on chyba jakąś osobą dyrektorską przecież został nie?;– bo on chyba jakimś osobą dyrektorską przecież został nie?;1
0;Rosły szybciej, wcześnie przystępowały do rozrodu.;Rosły szybciej, wcześnie przystępowały do rozrodu.;Rosły szybciej, wcześnie przystępowały do rozrodu.;1
0;Ciepło wam, bąki? — zapytał.;Ciepło wam, bąki? — zapytał.;Ciepło wam, bąki? — zapytał.;1
1;W latach 1954- 69 duszpasterz akademicki na Sorbonie.;W latach 1954- 69 osoba duszpasterska akademicki na Sorbonie.;W latach 1954- 69 duszpasterz akademicki na Sorbonie.;0
0;Bastion królewski Zygmunta III Wazy.;Bastion królewski Zygmunta III Wazy.;Bastion królewski Zygmunta III Wazy.;1
1;Pewnego dnia fotograf odkryje prawdę i będzie musiał zdecydować: czy kocha miłą powierzchowność Noelle czy fascynującą osobowość, ale i niezbyt kształtną figurę Abby.;Pewnego dnia osoba zajmująca się fotografią odkryje prawdę i będzie musiała zdecydować: czy kocha miłą powierzchowność Noelle czy fascynującą osobowość, ale i niezbyt kształtną figurę Abby.;Pewnego dnia osoba fotografska odkryje prawdę i będzie musiał zdecydować: czy kocha miłą powierzchowność Noelle czy fascynującą osobowość, ale i niezbyt kształtną figurę Abby.;1
0;"Taki układ baryczny powoduje cyrkulację mas powietrza i bardzo silne wiatry wiejące od bieguna do wybrzeży; także ukształtowanie powierzchni sprzyja powstawaniu silnych wiatrów katabatycznych, spływających z wyżynnego wnętrza lądu ku jego brzegom.";"Taki układ baryczny powoduje cyrkulację mas powietrza i bardzo silne wiatry wiejące od bieguna do wybrzeży; także ukształtowanie powierzchni sprzyja powstawaniu silnych wiatrów katabatycznych, spływających z wyżynnego wnętrza lądu ku jego brzegom.";"Taki układ baryczny powoduje cyrkulację mas powietrza i bardzo silne wiatry wiejące od bieguna do wybrzeży; także ukształtowanie powierzchni sprzyja powstawaniu silnych wiatrów katabatycznych, spływających z wyżynnego wnętrza lądu ku jego brzegom.";1
1;Biernacki może liczyć na poparcie polityków koalicji.;Biernacki może liczyć na poparcie osób polityckich koalicji.;Biernacki może liczyć na poparcie osób polityckich koalicji.;1
