type,source_sentence,target_sentence
0,"Czyni to asteroidę tej rodziny wysoce mało prawdopodobną jako przyczynę powstania krateru Chicxulub, jako że procesy rezonansu orbitalnego i kolizji trwają dziesiątki milionów lat.","Czyni to asteroidę tej rodziny wysoce mało prawdopodobną jako przyczynę powstania krateru Chicxulub, jako że procesy rezonansu orbitalnego i kolizji trwają dziesiątki milionów lat."
0,Nitka naprawdę tańczyła z igiełką?,Nitka naprawdę tańczyła z igiełką?
0,"Siła dowodów wskazuje obecnie, że ciało mierzące od 5 do 10 km średnicy uderzyło w sąsiedztwie Półwyspu Jukatan (obecnie jest to południowy wschód Meksyku).","Siła dowodów wskazuje obecnie, że ciało mierzące od 5 do 10 km średnicy uderzyło w sąsiedztwie Półwyspu Jukatan (obecnie jest to południowy wschód Meksyku)."
0,Porównanie wielkości człowieka i Argentinosaurus z rodziny tytanozaurów.,Porównanie wielkości człowieka i Argentinosaurus z rodziny tytanozaurów.
0,Pisklęta świergotka nowozelandzkiego są gniazdownikami.,Pisklęta świergotka nowozelandzkiego są gniazdownikami.
0,1926.,1926.
0,"Jego obecny stan został ukształtowany po I wojnie światowej, gdy region ten na mocy traktatu w Trianon oderwano od Węgier i przyznano Rumunii (większość, na południe od Cisy) oraz Czechosłowacji.","Jego obecny stan został ukształtowany po I wojnie światowej, gdy region ten na mocy traktatu w Trianon oderwano od Węgier i przyznano Rumunii (większość, na południe od Cisy) oraz Czechosłowacji."
0,"Największym zagrożeniem jest utrata habitatów, spowodowana działalnością człowieka.","Największym zagrożeniem jest utrata habitatów, spowodowana działalnością człowieka."
0,W latach 90. wybudowano w Przesmykach pierwszą tego typu w Polsce przechowalnię ziemniaka w ramach pomocy rządu Kanady dla Polski.,W latach 90. wybudowano w Przesmykach pierwszą tego typu w Polsce przechowalnię ziemniaka w ramach pomocy rządu Kanady dla Polski.
0,"Niebieski jest kolorem pełnym symboliki, posiada niemal tyle cech, co czerwień.","Niebieski jest kolorem pełnym symboliki, posiada niemal tyle cech, co czerwień."
0,W zależności od osiąganej minimalnej wartości wytrzymałości mechanicznej drewno dzieli się na klasy.,W zależności od osiąganej minimalnej wartości wytrzymałości mechanicznej drewno dzieli się na klasy.
0,"Jużeśmy ją wystroili, jakby pannę młodą.","Jużeśmy ją wystroili, jakby pannę młodą."
0,Wrzasnęliśmy z uciechy i natychmiast powsadzaliśmy ręce w rękawy.,Wrzasnęliśmy z uciechy i natychmiast powsadzaliśmy ręce w rękawy.
1,"W uroczystym otwarciu wystawy uczestniczyli licznie zaproszeni goście, a wśród nich senator Jerzy Borcz, poseł Andrzej Kozioł oraz wiceburmistrz Jedlicza, Krystyna Twaróg.","W uroczystym otwarciu wystawy uczestniczyli licznie zaproszeni goście, a wśród nich osoba senatorska Jerzy Borcz, osoba poselska Andrzej Kozioł oraz osoba wiceburmistrzowska Jedlicza, Krystyna Twaróg."
0,"Takie zachowanie typowo występuje między dominującymi samcami a samicami sparowanymi z podporządkowanym samcem, ale może także być rezultatem wymuszonej kopulacji u kaczkowatych.","Takie zachowanie typowo występuje między dominującymi samcami a samicami sparowanymi z podporządkowanym samcem, ale może także być rezultatem wymuszonej kopulacji u kaczkowatych."
0,"Z łoskotem żelazko, moździerz i rondel do brudnego worka wrzucił, a mnie matka posłała po węgle i po chleb.","Z łoskotem żelazko, moździerz i rondel do brudnego worka wrzucił, a mnie matka posłała po węgle i po chleb."
0,"Około 23 mln lat temu otworzyła się Cieśnina Drake’a pomiędzy Antarktydą i Ameryką Południową, w wyniku czego kontynent otoczył Antarktyczny Prąd Okołobiegunowy.","Około 23 mln lat temu otworzyła się Cieśnina Drake’a pomiędzy Antarktydą i Ameryką Południową, w wyniku czego kontynent otoczył Antarktyczny Prąd Okołobiegunowy."
0,"Temperatura planety była też znacznie mniej zróżnicowana, bieguny ustępowały terenom równikowym o jedynie 25 °C. Średnia temperatura atmosferyczna była też wyższa od dzisiejszej.","Temperatura planety była też znacznie mniej zróżnicowana, bieguny ustępowały terenom równikowym o jedynie 25 °C. Średnia temperatura atmosferyczna była też wyższa od dzisiejszej."
1,Nie wydaje mi się być głupotą troska o zdrowie naszego tu czołowego dyskutanta Petroniusza Dobiasza.,Nie wydaje mi się być głupotą troska o zdrowie naszej tu czołowej osoby dyskutanckiej Petroniusza Dobiasza.
0,Rentgenoluminescencja – wywołana promieniowaniem rentgenowskim.,Rentgenoluminescencja – wywołana promieniowaniem rentgenowskim.
0,"W Wielkiej Brytanii, w wyniku zmian klimatu, panuje tendencja do cieplejszych zim i lat, poziom morza na wybrzeżu brytyjskim podnosi się o około 3 mm każdego roku i pojawiają się oznaki zmian w strukturze opadów.","W Wielkiej Brytanii, w wyniku zmian klimatu, panuje tendencja do cieplejszych zim i lat, poziom morza na wybrzeżu brytyjskim podnosi się o około 3 mm każdego roku i pojawiają się oznaki zmian w strukturze opadów."
0,"Kultura Wielkiej Brytanii ukształtowana została przez wiele czynników, takich jak wyspiarski status państwa, jego historia jako zachodniej demokracji liberalnej i mocarstwa, jak również unię czterech państw, z których każde pielęgnuje własne tradycje, obyczaje i symbole.","Kultura Wielkiej Brytanii ukształtowana została przez wiele czynników, takich jak wyspiarski status państwa, jego historia jako zachodniej demokracji liberalnej i mocarstwa, jak również unię czterech państw, z których każde pielęgnuje własne tradycje, obyczaje i symbole."
0,Obejmowała ona welociraptora atakującego protoceratopsa.,Obejmowała ona welociraptora atakującego protoceratopsa.
0,Wulkany na wyspie Rossa: czynny Mount Erebus i wygasły Terror noszą nazwy dwóch statków z tej wyprawy: HMS „Erebus” i HMS „Terror”.,Wulkany na wyspie Rossa: czynny Mount Erebus i wygasły Terror noszą nazwy dwóch statków z tej wyprawy: HMS „Erebus” i HMS „Terror”.
0,"Nazajutrz w południe zabieraliśmy się właśnie do przedstawienia, i już się Felek na szkapę gramolił, gdy nagle ojciec do stajenki wszedł.","Nazajutrz w południe zabieraliśmy się właśnie do przedstawienia, i już się Felek na szkapę gramolił, gdy nagle ojciec do stajenki wszedł."
0,"Lepiej smakuje ciasto z dodatkiem przypraw korzennych (cynamon, goździki, gałka muszkatołowa, kardamon), orzechów (laskowe, wiórki kokosowe) lub suszonych owoców.","Lepiej smakuje ciasto z dodatkiem przypraw korzennych (cynamon, goździki, gałka muszkatołowa, kardamon), orzechów (laskowe, wiórki kokosowe) lub suszonych owoców."
0,"W Rzymie nazywano bursztyn electrum, co było zapożyczeniem z greki lub lyncurium, czyli mocz rysia, albowiem według legendy złocisty kamień powstał ze skamieniałego moczu tego drapieżnika.","W Rzymie nazywano bursztyn electrum, co było zapożyczeniem z greki lub lyncurium, czyli mocz rysia, albowiem według legendy złocisty kamień powstał ze skamieniałego moczu tego drapieżnika."
0,Technika ta traktowana jest jednak raczej jako zachowanie uzupełniające zwykłe zdobywanie pokarmu metodą polowania.,Technika ta traktowana jest jednak raczej jako zachowanie uzupełniające zwykłe zdobywanie pokarmu metodą polowania.
1,A była podobno wręcz dewotką!,A była podobno wręcz osobą dewocią!
0,Mąż bacznie spojrzał na nią.,Mąż bacznie spojrzał na nią.
0,"Zaczęło się to od starego łóżka, cośmy na nim we trzech sypiali.","Zaczęło się to od starego łóżka, cośmy na nim we trzech sypiali."
0,"Ptak pozwala się dźwignąć możliwie wysoko, dostaje się w powietrze pędzące z wielką szybkością, nabiera rozpędu, zawraca i spływa między grzbiety fal w spokojniejsze miejsce, gdzie unosi się tak długo, aż utrata szybkości zmusi go do wykorzystania kolejnego czoła wysokiej fali.","Ptak pozwala się dźwignąć możliwie wysoko, dostaje się w powietrze pędzące z wielką szybkością, nabiera rozpędu, zawraca i spływa między grzbiety fal w spokojniejsze miejsce, gdzie unosi się tak długo, aż utrata szybkości zmusi go do wykorzystania kolejnego czoła wysokiej fali."
0,"Ale matka, na poduszki opadłszy, leżała, jak nieżywa.","Ale matka, na poduszki opadłszy, leżała, jak nieżywa."
0,"— A cóż tam za insze gadanie ma być? — rzekł porywczym nieco głosem. — Ślepa, to ślepa!","— A cóż tam za insze gadanie ma być? — rzekł porywczym nieco głosem. — Ślepa, to ślepa!"
0,Słynne są okazy z Przełęczy Furka w Alpach.,Słynne są okazy z Przełęczy Furka w Alpach.
0,"Ja także posiadam zbiorek, lecz skromny, jak zwykle w początkach.","Ja także posiadam zbiorek, lecz skromny, jak zwykle w początkach."
0,"Jednakże sam Walter Alvarez przyznał także, że przed impaktem zachodziły na Ziemi inne duże zmiany, jak obniżenie się poziomu morza czy masywne erupcje wulkaniczne, które spowodowały powstaniem trapów Dekanu w Indiach, i zmiany te mogły również przyczynić się do wymierania.","Jednakże sam Walter Alvarez przyznał także, że przed impaktem zachodziły na Ziemi inne duże zmiany, jak obniżenie się poziomu morza czy masywne erupcje wulkaniczne, które spowodowały powstaniem trapów Dekanu w Indiach, i zmiany te mogły również przyczynić się do wymierania."
0,"Niektóre taksony wymarłe wykształcały także takie modyfikacje szkieletu, jak kolce czy pancerz.","Niektóre taksony wymarłe wykształcały także takie modyfikacje szkieletu, jak kolce czy pancerz."
0,"Przez otwartą, srodze połataną koszulę sterczały mu wychudzone żebra, z kołnierza wychylała się szyja cienka, jak u wróbla, a niezmiernie chude nogi czyniły go znacznie wyższym, niż był w istocie.","Przez otwartą, srodze połataną koszulę sterczały mu wychudzone żebra, z kołnierza wychylała się szyja cienka, jak u wróbla, a niezmiernie chude nogi czyniły go znacznie wyższym, niż był w istocie."
0,"— E–e–e? — zapytałem niedowierzająco, czując, że ja bym się może na bohaterstwo takie nie zdobył.","— E–e–e? — zapytałem niedowierzająco, czując, że ja bym się może na bohaterstwo takie nie zdobył."
0,"Sumaryczna zmiana netto w okresie 1992–2003 była oceniana jako nieznacznie dodatnia, na poziomie około 33 Gt/rok, ze znacznym zróżnicowaniem regionalnym.","Sumaryczna zmiana netto w okresie 1992–2003 była oceniana jako nieznacznie dodatnia, na poziomie około 33 Gt/rok, ze znacznym zróżnicowaniem regionalnym."
0,"Tyś taki tęgi, potrzebujesz ruchu, a ciągle siedzisz.","Tyś taki tęgi, potrzebujesz ruchu, a ciągle siedzisz."
0,"Zwierzęta zmarły w takich samych warunkach, a ich zwłoki szybko zostały przykryte.","Zwierzęta zmarły w takich samych warunkach, a ich zwłoki szybko zostały przykryte."
0,"Wynika z tego, że intensywność połysku zależy od typu materiału (wielkości współczynników załamania).","Wynika z tego, że intensywność połysku zależy od typu materiału (wielkości współczynników załamania)."
0,Po dziesięciu godzinach tracą więc ok.,Po dziesięciu godzinach tracą więc ok.
1,- Może to była zemsta za zawiadomienie prokuratury - zastanawia się dyrektor Orzeł-Łysiak.,- Może to była zemsta za zawiadomienie prokuratury - zastanawia się osoba dyrektorska Orzeł-Łysiak.
1,42-letnia Silvana Spalino z miasteczka Bivona na Sycylii jest policjantką - nieubłaganą i nieprzekupną.,42-letnia Silvana Spalino z miasteczka Bivona na Sycylii jest osobą policjancką - nieubłaganą i nieprzekupną.
0,Chemoluminescencja luminolu.,Chemoluminescencja luminolu.
0,"13 marca 1943 na lotnisku w Smoleńsku umieścili bombę w samolocie, którym Hitler wracał do Kętrzyna po inspekcji wojsk.","13 marca 1943 na lotnisku w Smoleńsku umieścili bombę w samolocie, którym Hitler wracał do Kętrzyna po inspekcji wojsk."
0,W tym samym czasie kilka grup dinozaurów roślinożernych wykształciło bardziej wysublimowane przystosowania do rozdrabniania pokarmu w jamie ustnej.,W tym samym czasie kilka grup dinozaurów roślinożernych wykształciło bardziej wysublimowane przystosowania do rozdrabniania pokarmu w jamie ustnej.
0,"Współcześnie zachodzące zmiany klimatu sprawiają, że możliwy jest jego rozpad.","Współcześnie zachodzące zmiany klimatu sprawiają, że możliwy jest jego rozpad."
0,"Trasy migracyjne śledzonych satelitarnie szlamników, najwytrwalszych wędrujących ptaków.","Trasy migracyjne śledzonych satelitarnie szlamników, najwytrwalszych wędrujących ptaków."
0,"Na przejściu od lata do jesieni najzdrowszemu człowiekowi trafia się jakieś rozdrażnienie, każdy jest nieswój","Na przejściu od lata do jesieni najzdrowszemu człowiekowi trafia się jakieś rozdrażnienie, każdy jest nieswój"
0,"Mewy mogą unosić się w tunelu aerodynamicznym (w miejscu, przy szybkości powietrza wynoszącej około 30 km/godz.) bez przerwy przez około 10 godzin.","Mewy mogą unosić się w tunelu aerodynamicznym (w miejscu, przy szybkości powietrza wynoszącej około 30 km/godz.) bez przerwy przez około 10 godzin."
0,"Zachował się kościół parafialny z 1776, wzniesiony z drewna staraniem proboszcza Ludwika Wessla.","Zachował się kościół parafialny z 1776, wzniesiony z drewna staraniem proboszcza Ludwika Wessla."
1,"Obserwatorzy życia gwiazd uważają, że na swoim rozwodzie Jerry Hall może nieźle zarobić.","Osoby obserwatorskie życia gwiazd uważają, że na swoim rozwodzie Jerry Hall może nieźle zarobić."
1,"Tymczasem Parlament Europejski to wciąż ""wielki nieobecny"" w świadomości polskich wyborców i polityków.","Tymczasem Parlament Europejski to wciąż ""wielki nieobecny"" w świadomości polskich osób wyborczych i polityckich."
0,Miejscowość jest siedzibą gminy Dmosin.,Miejscowość jest siedzibą gminy Dmosin.
0,"Ale swoją drogą, niech pan do nas przychodzi.","Ale swoją drogą, niech pan do nas przychodzi."
0,"Utrecht – miasto w środkowej Holandii nad kanałem Amsterdam-Ren, ośrodek administracyjny prowincji Utrecht.","Utrecht – miasto w środkowej Holandii nad kanałem Amsterdam-Ren, ośrodek administracyjny prowincji Utrecht."
0,"Wodorowęglan sodu, pot. soda oczyszczona, E500b, NaHCO3 – nieorganiczny związek chemiczny z grupy wodorowęglanów, wodorosól kwasu węglowego i sodu.","Wodorowęglan sodu, pot. soda oczyszczona, E500b, NaHCO3 – nieorganiczny związek chemiczny z grupy wodorowęglanów, wodorosól kwasu węglowego i sodu."
0,W związku z tym pełniły raczej rolę dekoracyjną w pokazach seksualnych czy groźbach.,W związku z tym pełniły raczej rolę dekoracyjną w pokazach seksualnych czy groźbach.
0,W 2017 przekraczała 60 mln.,W 2017 przekraczała 60 mln.
0,"Obejmuje obszar o powierzchni 18 310,34 km².","Obejmuje obszar o powierzchni 18 310,34 km²."
0,Z drugiej strony działalność ludzka również może być szkodliwa dla ptaków i doprowadziła wiele gatunków do wyginięcia.,Z drugiej strony działalność ludzka również może być szkodliwa dla ptaków i doprowadziła wiele gatunków do wyginięcia.
0,Ta cecha ma duże znaczenie przy wyborze drewna jako materiału do wykonania np. podłóg.,Ta cecha ma duże znaczenie przy wyborze drewna jako materiału do wykonania np. podłóg.
0,Skuteczną obroną dowodził Stanisław Kiszka.,Skuteczną obroną dowodził Stanisław Kiszka.
1,W tej sprawie proszę rozmawiać z oficerem prasowym!,W tej sprawie proszę rozmawiać z prasową osobą oficerską!
0,"Pierwszym dzieckiem urodzonym w południowym regionie polarnym była Solveig Gunbjørg Jacobsen, urodzona w Grytviken 8 października 1913.","Pierwszym dzieckiem urodzonym w południowym regionie polarnym była Solveig Gunbjørg Jacobsen, urodzona w Grytviken 8 października 1913."
0,Zaliczana do tras kategorii B droga łączy Bragançę z Ourique.,Zaliczana do tras kategorii B droga łączy Bragançę z Ourique.
1,W sobotę wraz z grupą dziennikarzy czekał na werdykt rady nadzorczej firmy.,W sobotę wraz z grupą osób dziennikarskich czekał na werdykt rady nadzorczej firmy.
1,- Czy to pan jesteś jubiler? - zagadnęła zainteresowana kupnem.,- Czy to pan jesteś osobą jubilerską? - zagadnęła zainteresowana kupnem.
0,"W późnym dewonie rozwinęły się widłaki różnozarodnikowe, klinolisty i pierwsze rośliny nasienne (paprocie nasienne).","W późnym dewonie rozwinęły się widłaki różnozarodnikowe, klinolisty i pierwsze rośliny nasienne (paprocie nasienne)."
0,Prędkość wiatrów w pobliżu wybrzeży sięga 50–90 m/s (180–325 km/h).,Prędkość wiatrów w pobliżu wybrzeży sięga 50–90 m/s (180–325 km/h).
0,"Owen założył Muzeum Historii Naturalnej w Londynie w South Kensington w Londynie, by wystawiać narodową kolekcję dinozaurzych skamielin, jak też prowadzić inne wystawy geologiczne i biologiczne. „Manię” dinozaurów obrazuje zażarta rywalizacja pomiędzy Edwardem Drinkerem Cope’em i Othnielem Charlesem Marshem.","Owen założył Muzeum Historii Naturalnej w Londynie w South Kensington w Londynie, by wystawiać narodową kolekcję dinozaurzych skamielin, jak też prowadzić inne wystawy geologiczne i biologiczne. „Manię” dinozaurów obrazuje zażarta rywalizacja pomiędzy Edwardem Drinkerem Cope’em i Othnielem Charlesem Marshem."
0,"Wielka Brytania jest państwem o gospodarce rynkowej, trzecim co do PKB rynkiem w Europie (za Niemcami i Rosją), a ósmym na świecie (po Stanach Zjednoczonych, Chinach, Indiach, Japonii, Niemczech, Rosji i Brazylii).","Wielka Brytania jest państwem o gospodarce rynkowej, trzecim co do PKB rynkiem w Europie (za Niemcami i Rosją), a ósmym na świecie (po Stanach Zjednoczonych, Chinach, Indiach, Japonii, Niemczech, Rosji i Brazylii)."
1,"A kiedy lekarze uznają, że jest wyleczony, wróci na wolność.","A kiedy osoby lekarskie uznają, że jest wyleczony, wróci na wolność."
0,"Większość ptaków potrafi latać, co odróżnia je od prawie wszystkich innych kręgowców.","Większość ptaków potrafi latać, co odróżnia je od prawie wszystkich innych kręgowców."
0,"Jakoś w lipcu pan zaziębił się, zresztą nie bardzo.","Jakoś w lipcu pan zaziębił się, zresztą nie bardzo."
0,"Większość ptaków nie może poruszać oczami, chociaż są wyjątki, np. kormoran czarny.","Większość ptaków nie może poruszać oczami, chociaż są wyjątki, np. kormoran czarny."
0,Czy ja darmo chcę wziąć?,Czy ja darmo chcę wziąć?
0,Był to ostatni kolor podstawowy uzyskany syntetycznie przez człowieka.,Był to ostatni kolor podstawowy uzyskany syntetycznie przez człowieka.
0,"Niektóre żywiły się pędami roślin, nasionami, inne mięsem, rybami, owadami, występowała wśród nich też wszystkożerność.","Niektóre żywiły się pędami roślin, nasionami, inne mięsem, rybami, owadami, występowała wśród nich też wszystkożerność."
1,"W październiku ub.r. policjanci z Warszawy zatrzymali za posiadanie narkotyków Jacka P. ps. ""Ślepak"", w szczecińskim półświatku uważanego za prawą rękę ""Oczka"".","W październiku ub.r. osoby policjanckie z Warszawy zatrzymały za posiadanie narkotyków Jacka P. ps. ""Ślepak"", w szczecińskim półświatku uważanego za prawą rękę ""Oczka""."
1,"Czy przypuszczałam wtedy, podając taksówkarzowi adres małego hoteliku na lewym brzegu Sekwany, że wyruszam naprzeciw najbardziej zdumiewającej przygody mojego życia?","Czy przypuszczałam wtedy, podając osobie taksówkarskiej adres małego hoteliku na lewym brzegu Sekwany, że wyruszam naprzeciw najbardziej zdumiewającej przygody mojego życia?"
0,"Bekas kszyk wydaje głośny dźwięk piórami ogonowymi podczas pokazowych lotów tokowych, dzięcioły bębnią dziobem w obumarłe gałęzie drzew dla oznaczenia swoich terytoriów, a żałobnica palmowa używa do bębnienia narzędzi pomocniczych.","Bekas kszyk wydaje głośny dźwięk piórami ogonowymi podczas pokazowych lotów tokowych, dzięcioły bębnią dziobem w obumarłe gałęzie drzew dla oznaczenia swoich terytoriów, a żałobnica palmowa używa do bębnienia narzędzi pomocniczych."
0,Wczesny dewon był ostatnią epoką życia planktonicznych graptolitów właściwych.,Wczesny dewon był ostatnią epoką życia planktonicznych graptolitów właściwych.
0,Wąwóz stanowi granicę administracyjną miasta Bristol i hrabstwa Somerset.,Wąwóz stanowi granicę administracyjną miasta Bristol i hrabstwa Somerset.
1,"Kiedyś była tu kaplica, teraz po wybudowaniu dużego kościoła, pomieszczenia służą i warsztatom i organizacji wystaw – mówi Irena Zagórska, terapeutka prowadząca zajęcia w ramach warsztatów Terapii Zajęciowej przy Parafii Najświętszego Serca Pana Jezusa na Łapiszewie.","Kiedyś była tu kaplica, teraz po wybudowaniu dużego kościoła, pomieszczenia służą i warsztatom i organizacji wystaw – mówi Irena Zagórska, osoba terapeucka prowadząca zajęcia w ramach warsztatów Terapii Zajęciowej przy Parafii Najświętszego Serca Pana Jezusa na Łapiszewie."
0,Na dworze zaczęło świtać.,Na dworze zaczęło świtać.
1,"Pracownicy funkcyjni to może zarabiają dużo, ale zwykli mają na pewno dużo mniej.","Funkcyjne osoby pracownicze to może zarabiają dużo, ale zwykłe mają na pewno dużo mniej."
0,"Jeżeli jeden z rzędów nie jest uwzględniony w danym podejściu systematycznym, należy on do najbliższego uznawanego przez tę klasyfikację rzędu nad nim.","Jeżeli jeden z rzędów nie jest uwzględniony w danym podejściu systematycznym, należy on do najbliższego uznawanego przez tę klasyfikację rzędu nad nim."
0,"Architektura wnętrz – sztuka kształtowania wnętrz architektonicznych, obejmuje wystrój i wyposażenie ruchome z uwzględnieniem funkcji pomieszczenia.","Architektura wnętrz – sztuka kształtowania wnętrz architektonicznych, obejmuje wystrój i wyposażenie ruchome z uwzględnieniem funkcji pomieszczenia."
