type;source_sentence
0;Wilk odprowadzał go wzrokiem, aż ciemna sylwetka rozpłynęła się w mroku korytarza.
0;Podobnie jak biureta, pipeta taka podzielona jest na całej swej długości na dziesiętne części mililitra.
0;Ankieta przeprowadzona przez sieć telewizyjną Fox zapowiada, że książka Moniki Lewinsky o jej stosunkach seksualnych prawie zupełnie nie interesuje Amerykanów.
0;Prędzej czy później można było liczyć, że Anita przyjmie jego zaproszenie.
0;Ta kobieta jednego dnia straciła męża i dowiedziała się o śmiertelnej chorobie swej córki.
0;Ani rozpustnicy, ani cudzołożnicy, ani rozwiąźli, ani mężczyźni współżyjący z mężczyznami nie wejdą do królestwa Bożego.
0;Literatura pozytywistyczna stworzyła wzorzec człowieka, któremu szło o szybkie dorobienie się dzięki menedżerskiej pracy umysłowej, choć w razie potrzeby umiał zakasać rękawy na przykład przy budowie własnej fabryki.
1;Przede wszystkim chcę pomagać ludziom i nie jest dla mnie istotne, czy będę to robił jako bioterapeuta.
1;Niedawno także na Podhale trafiła kaseta z nagraniem pobytu prezydenta Aleksandra Kwaśniewskiego na uroczystościach w Charkowie.
0;A moja zaciekłość bierze się stąd, że mam reminiscencje z przykrym incydentem, który relacjonowałem prawie siedem lat temu.
0;Gracie Hart, kobieta zaniedbana i o zapatrywaniach feministycznych otrzymuje zadanie udaremnienia przygotowywanego zamachu na konkurs piękności Miss Ameryki.
0;Nie, ona to robi z miłości, żeby ratować związek, żeby utrzymać tego faceta przy sobie, chce go chociaż tak zaspokoić, skoro nie potrafi w tym, co najważniejsze dla mężczyzny.
0;"Oprócz wątka sakralnego, który towarzyszyć będzie autorowi przez całe życie, szczególnie bliskiego wielu tym, którzy, jak Paszkiewicz, w bardzo młodym wieku zetknęli się z tragedią obozów koncentracyjnych, upodleniem, rozpaczą, gwałtowną śmiercią lub jej przeciwieństwem - powolnym umieraniem z głodu i wycieńczenia, ujawnia się tu głęboko humanistyczny i humanitarny zarazem krzyk w obronie ""ginących w nicość i samotność"", próba uratowania ich od ostatecznego unicestwienia."
0;W Polsce roślina bardzo pospolita na całym obszarze, jest jedną z najbardziej pospolitych naszych traw.
0;Ulica Matejki jest zamknięta dla ruchu kołowego na odcinku od skrzyżowania z ul. Szczecińską do ul. Nadrzecznej.
0;Kiedy wieczorem po raz kolejny przegryzał całą historię, oprócz żalu i rozczarowania odkrył w sobie także uczucie ulgi.
0;Makuch makowy zawierający do 12% tłuszczu i do 36% białka stanowi cenną paszę.
0;Ojciec był zapalonym myśliwym i często wybierał się na polowania, zasilając w ten sposób naszą spiżarnię.
1;"Stan cywilny: wdowiec, jedno dziecko (farmaceuta w najstarszej aptece w Nowym Sączu, w rynku ""Pod Orłem"")."
0;Numer telefonu miał być za to w książce telefonicznej komórki, którą znaleziono w samochodzie Kościelniaka.
0;Z minibusu dwóch chłopaków w dżinsach i adidasach, z białymi opaskami na włosach wyprowadza grubą kobietę w łachmanach.
0;Obok leżał rower, którym jechała kobieta.
1;Jeszcze dalej, najdalej ze wszystkich romantyków naszych, poszedł poznański poeta, wołając: Z nami Bóg!
0;To spotkanie będzie okazją do dobrej zabawy gromady dzieci specjalnej troski.
0;Śliczne czapki, brązowe z czarnym aksamitem, na które każdy z nas spoglądał ze słuszną dumą.
0;Na tej wyspie Mielt jak byliśmy to maluchy nasze przerobione na kabriolety z nalepką ford jeździły jako dwuosobowe auta wycieczkowe
0;Ojciec nie chciał nawet o tym słyszeć.
1;Nie ma takiego leku ani terapii - mówi psychoterapeuta Lin Jing Hua.
0;Nitka naprawdę tańczyła z igiełką?
1;A w hipnozie terapeuta podaje te formułki i rozwija, podkreśla i uzasadnia.
1;My tylko możemy w cichości ducha podziwiać i przeżywać to, co wielki poeta nam zostawił.
1;Kiedyś była tu kaplica, teraz po wybudowaniu dużego kościoła, pomieszczenia służą i warsztatom i organizacji wystaw – mówi Irena Zagórska, terapeutka prowadząca zajęcia w ramach warsztatów Terapii Zajęciowej przy Parafii Najświętszego Serca Pana Jezusa na Łapiszewie.
