type;source_sentence
0;"Pierwszy z nich hm. W. Mucha-Kruczyński wspomniał harcerską drogę dh. ""Sowy"", jego 18-letnie komenderowanie hufcowi Szarych Szeregów i wiele harcerskich inicjatyw."
0;"Ks. Rydzyk zasłonił obiektyw ręką, a pracownicy ""Tormięsu"" pospiesznie zasłonili go transparentem."
0;Jutro spływ starym korytem do Supraśla, następnie do Wasilkowa.
0;Jednocześnie wyraził ubolewanie, że nie dostosowujemy odpowiednio szybko naszego ustawodawstwa do dyrektyw unijnych.
0;Rozrywka jest kołem zamachowym telefonii komórkowej, a MMS bardzo ją uatrakcyjnią.
0;Jego zdaniem konflikt ujawnił brak perspektyw w takiej sytuacji.
0;Następnie rozłożyła wysoki statyw, zawiesiła na nim pudełko, przeprowadziła od niego przezroczysty przewód do igły.
0;Przepływ informacji jest dobry.
0;Stań, nie tak, ręka niżej, bądź milsza, twarz pochyl, spójrz w obiektyw!
0;Wyciera palcami pot ze swojego czoła i smaruje nim obiektyw.
1;Najbardziej niepokorna z dziewiętnastowiecznych mieszczanek krakowskich i wyjątkowo skuteczna detektywka Zofia Szczupaczyńska na potrzeby francuskich czytelników przedzierżgnęła się w Zofię Turbotyńską!
1;Detektywka udawała kelnerkę w klubie nocnym
0;Z tendencją do przemieszczania się wyżów w niższe szerokości geograficzne jest związany napływ ciepłego powietrza w zachodniej części układu.
0;Śpią w noclegowni koło lokomotyw.
0;"Bostoński Kolektyw Zdrowia Kobiet publikuje słynną książkę  ""Our Bodies Our Selves"", rozbijającą mity dotyczące kwestii kobiecego orgazmu, masturbacji, menopauzy."
0;W 1993 r. Biłgoraj wraz z 200 innymi gminami stanął do organizowanego przez Ministerstwo Pracy konkursu wspierania inicjatyw lokalnych.
0;Nic dziwnego, że został zrobiony ze specjalnych tworzyw sztucznych, odpornych na niewielkie stłuczki na parkingu.
0;Drugi wariant proponuje tzw. normatyw, czyli uzależnienie wysokości spłaty od przeciętnego miesięcznego wynagrodzenia w kraju i wielkości mieszkania.
0;Jedyny pozytyw to to, że moja siostra ma dzisiaj 9 lekcji i moge na jej kompie siedzieć.
0;XM1, kamera cyfrowa firmy Canon, jest pierwszą domową kamerą wyposażoną w obiektyw, stosowany dotychczas tylko w profesjonalnym sprzęcie tej firmy
1;Rozwiązując swoją drugą zagadkę kryminalną, młoda detektywka po raz kolejny zabiera młodych czytelników w pasjonującą podróż po barwnym świecie opactwa benedyktyńskiego
0;Miałeś rację, grzywka też powinna być krótka.
0;Czy jej brak ma istotny wpływ na jakość amerykańskiego systemu szkolnictwa wyższego?
0;Odpowiada, że nawet w Unii Europejskiej nikt nie pokusił się o komentarz do tego rodzaju dyrektyw, więc i od polskich władz nie można oczekiwać ich technicznego precyzowania.
0;Mało kto podziela jednak eurolęki polityków przeciwnych integracji. Z jednym wyjątkiem: perspektyw dla rolnictwa.
0;Osoby cierpiące na wyprysk nie powinny obierać warzyw oraz owoców cytrusowych bez osłony skóry rąk, przygotowywać przetworów zimowych z kwaśnych owoców.
0;Przepływająca przez jezioro Lega umożliwia spływ kajakowy w kierunku Ełku, Rajgrodu i dalej do Warszawy.
1;Detektyw precyzyjnym sztychem przeszył jego prawe ramię.
