type,source_sentence,target_sentence
0,"Obejrzał się po izbie, zdjął z kołka swój granatowy płaszcz i rzucił go na nas.","Obejrzał się po izbie, zdjął z kołka swój granatowy płaszcz i rzucił go na nas."
0,Wrzasnęliśmy z uciechy i natychmiast powsadzaliśmy ręce w rękawy.,Wrzasnęliśmy z uciechy i natychmiast powsadzaliśmy ręce w rękawy.
0,"Piotruś tylko piszczał, nie mogąc do nich trafić, aleśmy go z głową peleryną nakryli, więc ucichł.","Piotruś tylko piszczał, nie mogąc do nich trafić, aleśmy go z głową peleryną nakryli, więc ucichł."
0,"Ojciec, nim się położył, raz jeszcze podszedł do nas.","Ojciec, nim się położył, raz jeszcze podszedł do nas."
0,— No i cóż?,— No i cóż?
0,"Ciepło wam, bąki? — zapytał.","Ciepło wam, bąki? — zapytał."
0,— Mnie tam ciepło — odpowiedziałem z głębi płaszcza.,— Mnie tam ciepło — odpowiedziałem z głębi płaszcza.
0,"— A mnie jak! — krzyknął Felek. — O, proszę ojca, jak mi to gorąco.","— A mnie jak! — krzyknął Felek. — O, proszę ojca, jak mi to gorąco."
0,"I wystawił swoje długie, chude nogi, żeby okazać, jako o przykrycie nie dba.","I wystawił swoje długie, chude nogi, żeby okazać, jako o przykrycie nie dba."
0,"Istotnie, przyjemne ciepło szło na nas z pieca, bo ojciec koksu przed wieczorem przyniósł, ogień rozpalił i matce herbatę gotował.","Istotnie, przyjemne ciepło szło na nas z pieca, bo ojciec koksu przed wieczorem przyniósł, ogień rozpalił i matce herbatę gotował."
0,Usnęliśmy też zaraz.,Usnęliśmy też zaraz.
0,Ale nad ranem zrobiło się nagle bardzo chłodno.,Ale nad ranem zrobiło się nagle bardzo chłodno.
0,Pociągnąłem tedy płaszcz w swoją stronę.,Pociągnąłem tedy płaszcz w swoją stronę.
0,"Felek zrazu skurczył się przez sen, ale potem i on płaszcz ciągnąć zaczął; a gdym nie puszczał, bo juścić od pieca cieplej jemu, niżeli mnie, było, sam się głębiej pod niego wsunąć usiłował.","Felek zrazu skurczył się przez sen, ale potem i on płaszcz ciągnąć zaczął; a gdym nie puszczał, bo juścić od pieca cieplej jemu, niżeli mnie, było, sam się głębiej pod niego wsunąć usiłował."
0,"Przy tym wsuwaniu się musiał jakoś nacisnąć Piotrusia, bo malec nagle piszczeć zaczął, a potem na dobre się rozbeczał.","Przy tym wsuwaniu się musiał jakoś nacisnąć Piotrusia, bo malec nagle piszczeć zaczął, a potem na dobre się rozbeczał."
0,Matka stęknęła z cicha raz i drugi.,Matka stęknęła z cicha raz i drugi.
0,— Filipie!,— Filipie!
0,"Filipie! — rzekła słabym głosem — a zajrzyj no do chłopców, bo Piotruś czegoś płacze","Filipie! — rzekła słabym głosem — a zajrzyj no do chłopców, bo Piotruś czegoś płacze"
0,Ale ojciec spał.,Ale ojciec spał.
0,— Chłopcy! — odezwała się znowu matka — a czego tam Piotruś płacze?,— Chłopcy! — odezwała się znowu matka — a czego tam Piotruś płacze?
0,"— To Felek, proszę mamy! — odrzekłem.","— To Felek, proszę mamy! — odrzekłem."
0,"— Nieprawda, proszę mamy, to Wicek! — zaprzeczył natychmiast zaspanym głosem.","— Nieprawda, proszę mamy, to Wicek! — zaprzeczył natychmiast zaspanym głosem."
0,"Matka ciszej jeszcze stęknęła, a gdy nie przestawał płakać, zwlokła się z łóżka, wzięła Piotrusia na ręce i zaniosła go na swoją pościel.","Matka ciszej jeszcze stęknęła, a gdy nie przestawał płakać, zwlokła się z łóżka, wzięła Piotrusia na ręce i zaniosła go na swoją pościel."
0,"Zaraz też nam się placu więcej zrobiło, więc mi Felek dał sójkę w bok, ja mu też, i, odwróciwszy się od siebie, spaliśmy wybornie do samego rana.","Zaraz też nam się placu więcej zrobiło, więc mi Felek dał sójkę w bok, ja mu też, i, odwróciwszy się od siebie, spaliśmy wybornie do samego rana."
0,"Nikt go nie wołał, ale przyszedł tak, z grzeczności, jak mówił, dowiedzieć się, czy matka zdrowsza.","Nikt go nie wołał, ale przyszedł tak, z grzeczności, jak mówił, dowiedzieć się, czy matka zdrowsza."
0,"Zaraz też zaczął chodzić po izbie, oglądać szafę, stołki.","Zaraz też zaczął chodzić po izbie, oglądać szafę, stołki."
0,Ale ojciec pochmurny był czegoś i gadać wiele z nim nie chciał.,Ale ojciec pochmurny był czegoś i gadać wiele z nim nie chciał.
0,Nazajutrz znowu przyszedł.,Nazajutrz znowu przyszedł.
0,"Tego dnia mieliśmy na obiad ziemniaki z solą tylko, bo okrasy brakło; chleb też się jakoś skończył, a Piotruś do ochrony bez śniadania poszedł.","Tego dnia mieliśmy na obiad ziemniaki z solą tylko, bo okrasy brakło; chleb też się jakoś skończył, a Piotruś do ochrony bez śniadania poszedł."
0,Mnie ojciec kazał worek na węgle szykować.,Mnie ojciec kazał worek na węgle szykować.
0,"Szturchnął mnie Felek w bok, że to niby ciepło będziemy mieli, bo wiatr strasznie po izbie świstał, i zaraześmy się rozśmiali.","Szturchnął mnie Felek w bok, że to niby ciepło będziemy mieli, bo wiatr strasznie po izbie świstał, i zaraześmy się rozśmiali."
0,"Stałem już chwilę, ale ojciec zapomniał widać o węglach, bo, siedząc na matczynym łóżku, zadumał się i wąsy skubał.","Stałem już chwilę, ale ojciec zapomniał widać o węglach, bo, siedząc na matczynym łóżku, zadumał się i wąsy skubał."
0,"Chrząknąłem raz, nie spojrzał nawet w moją stronę; chrząknąłem drugi raz, spojrzał, jakby mnie nie widział.","Chrząknąłem raz, nie spojrzał nawet w moją stronę; chrząknąłem drugi raz, spojrzał, jakby mnie nie widział."
0,"Przestępując z nogi na nogę, czekałem jeszcze chwilę, ale mi okrutnie pilno było, bo woda koło pompy zamarzła, i Felek poleciał jeździć; zaryzykowałem tedy i chrząknąłem raz trzeci.","Przestępując z nogi na nogę, czekałem jeszcze chwilę, ale mi okrutnie pilno było, bo woda koło pompy zamarzła, i Felek poleciał jeździć; zaryzykowałem tedy i chrząknąłem raz trzeci."
0,"Jak się też ojciec nie obróci, jak nie palnie pięścią w stół!","Jak się też ojciec nie obróci, jak nie palnie pięścią w stół!"
0,"Skoczyłem duchem do sieni, o małom przez próg nie padł.","Skoczyłem duchem do sieni, o małom przez próg nie padł."
0,"Ojciec mnie tymczasem zawołał, choć mu się jeszcze ręce trzęsły czegoś, szesnaście groszy odliczył i po węgle biec kazał.","Ojciec mnie tymczasem zawołał, choć mu się jeszcze ręce trzęsły czegoś, szesnaście groszy odliczył i po węgle biec kazał."
0,"Ojciec ode drzwi zastąpił, żeby dużo mrozu nie naszło, matka odwróciła głowę do ściany i stękała z cicha.","Ojciec ode drzwi zastąpił, żeby dużo mrozu nie naszło, matka odwróciła głowę do ściany i stękała z cicha."
0,"Usunięcie szafy z kąta, gdzie stała, jak tylko zapamiętać mogę, odkryło nam nowe widoki.","Usunięcie szafy z kąta, gdzie stała, jak tylko zapamiętać mogę, odkryło nam nowe widoki."
0,"Przykucnęliśmy tedy wśród nagromadzonych tam śmieci i rozpoczęły sie poszukiwania.","Przykucnęliśmy tedy wśród nagromadzonych tam śmieci i rozpoczęły sie poszukiwania."
0,"Felek znalazł guzik blaszany, który sobie zaraz na rękawie przyszył, a ja wygrzebałem patykiem ze szpary dużą, zardzewiałą igłę, oraz bożą krówkę z podkurczonymi pod siebie nóżkami i wyszczerbionym skrzydełkiem.","Felek znalazł guzik blaszany, który sobie zaraz na rękawie przyszył, a ja wygrzebałem patykiem ze szpary dużą, zardzewiałą igłę, oraz bożą krówkę z podkurczonymi pod siebie nóżkami i wyszczerbionym skrzydełkiem."
0,"Natychmiast zaczęliśmy na nią dmuchać, ale była zdechła.","Natychmiast zaczęliśmy na nią dmuchać, ale była zdechła."
0,"Za każdym z tych odkryć wykrzykiwaliśmy radośnie, a ojciec nie mógł nas napędzić do kaszy, którą nam zgotował na obiad i której tylko matka jeść nie chciała.","Za każdym z tych odkryć wykrzykiwaliśmy radośnie, a ojciec nie mógł nas napędzić do kaszy, którą nam zgotował na obiad i której tylko matka jeść nie chciała."
0,"Przetrząsnęliśmy nareszcie wszystko, a przekonawszy się, że już żadnych skarbów w kącie nie ma, wymietliśmy resztę śmieci do sionki.","Przetrząsnęliśmy nareszcie wszystko, a przekonawszy się, że już żadnych skarbów w kącie nie ma, wymietliśmy resztę śmieci do sionki."
0,"Teraz dopiero spostrzegłem, że w miejscu, gdzie stała szafa, kawał ściany bielszy się wydawał, niżeli reszta izby; udzieliłem tej wiadomości Felkowi, a że i matka w kąt ten patrzyła smutnym wzrokiem, wstał tedy ojciec od kaszy, wyszukał w skrzynce dwa gwoździe i, w ów jaśniejszy kawał ściany wbiwszy, powiesił na nich matczyną suknię brązową od święta i tę drugą modrą codzienną, chustką je pięknie okrył i z boków obcisnął.","Teraz dopiero spostrzegłem, że w miejscu, gdzie stała szafa, kawał ściany bielszy się wydawał, niżeli reszta izby; udzieliłem tej wiadomości Felkowi, a że i matka w kąt ten patrzyła smutnym wzrokiem, wstał tedy ojciec od kaszy, wyszukał w skrzynce dwa gwoździe i, w ów jaśniejszy kawał ściany wbiwszy, powiesił na nich matczyną suknię brązową od święta i tę drugą modrą codzienną, chustką je pięknie okrył i z boków obcisnął."
0,"Wyglądało to bardzo dobrze, a Felek z Piotrusiem zaraz się w chowanego bawić tam zaczęli.","Wyglądało to bardzo dobrze, a Felek z Piotrusiem zaraz się w chowanego bawić tam zaczęli."
0,"Matce w tych czasach pogorszyło się jakoś.","Matce w tych czasach pogorszyło się jakoś."
0,"Czy go kto wołał, czy nie wołał, co dzień choć przez drzwi zajrzał.","Czy go kto wołał, czy nie wołał, co dzień choć przez drzwi zajrzał."
0,"Już nawet pies nie szczekał na niego.","Już nawet pies nie szczekał na niego."
0,"Po szafie kupił od nas cztery na orzech bejcowane krzesła, cośmy na nich do obiadu siadali.","Po szafie kupił od nas cztery na orzech bejcowane krzesła, cośmy na nich do obiadu siadali."
0,"Przy tych krzesłach tośmy mieli uciechę, bo nie mógł więcej wziąć sam, jak dwa, a drugie dwa samiśmy nieśli aż na Ordynackie.","Przy tych krzesłach tośmy mieli uciechę, bo nie mógł więcej wziąć sam, jak dwa, a drugie dwa samiśmy nieśli aż na Ordynackie."
0,"Na głowach my z nimi paradowali samym środkiem ulicy, a Felek tak wrzeszczał: „Na bok!","Na głowach my z nimi paradowali samym środkiem ulicy, a Felek tak wrzeszczał: „Na bok!"
0,"Na bok!”, że aż dorożki stawały.","Na bok!”, że aż dorożki stawały."
0,Dopieroż na Ordynackiem dalej bębnić w stołki.,Dopieroż na Ordynackiem dalej bębnić w stołki.
0,"Pozlatywali się ludzie, myśleli, że to sztuki.","Pozlatywali się ludzie, myśleli, że to sztuki."
0,"Tak nam ta wyprawa zasmakowała, żeśmy się tylko pytali, co trzeba wynosić.","Tak nam ta wyprawa zasmakowała, żeśmy się tylko pytali, co trzeba wynosić."
0,Szczególniej Felek coraz miał nowe pomysły.,Szczególniej Felek coraz miał nowe pomysły.
0,"Jak tylko wrócił z ochrony, zaraz ręce na plecy zakładał, po izbie chodził i po kątach patrzył.","Jak tylko wrócił z ochrony, zaraz ręce na plecy zakładał, po izbie chodził i po kątach patrzył."
0,"— A może by, proszę ojca, garnek żelazny?","— A może by, proszę ojca, garnek żelazny?"
0,"A może by balię, albo zegar?","A może by balię, albo zegar?"
0,"— Poszedł precz! — fuknął na niego ojciec, który teraz prawie ciągle był czegoś zły i smutny.","— Poszedł precz! — fuknął na niego ojciec, który teraz prawie ciągle był czegoś zły i smutny."
0,— Felek!,— Felek!
0,Co ty gadasz? — odezwała się słabym głosem matka. — A toć byś ty niedługo duszę w ciele sprzedał?,Co ty gadasz? — odezwała się słabym głosem matka. — A toć byś ty niedługo duszę w ciele sprzedał?
0,Ja i Piotruś zaczęliśmy także silnie protestować.,Ja i Piotruś zaczęliśmy także silnie protestować.
0,"— Ale! Garnek! Jeszcze czego! A w czym to będziemy gotowali kaszę, albo i ziemniaki?","— Ale! Garnek! Jeszcze czego! A w czym to będziemy gotowali kaszę, albo i ziemniaki?"
0,"— Albo zegar! — dodał z oburzeniem Piotruś.","— Albo zegar! — dodał z oburzeniem Piotruś."
0,"A jakże będziesz bez zegaru wiedział, kiedy ci się jeść chce, albo spać?","A jakże będziesz bez zegaru wiedział, kiedy ci się jeść chce, albo spać?"
0,"A ty, czy zegar pokazuje, czy nie pokazuje, tylko byś ciągle jadł.","A ty, czy zegar pokazuje, czy nie pokazuje, tylko byś ciągle jadł."
0,"— Nie latam! — odparł, zaczerwieniwszy się, Felek.","— Nie latam! — odparł, zaczerwieniwszy się, Felek."
0,— Latasz!,— Latasz!
0,— Nie latam!,— Nie latam!
0,"— Owszem, latasz!","— Owszem, latasz!"
0,"Sam widziałem, jakeś kadryla jadł","Sam widziałem, jakeś kadryla jadł"
0,"— Ja kadryla? Jak Boga kocham, tak nie jadłem!","— Ja kadryla? Jak Boga kocham, tak nie jadłem!"
0,"Tu uderzył się pięścią w piersi, aż echo jękło.","Tu uderzył się pięścią w piersi, aż echo jękło."
0,— No to chuchnij!,— No to chuchnij!
0,"Nastawił się Felek i chuchnął, aż para poszła.","Nastawił się Felek i chuchnął, aż para poszła."
0,Z próby tej wyszedł z tryumfem.,Z próby tej wyszedł z tryumfem.
0,"Nic nie zdradzało spożycia kadryla, a z głębi zapadłej brzuszyny dobyła się tylko czczość wielka.","Nic nie zdradzało spożycia kadryla, a z głębi zapadłej brzuszyny dobyła się tylko czczość wielka."
0,Wszakże przegłosowany Felek nie tracił miny.,Wszakże przegłosowany Felek nie tracił miny.
0,"Pewnego dnia, obchodząc izbę i poglądając po ścianach, wykrzyknął nagle.","Pewnego dnia, obchodząc izbę i poglądając po ścianach, wykrzyknął nagle."
0,"— A rondel, proszę ojca!","— A rondel, proszę ojca!"
0,A moździerz!,A moździerz!
0,A żelazko!,A żelazko!
0,"Struchleliśmy, słuchając.","Struchleliśmy, słuchając."
0,"Rondel, moździerz i żelazko — to były niemal klejnoty rodzinne.","Rondel, moździerz i żelazko — to były niemal klejnoty rodzinne."
0,"Na półce wprost drzwi ustawione, błyszczały olśniewające, złote prawie.","Na półce wprost drzwi ustawione, błyszczały olśniewające, złote prawie."
0,Środkowe miejsce zajmował rondel.,Środkowe miejsce zajmował rondel.
0,"Jak zapamiętać mogę, nigdym nie widział, żeby się w tym rondlu co gotowało.","Jak zapamiętać mogę, nigdym nie widział, żeby się w tym rondlu co gotowało."
0,Byłoby to profanacją po prostu.,Byłoby to profanacją po prostu.
0,"Co sobotę wszakże czyściła go matka cegłą lub popiołem, i tak świecący stał z wystawionym na izbę uchem, błyskając w same oczy, gdy się do stancji wchodziło.","Co sobotę wszakże czyściła go matka cegłą lub popiołem, i tak świecący stał z wystawionym na izbę uchem, błyskając w same oczy, gdy się do stancji wchodziło."
0,"Przy nim stał moździerz z tłuczkiem z jednej strony, a żelazko z drugiej.","Przy nim stał moździerz z tłuczkiem z jednej strony, a żelazko z drugiej."
0,Moździerz był rówieśnikiem moim.,Moździerz był rówieśnikiem moim.
0,"Kupił go ojciec, gdym na świat przyszedł, aby matkę uradować i dobre jej serce za syna okazać.","Kupił go ojciec, gdym na świat przyszedł, aby matkę uradować i dobre jej serce za syna okazać."
0,"Matka zdejmowała go raz do roku tylko, w Wielki Piątek, aby tłuc cynamon do wielkanocnego placka.","Matka zdejmowała go raz do roku tylko, w Wielki Piątek, aby tłuc cynamon do wielkanocnego placka."
0,"Wtedy to zwykle powtarzało się to opowiadanie, w którym ja i moździerz byliśmy bohaterami.","Wtedy to zwykle powtarzało się to opowiadanie, w którym ja i moździerz byliśmy bohaterami."
0,"Właściwie różniliśmy się tym tylko, że mnie przyniósł bocian za darmo, a za moździerz trzeba było zapłacić.","Właściwie różniliśmy się tym tylko, że mnie przyniósł bocian za darmo, a za moździerz trzeba było zapłacić."
0,"Nic więc dziwnego, że istnienie tego moździerza uważałem za ważniejsze, aniżeli moje własne, zwłaszcza patrząc na poszanowanie, jakiego stale używał, podczas gdy ze mną różnie bywało i wówczas, i potem","Nic więc dziwnego, że istnienie tego moździerza uważałem za ważniejsze, aniżeli moje własne, zwłaszcza patrząc na poszanowanie, jakiego stale używał, podczas gdy ze mną różnie bywało i wówczas, i potem"
0,Żelazko także nader rzadko zstępowało z wyżyn półki na poziom naszego codziennego życia.,Żelazko także nader rzadko zstępowało z wyżyn półki na poziom naszego codziennego życia.
0,Matka prasowała nim tylko półkoszulki niedzielne ojca i swoje tiulowe czepki; reszta bielizny szła pod maglownicę.,Matka prasowała nim tylko półkoszulki niedzielne ojca i swoje tiulowe czepki; reszta bielizny szła pod maglownicę.
0,"— Moja pani! — powiedziała jej matka bardzo stanowczym głosem.","— Moja pani! — powiedziała jej matka bardzo stanowczym głosem."
0,"Taki porządek to nie na pożyczki, nie na ludzkie ręce!","Taki porządek to nie na pożyczki, nie na ludzkie ręce!"
0,"To kosztuje!","To kosztuje!"
0,"To raz na całe życie sprawunek!","To raz na całe życie sprawunek!"
0,"Wszyscyśmy przecie pamiętali, jak drzwiami trzasnęła, jak w sieni język rozpuściła, a jak się matce z gniewu i z oburzenia ręce trzęsły, kiedy nam w chwilę potem chleb na śniadanie krajała.","Wszyscyśmy przecie pamiętali, jak na drzwiami trzasnęła, jak w sieni język rozpuściła, a jak się matce z gniewu i z oburzenia ręce trzęsły, kiedy nam w chwilę potem chleb na śniadanie krajała."
0,Od tej też chwili żelazko niezmiernie poszło w górę w moim rozumowaniu.,Od tej też chwili żelazko niezmiernie poszło w górę w moim rozumowaniu.
0,"Zaliczyłem je nawet w myśli do tych rzeczy, które są raz na całe życie, jak chrzest na przykład, bierzmowanie i granatowy płaszcz, o którym ojciec też mówił, że jest raz na całe życie.","Zaliczyłem je nawet w myśli do tych rzeczy, które są raz na całe życie, jak chrzest na przykład, bierzmowanie i granatowy płaszcz, o którym ojciec też mówił, że jest raz na całe życie."
0,"A teraz patrzcież państwo, Felek tak o żelazku mówił, jakby to była warząchew, albo stara miotła.","A teraz patrzcież państwo, Felek tak o żelazku mówił, jakby to była warząchew, albo stara miotła."
0,"Spojrzałem na ojca; byłem pewien, że Felek po uszach oberwie.","Spojrzałem na ojca; byłem pewien, że Felek po uszach oberwie."
0,"Ale ojciec oczy w ziemię wbił, skubał wąsy.","Ale ojciec oczy w ziemię wbił, skubał wąsy."
0,"Dobrze jeszcze, że matka spała na tę chwilę.","Dobrze jeszcze, że matka spała na tę chwilę."
0,Tego dnia nie latałem po mięso dla matki.,Tego dnia nie latałem po mięso dla matki.
0,Kości mi tylko ojciec za trojaka kupić dał i krupnik z nich uwarzył.,Kości mi tylko ojciec za trojaka kupić dał i krupnik z nich uwarzył.
0,"Nazajutrz przyszedł zziębnięty i, zacierając skostniałe ręce, od progu zawołał:","Nazajutrz przyszedł zziębnięty i, zacierając skostniałe ręce, od progu zawołał:"
0,"Ciesz się, Anulku!","Ciesz się, Anulku!"
0,"Wisła tylko patrzeć jak puści, bo się wiatr na zachód obrócił.","Wisła tylko patrzeć jak puści, bo się wiatr na zachód obrócił."
0,"A matka, spojrzawszy na ojca, klasnęła w ręce i aż na pościeli siadła.","A matka, spojrzawszy na ojca, klasnęła w ręce i aż na pościeli siadła."
0,— Filip! — krzyknęła — a kożuch?,— Filip! — krzyknęła — a kożuch?
0,"Teraz dopiero zobaczyłem, że ojciec bez kożucha wrócił.","Teraz dopiero zobaczyłem, że ojciec bez kożucha wrócił."
0,"Nie miałem jednak czasu wielce się rozglądać, gdyż ojciec Piotrusia za ręce chwycił i siarczystego młynka z nim wywinął.","Nie miałem jednak czasu wielce się rozglądać, gdyż ojciec Piotrusia za ręce chwycił i siarczystego młynka z nim wywinął."
0,"Potem głośno się rozśmiał, Piotrusia puścił i, na łóżku matczynym siadłszy, śmiał się, aż mu łzy po twarzy sczerniałej pociekły.","Potem głośno się rozśmiał, Piotrusia puścił i, na łóżku matczynym siadłszy, śmiał się, aż mu łzy po twarzy sczerniałej pociekły."
0,Otarł je prędko rękawem starego spencerka.,Otarł je prędko rękawem starego spencerka.
0,"I cóż, Anulku?","I cóż, Anulku?"
0,Jak ci tam? — zapytał.,Jak ci tam? — zapytał.
0,"Ale matka, na poduszki opadłszy, leżała, jak nieżywa.","Ale matka, na poduszki opadłszy, leżała, jak nieżywa."
