,Unnamed: 0,sentence
1695,1695,"A pretekstów do zablokowania tych dostaw nie zabraknie. Port gazowy to dla nas żadne rozwiązanie. Projekt gmachu opracowali inż. inż. Stanisław Bieńkuński i Stanisław Rychłowski. Na czele Kierownictwo Budowy sprawował pełnomocnik Ministerstwa Przemysłu i Handlu inż. Miszułowicz. Wykonawcami budowy byli: Przedsiębiorstwo Budownictwa Przemysłowego (PBP), Państwowe Przedsiębiorstwo Instalacyjne, Spółdzielnia Pracy ""Grupa Techniczna"", Warszawska Fabryka Dźwigów i szereg przedsiębiorstw pomocniczych. W dużej mierze do przedterminowego wykonania robót przyczyniły się fabryki podległe Centralnemu Zarządowi Przemysłu Drzewnego i Centralnemu Zarządowi Przemysłu Mineralnego. Zwracam się do całej opinii światowej. Apelujemy o zrozumienie dla wyjątkowych warunków, jakie w Polsce powstały, dla nadzwyczajnych środków, jakie okazały się konieczne. Nasze działania nie zagrażają nikomu. Mają jeden cel: usunięcie zagrożeń wewnętrznych, a tym samym zapobieżenie niebezpieczeństwu dla pokoju i współpracy międzynarodowe. Zamierzamy dotrzymywać zawartych umów i porozumień. Pragniemy, aby słowo ""Polska"" zawsze budziła szacunek i sympatię w Europie i w świecie. Większość krajów związkowych, w których odbędą się mecze piłkarskich mistrzostw świata, przystała na żądanie federalnej minister sprawiedliwości Brigitte Zypries (SPD), by wprowadzić uproszczone procedury sądowe dla mundialowych wichrzycieli. - Wykorzystamy wszystkie dostępne środki prawne, aby pokazać chuliganom czerwoną kartkę - zapowiedział saksoński minister sprawiedliwości Geert Mackenroth (CDU). Na str. 1 ""Trybuny Ludu"" zamieszczamy wiadomość o sensacyjnych wynikach prac prof. Joliot-Curie w dziedzinie energii atomowej. Poniżej podajemy oświadczenie prof. Joliot-Curie, w którym znakomity uczony stwierdza, że francuskie źródła energii atomowej będą używane wyłącznie dla celów pokojowych, a wyniki prac prof. Joliot-Curie będą udostępnione całej ludzkości. Zawody na ""Velikance"" były ekscytujące, choć nie tak jak ubiegłoroczne, kiedy to granica 230 m pękała raz za razem, a Romoeren doprowadził nieoficjalny rekord świata aż do metra 239. Teraz ponad 50-tysięczna publiczność nie doczekała się na zbliżone wyczyny (wyjątek: 231,5 m Norwega w sobotniej serii próbnej), bo nie było warunków do bezpiecznego lądowania po tak dalekich lotach. Instytucją, na barki której liderzy PiS-u chcą złożyć ciężar wyplenienia sprzedajności z naszego życia, jest Centralne Biuro Antykorupcyjne, na czele którego stanąć ma b. lider Ligi Republikańskiej, poseł Mariusz Kamiński. Zdaniem styczniowej ""Gazety Wyborczej"", za organizację Biura ma odpowiadać Marek Chodkiewicz, b. pracownik Biura Kontroli TVP, za prezydentury Lecha Kaczyńskiego szef zaopatrzenia urzędów w Warszawie. Gdy z kadrą pracowali profesor Jerzy Żołądź i doktor Jan Blecharz, o kłopotach z psychiką się nie mówiło. Trochę ich brakuje. Wtedy była grupa, ale był też inny szef grupy. Jak znam Pola, będzie teraz rozmawiał przynajmniej z profesorem Żołądziem. Pieniędzy wam wystarcza?"
1827,1827,"Na północy pokrywa śnieżna sięga pół metra. Najdłużej na prąd będą czekać mieszkańcy tych miejscowości, gdzie połamały się słupy energetyczne. W okolicach Ełku i Giżycka nie pracują 3 linie. Na Suwalszczyźnie złamało się 6 słupów, nie pracuje 50 stacji transformatorowych."
1886,1886,"O tytuł Matra rywalizowała z 42 sukami z różnych krajów. Zdaniem sędziego, najpiękniejsza okazała się właśnie Polka. Dogi z hodowli Jadwigi Szłapki prezentują się dobrze nie tylko na wystawowych ringach, ale też... w obiektywie kamer. Dwa jej dogi grały u Bajona w ""Przedwiośniu"", a jeden brał udział w zdjęciach próbnych do filmu ""Blaszany bębenek""."
2013,2013,"Saperzy wydobyli we wtorek sześć artyleryjskich pocisków burzących z czasów II wojny światowej, odkrytych na terenie budowy na krakowskim Prądniku Czerwonym. Ich zdaniem, w ziemi mogą znajdować się kolejne niewypały. Pociski są przerdzewiałe i posiadają zapalniki. Są bardzo niebezpieczne, ich wybuch spowodowałby falę uderzeniową o promieniu do jednego kilometra."
2020,2020,"Premiera Brandenburgii Manfreda Stolpe można bezkarnie określać jako długoletniego współpracownika Stasi. Tak orzekł wczoraj niemiecki Trybunał Federalny w Karlsruhe. Skargę do Trybunału Federalnego przeciwko zakazowi używania takiego określenia, który wydały sądy niższej instancji wniósł przewodniczący frakcji chadeckiej w parlamencie Berlina, Uwe Lehmann-Bruns, który po upadku Muru Berlińskiego jako adwokat reprezentował wielu wschodnioniemieckich dysydentów. Kwaśniewski podkreślił, że odznaczenia przyznaje na wniosek uprawnionych instytucji. Wnioski o nadanie odznaczeń złożył wojewoda Wiesław Olszewski (SLD), odwołany 22 grudnia 1997 r. Kancelaria Prezydenta otrzymała od wojewody pismo informujące o niewręczeniu odznaczeń. Zgodnie z ustawą o orderach i odznaczeniach, w imieniu prezydenta mogą je wręczyć instytucje i osoby uprawnione do wnioskowania o ich nadanie: premier, ministrowie, kierownicy urzędów centralnych oraz wojewodowie. ""Wszystkie oczy na Bawarię"" - taki tytuł znalazłam w ""Gazecie Wyborczej"" przed wyborami do bawarskiego Landtagu. Przepowiednie brzmiały: w Niemczech wygra partia, która odniesie psychologiczny sukces we wcześniejszych wyborach bawarskich. Jak wiadomo, sukces odniosła CSU, która utrzymała, a nawet trochę powiększyła swój stan posiadania. SPD ""skok do przodu"" się nie udał, straciła kilka posiadanych poprzednio mandatów. - Tak, sytuacja kadrowa jest trudna. Nie będą mogli grać Kowalik (musi pauzować jeszcze jeden mecz), Mróz i Gędłek (obligatoryjnie pauzują 2 spotkania), na szczęście do gry wraca zawieszony za kartki Baster. Będę miał problemy z zestawieniem obrony, brakuje Mroza, prawdopodobnie przesunę do tej formacji rutynowanego Fudalego. Reszta zawodników jest gotowa do gry łącznie z Węglem, który miał ostatnio kontuzję. (AS) - Osoby określane mianem Polonii niemieckiej - jako w zdecydowanej większości osoby posiadające obywatelstwo niemieckie - mają prawo wiedzieć, jak poszczególne partie polityczne i czołowi politycy ustosunkują się do najistotniejszych dla Polski kwestii - twierdzi Bogdan Miłek. - W takim momencie jak wybory do Bundestagu chcemy wiedzieć, komu świadomie udzielić swojego głosu. Choćby dlatego, by móc porównać obietnice i programy wyborcze poszczególnych partii z późniejszą praktyką życia społecznego i politycznego. Najgrubsza pokrywa śnieżna, wynosząca 48 cm była - według pracowników krośnieńskiej Stacji Hydrologiczno-Meteorologicznej IMiGW - w Wetlinie. 36-centymetrowa warstwa śniegu leżała w Cisnej, 32 cm w Kalnicy, 29 cm w Stuposianach, 28 cm w Sakowczyku. Najchłodniej natomiast było w Wetlinie, Wisłoku Wielkim, Wysowej i Jaśliskach - po minus 7 stopni C, a najcieplej - 3 stopnie poniżej zera - w Baligrodzie. W 1953 roku Sinatra zadebiutował jako aktor i wtedy właśnie rozpoczął się nowy etap w jego karierze. Za drugoplanową rolę żołnierza Angelo Maggio w filmie ""Stąd do wieczności"" otrzymał Oscara. Jego przeboje - ""Night and day"", ""Laura"", ""I've Got You Under My Skin"", ""Strangers in the Night"", ""The Lady is the Tramp"", ""Chicago"", ""Ebb Tide"" czy ""My Way"" znał cały świat. (PAP) Nie tylko dlatego, że Złotego Lwa na początek, za całokształt twórczości, odbiorą Andrzej Wajda razem z Sophią Loren, ale również dlatego, że do Wenecji przyjadą m.in. Meryl Streep, Sting oraz Paul Mc Cartney. Nie ma co marzyć na razie jeszcze o tym, by kino europejskie przelicytowało amerykańskie sukcesy, w konkursie jednak filmy ze Stanów Zjednoczonych nie będą wcale przeważać."
2123,2123,"- usłyszał w ciemności głos Mandżara. - Nie... ale trochę... - Ja też trochę. - Ja może nawet więcej niż trochę - zaśmiał się cichutko Paragon. -Co tu dużo  gadać, mam porządnego pietra. Ale to nic, jakoś nam pójdzie. Malarz chwycił go mocno za ramię. - Słuchaj - wyszeptał -jeżeli wiesz, kto to straszy, to powiedz. Nie będziesz  żałował. Chłopiec wzruszył ramionami. ""Ty, braciszku - pomyślał jesteś za bardzo ciekawy"".  Potem powiedział spokojnie: - Gdybym wiedział, to bym panu jak na spowiedzi... Ale co ja mogę wiedzieć  o duchach?"
2942,2942,"– Nie, przecież w pierwszej opisałem zaledwie pierwszy miesiąc misji. W drugiej części czytelnik będzie mógł lepiej poznać cały pluton rotacyjny szeregowca Leńczyka. Pluton, do którego trafiają niechciani przez dowódców żołnierze, ci którzy podpadli. Wysyła się ich do najgorszej roboty. Co do Afganistanu, to sprawa jest zachęcająca, temat jest, ale jeszcze nie teraz. – Rozliczmy się od razu – zaproponował parlamentarzystce. – Potem – poprosiła. Miała wydatki. Imprezę trzeba było wydać z okazji objęcia mandatu, kiecki kupić i samochód reprezentacyjny. Wyrobę zrobiła kierownikiem biura poselskiego. Za 992 zł, bo do roboty miał blisko, biuro mieściło się w redakcji, a ta w jego chałupie. Dodatkowo okazało się, że z brudnopisu dziennika okrętowego (oficer na wachcie dokonuje wpisów na bieżąco do tzw. brudnopisu, a potem jest to na czysto przepisywane do właściwego dziennika, jednak oba dokumenty są tak samo ważne) ktoś wyrwał dwie kartki z zapisem wydarzeń akurat tamtego dnia. Opis zachowania żaglowca wskazujący, że musiał on w coś uderzyć, znalazł się natomiast w dzienniku prowadzonym oddzielnie przez starszego mechanika. Zespół pracujący w UOP nad sprawą Krzysztofa P. składał się z trzech ludzi. Jednym z nich był Michał Cichy. Uczestniczył w zatrzymaniach niektórych osób związanych z Krzysztofem P., przesłuchiwał, pozyskiwał konfidentów, których zeznania stanowiły podstawę, by oskarżyć m.in. Krzysztofa P. i kilka innych postaci, w tym byłego wiceprezesa Sądu Okręgowego w Katowicach. Drugą częścią projektu miały być transmisje telewizyjne do jednej z kawiarń przy placu ze ""świata wstydliwego"", czyli pobliskiej stacji metra zamieszkanej przez bezdomnych i narkomanów. W tym samym czasie na ścianach metra miały być wyświetlane ruchome obrazy z kawiarni. Rumasowe ""Hitlerki"" miały się pojawiać w obu tych miejscach. Całość realizacji miała kosztować 8 tys. euro. Projekt zatytułowano ""Plein air"" – ""Czyste powietrze"". Pana P. Moczydłowskiego (obecnie na statusie socjologa), zapewniamy, że za tą sprawą stała tylko i wyłącznie wóda, co akurat pan Moczydłowski powinien rozumieć bez oporów. Już po publikacji dowiedzieliśmy się, że cała dokumentacja tej sprawy, a także prawo jazdy zabrane pijanemu generał-szpiegowi były schowane w szafie pancernej u komendanta głównego policji - Stańczyka. Nasze informacje więc, były bez pudła. Jednostka Wojskowa 30 09 w Leźnicy Wielkiej zasłużyła sobie wreszcie na sławę. W głównym wydaniu ""Wiadomości"" pan spiker poinformował naród, że stacjonującemu tam Wojsku Polskiemu ukradli 15 spluw P-64 i 20 granatów zaczepnych F-1. My leźnickim komandosom, dowodzonym przez podpułkownika pilota dyplomowanego, Stanisława Ciołka, przypatrujemy się od roku. Powiedzmy więc na wstępie, że jest to kolejny niefortunny wypadek. Jak się skończy, nie wiemy. Wiemy jednak, czym się skończyło kilka poprzednich. Pani Alicja w sklepie sprzedaje, mąż dowozi jej towar. Przed dojściem AWS do władzy małżonkowie kilkakrotnie starali się o koncesję - bezskutecznie. Zgodę na sprzedaż alkoholu otrzymali dopiero wówczas, gdy pan Sławomir został członkiem Zarządu Miejskiego AWS i przy okazji radnym. Sklep przepisano na panią Alę i wszystko było cacy. 3) Wyznawanie prawa naturalnego, a co za tym idzie sprzyjanie klerowi i prawicy, nie tylko pozwala lekceważyć prawo stanowione, ale daje też władzę nierespektowania znaczenia słów. Ktoś więc, czyje poglądy są obmierzłe, może być nazwany prawomocnie złodziejem albo zdrajcą narodu czy deprawatorem. Za prawo też uznaje się coś innego, niż to określają słowniki i encyklopedie. Odżegnywanie się ekipy Wildsteina od umiejętności liczenia kasy zaczyna brać w łeb. Okazuje się bowiem, że chłopaki czasem myślą ekonomicznie. W ramach czystki z Warszawskiego Ośrodka Telewizyjnego zwolniono 28 osób. Gdyby zwolniono 30, trzeba by im w ramach zwolnienia grupowego wypłacać odprawy. A tak spoko... Swoją drogą, dlaczego nie 29?"
3070,3070,"Pójdźmy na kompromis: dla wydawnictwa Amber to mistrz, dla jankesów uczeń. Przy opracowaniu tekstu autor korzystał z materiałów zawartych w magazynach ""Trashem All"" (7.8.9/93), ""Equlibrium of Noisse"" (1/96), ""Morbid Noisse Magazin"" (1/96). Powoli odsłania się tajemnica doskonałych osiągnięć sportowych skoczka wzwyż, nowego emigranta z byłego Sojuza, lekkoatlety Konstantego Matosewicza, szykowanego przez Izrael na Atlantę. Ostatnio, podczas mityngu we Włoszech, Matosewicz poszybował samodzielnie na zawrotną wysokość 2,34 m, co zapewniło mu mistrzostwo Izraela, uboższe przed nim o jakieś pół metra. – Startuję do Senatu. – To też trzeba zdawać egzamin. – Uważam, że egzamin to zdaje człowiek, jak idzie do szkoły. Nie odpowiem pani raczej na to pytanie. – Ma Pan już hasło wyborcze i pomysł na kampanię?"
3397,3397,"Z braku czasu, czytam tylko to, co muszę. Przeróżne opracowania, dużo publicystyki, wspomnienia , pamiętniki - tego rodzaju rzeczy muszę teraz czytać. Ale udało mi się przeczytać ostatnio ""Filozofię po góralsku"" Tischnera i niezwykle mnie to ucieszyło. Bo sam jeżdżę na Podhale i jestem z góralami zaprzyjaźniony. W Białce, u górali możecie się dowiedzieć na mój temat wiele. Adam Rybicki: Walendziak to człowiek, który wie, czego chce. Świadomie wybrał grę w pierwszej lidze. - Myślę, że Wiesiek jest głębi w duszy po prostu poetą - twierdzi Artur Matys. - Zgoda, jeśli to słowo określa stan ducha, a nie samo pisanie wierszy - zgadza się szef kancelarii premiera. Jak pisałem, jestem jeszcze bardziej niż autor pesymistycznie nastawiony do utrzymania popularności przez rząd J. Buzka. Nawet jednak gdyby się to udało, to w wytworzonym, wysoce niefortunnym, dwubiegunowym układzie, komuniści prędzej czy później do władzy wrócą. Teraz jest właśnie szansa na to, aby państwo zmienić tak, aby i wówczas nie mogli nadmiernie szkodzić. Kilka ciemnych stron działalności ministra Wiatra?"
3474,3474,"Przegrał wszystko, co było do przegrania. Teraz powinien latryny szorować, z gabinetem politycznym włącznie, a nie ględzić w telewizorze"". Na razie jest scenariusz, który napisał Cezary Harasimowicz (m.in. ""300 mil do nieba"", ""Ekstradycja 3"" i ""Przeprowadzki""), projekty postaci (konkurs wygrał młody grafik Tomasz Przydatek) i zrealizowane w technice 3D demo, z zasypaną śniegiem chatą krasnoludków, płonącym ogniem i tańczącym wokół izby Podziomkiem. U młodej dziewczyny psychiatra z Modusa rozpoznał początki choroby psychicznej, dziewczyna myśli o samobójstwie. Ale matka nie zgadza się na szpital. Nawet jeśli wie, że wystawienie skierowania do szpitala jest dziś dla psychiatry ostatecznością. Ostatecznością, nie tylko ze względu na przepisy prawa, ale i obowiązującą dziś w psychiatrii doktrynę, że trzeba odchodzić od szpitalnego modelu leczenia (przez psychiatrów nazywanego biologicznym) do środowiskowego (zwanego humanistycznym). Pierwsza z chorób jest najczęściej wynikiem zużycia stawu na skutek przeciążeń - większość z nas po 40 roku życia pada jej ofiarą. Druga, zwana dawniej popularnie gośćcem, może zaatakować nawet przed trzydziestką i ma związek z wadliwym funkcjonowaniem naturalnego układu odporności. Pewien wpływ na postawy wobec pracy może mieć także wyznanie i ukształtowana przez nie etyka. W religii protestanckiej praca jest drogą do zbawienia, a bogactwo - świadectwem cnót. Dlatego ceni się sumienność, odpowiedzialność, perspektywiczne myślenie. Katolicyzm mniej sprzyja dobrobytowi jako religia pochylona nad biednym, który jawi się jako niezawiniona ofiara okoliczności, na które nie ma wpływu. Ktoś z gorszym od nas mózgiem dotyka nas, głaszcze, rzuca się na szyję, naruszając naszą prywatną przestrzeń. Mówi i gestykuluje wbrew konwencji. Musimy więc, poznając go, zejść z pozycji władzy, kompetencji, odejść od poczucia terytorium, odległości i zobaczyć siebie bez tych atrybutów. Co wtedy czujemy - odrazę czy ciepło płynące z dotyku i doznania spontaniczności?"
3895,3895,"- Najbardziej lubimy, gdy jest lato i razem wyjeżdżamy na wczasy. Mnóstwo znajomych, dyskoteki do białego rana, romantyczne spacery. Zero trosk. Komendant Miejskiej Policji w Przemyślu Artur Jędruch: - Nie mam zdania. Jeśli ludzie i instytucje, zajmujące się tymi sprawami, uznają, że teczki trzeba ujawnić - należy zaufać ich mądrości. Sam z przyjemnością przeczytałbym dokumenty na swój temat, sądzę, że istnieją. Chciałbym też poznać nazwiska tych, którzy donosili. Nie, nie mściłbym się, to nie leży w mojej naturze, ale chciałbym wiedzieć. Monika: - Czuję się raczej bezpiecznie. Wprawdzie słyszałam coś o tym, że w mieście są kamery, ale nawet nie wiem gdzie. Nie sądzę, żeby pomogły w schwytaniu chuliganów, nigdy się z tym nie spotkałam. Policjantów na ulicach jest na pewno za mało. Joanna Pawelec od pięćdziesięciu lat mieszka w pożydowskim domu ""bliźniaku"" przy ulicy Szkolnej w Oleszycach. Od trzydziestu jest właścicielką mieszkania w tym budynku. Rok temu okazało się, że mieszka w lokalu należącym do sąsiadki. Sąsiadka urzęduje zaś w jej kuchni i dwóch pokojach. Winiarstwa współczesnego ma się rozumieć, bo sama nazwa Winna Góra (jedno z osiedli miasta) wskazuje, że w przeszłości wino było tu produkowane, przynajmniej na własne potrzeby. Wiesław Morawski traktuje swoją winnicę hobbystycznie. Pracuje jako pediatra, jest miejskim radnym i działaczem PiS, więc czasu na pielenie grządek ma tyle, ile snu odmówi sobie bladym świtem: - Jadę na działkę rano, przed pracą, traktuję to jak poranną gimnastykę... - mówi. W poniedziałek naczelnik Jerzy Żemełko był na urlopie. Nieobecny był również prezydent, a tylko on - jak twierdzili pracownicy kancelarii prezydenta - może się na ten temat wypowiadać. We wtorek prezydent Robert Choma skierował sprawę do rzecznika dyscyplinarnego UM Danuty Wiech. Wiosna, rok 2004. Gmina Miejska Dynów ogłasza przetarg na budowę kanalizacji sanitarnej przy ul. Podgórskiej w Dynowie. Stawka jest duża, wartość inwestycji to prawie 2 mln zł. Władze miasta wyznaczają kryterium, jakie muszą spełniać, startujące w przetargu firmy - jest nim najniższa cena oferty. - Pokusy może rodzić fakt, że ktoś zarabia mało, a często od jego decyzji zleży to, czy importer na granicy zapłaci od przewożonego towaru 1000, 10 tysięcy czy nawet 100 tysięcy złotych. Celnicy podejmują decyzje o bardzo dużych kwotach. I czasem może to kusić, żeby przymknąć oko. W tym momencie, gdy celnik weźmie raz łapówkę, już jest skończony. Bo weźmie i drugi raz. A za trzecim razem wpadnie. Najprzyjemniej jest, gdy jesteśmy wieczorem sami w domu, w telewizji leci dobry film. Lampka wina, coś smacznego do jedzenia, to jest to. Najbardziej drażni Cię, gdy on... - Gdy on mnie nie słucha. Potrafi mnie to wyprowadzić zupełnie z równowagi. On ma minę jakbym zatruwała mu życie, ja czuję się nierozumiana."
3932,3932,"Rzecznik australijskiego koncernu Chris Codrington wyraził przekonanie, że przyczyną zatrucia wód Cisy nie był cyjanek. Zapowiedział, że eksperci koncernu udali się już z Sydney do Rumunii i we wtorek przeprowadzą badania w kopalni Baia Mare. Agencja ochrony środowiska z Baia Mare ocenia, że w odległości 1 kilometra od kopalni stężenie trucizny wynosi 0,016 mg na litr przy dopuszczalnej 0,1 mg na litr. - Internet wzbudza wielkie nadzieje wśród inwestorów. Już od pewnego czasu mówiło się, że spółki informatyczne są przewartościowane, a one ciągle szły w górę - mówi Benita Mikołajewicz, analityk ING Barings. - Sprzyjały temu zapowiedzi kolejnych inwestycji w Internet, choć na razie nie usłyszeliśmy konkretnie, co nowego spółki informatyczne chcą nam zaoferować. Odpowiedź przyniosą najbliższe tygodnie i wówczas możemy spodziewać się weryfikacji wartości tych spółek. - Kierowane byłyby na bardzo wyraziste cele - przewiduje Adam Glapiński, senator AWS. - Może nie na zakup czołgu czy karabinów, ale np. na sprzęt radiolokacyjny czy supernowoczesną technikę komputerową. Andrzej Ostoja-Owsiany z Senackiej Komisji Obrony marzy jednak, by ze składek udało się kupić choć jeden myśliwiec. - Wiele tysięcy osób w Polsce udaje, że zajmuje się sprawowaniem władzy za pieniądze podatników - uzasadnia konieczność cięć Donald Tusk. Operacja ma przynieść duże oszczędności. Wielu radnych pobiera wysokie diety. W Warszawie sięgają one 3,5 tys. zł. Tusk myśli również o redukcji mandatów senatorskich i poselskich. Póki co parlamentarzyści mogą jednak spać spokojnie. Projekt nie wykracza poza gminy. - Prawdopodobnie żeby utorować sobie drogę ucieczki, jeden z oskarżonych, który trzymał w ręku broń, zdetonował granat, rzucając go w stronę policjantów - opowiada dalej Cisowski. - W odpowiedzi  antyterroryści  otworzyli ogień. Strzały okazały się śmiertelne. Szef grupy Mariusz M. zginął na miejscu, drugi oskarżony zmarł kilkanaście minut później. Cała akcja rozegrała się błyskawicznie i trwała najwyżej kilka sekund. - Ma bardzo dobrą pamięć. Nie wszystkie czyny, o których Rafał M. opowiadał, możemy udowodnić - mówi rzecznik komendanta stołecznego Dariusz Janas. Przestępca okradał kobiety w rejonach ulic: Pstrowskiego, Marymonckiej, Lindego, Doryckiej, Przy Agorze, Nocznickiego, Wrzeciono, Twardowskiego, Kasprowicza, Oczapowskiego i Schroegera. Ministerstwo Finansów nie chce na razie wypowiadać się, czy sprawy lekarzy wpłyną na budżet państwa. - Oficjalne stanowisko resort zajmie dopiero wtedy, gdy zapadnie wyrok we wszystkich instancjach - mówi Mirosława Malesza z biura prasowego ministerstwa. - Dokumenty dotyczące wyroku białostockiego sądu jeszcze nie trafiły do ministerstwa. RED.: Pracownik korzystający z urlopu bezpłatnego udzielonego w związku ze skierowaniem za granicę zachowuje prawo do nagrody. Udzielenie bowiem pracownikowi urlopu bezpłatnego nie oznacza rozwiązania umowy o pracę z danym zakładem. Urlop ten nie przerywa więc uprawnień pracownika do nagrody i do jej wysokości uzależnionej od stażu pracy w tym zakładzie, chociaż samego okresu urlopu bezpłatnego nie wlicza się od okresu pracy, od którego zależą uprawnienia pracownicze, w tym trzynastka. Kto więc wyręczy Kalinowskiego?"
4068,4068,"W województwie nie ma ani jednego grzebowiska dla zwierząt, choć ustawa z 1927 roku nakłada na gminy obowiązek urzadzania takich obiektów. Dlatego pogrzeb psa czy kota odbywa się zwykle w lesie lub na łące, w ogródku, na działce, czyli wbrew przepisom sanitarnym. Bo mało kto wie, że szczątki czworonoga należy zakopać w piaszczystym gruncie na głębokości 1,5 metra."
4104,4104,"Niestety, zestaw dokumentalnych fotografii i kronik filmowych jest bardzo ograniczony. Rok 1970. Zabity robotnik niesiony na drzwiach - obraz, który oglądamy po raz setny i który po raz setny robi niesamowite wrażenie. Czarno-białe (z przewagą czerni) zdjęcia filmowe z upiornie wyglądających ulic Gdańska, w tym zagubiona ciężarówka wioząca choinki. Polscy widzowie obejrzą tę produkcję (już niedługo na antenie TVN) bez zgrzytania zębami. We włoskiej wersji językowej nie kaleczy się polskich nazwisk, a ""Nie rzucim ziemi"" śpiewane jest przez Polaków. Zwraca uwagę staranna scenografia i dbałość o kostiumy, na przykład do sceny wyświęcenia na biskupa wypożyczono z Muzeum Diecezjalnego w Krakowie niektóre rekwizyty użyte przez Wojtyłę podczas ceremonii w 1958 r. W 2000 r. pani Krystyna, już wówczas na wózku inwalidzkim, zadzwoniła na Wawel i zaprosiła do siebie dyrektora zamku: chce przekazać po śmierci majątek tej właśnie instytucji. Część zbiorów, na jej życzenie, od razu zabrano na Wawel; Krystyna, choć już bardzo chora, wstała wówczas z łóżka i nadzorowała pakowanie. Język telenowel jest ujednolicony, mało barwny, ogólnopolski. Pokpiwa się z niego nawet w ""Złotopolskich"", gdzie w dialogu między listonoszem a sklepową, stojącymi przy wiejskiej drodze, króluje odmieniane na wszelkie sposoby słowo ""kontrowersja"". Gwarą porozumiewają się jedynie bohaterowie ""Świętej wojny"", w której godo się po ślunsku. W krajach Europy Zachodniej i USA jest kilkakrotnie więcej niż w Polsce adwokatów w stosunku do liczby ludności. W efekcie dostęp do ich pomocy jest nieporównanie łatwiejszy, a jednocześnie tańszy. - Towarzyszą oni tam człowiekowi we wszelkich czynnościach prawnych, nawet pozornie tak prostych jak wynajem mieszkania czy sporządzenie testamentu - przyznaje warszawski adwokat Jacek Dubois. Martha Kosicky ma blond włosy i dziadka z Polski. Leci z Milwaukee do Pekinu na chiński Nowy Rok. Na miejscu uczy się wymowy nazw stacji metra. Rano staje w kolejce do kasy. Kobieta w fartuchu sprzedaje jej papierowy bilet. Potem schody w dół i wyciągnięta dłoń konduktorki. Pokwitowanie zostaje w rękach Marthy, reszta ląduje w koszu obok. - Różnie bywa. Kiedy mówi się o cudach w Lourdes, kiedy ktoś dostąpił cudownego uzdrowienia, Kościół prosi lekarzy, aby wypowiedzieli się na ten temat. Ale opinia jest tutaj zawsze bardzo ostrożna. Lekarze nigdy nie powiedzą: cud. - A kto powie?"
