,type,source_sentence,target_sentence,generated_text,score,lev
42,1,Ta wizja macierzyństwa spotkała się z polemiką ze strony działaczki pacyfistycznej i feministycznej Madeleine Vernet (1878-1949).,Ta wizja macierzyństwa spotkała się z polemiką ze strony pacyfistycznej i feministycznej osoby działaczej Madeleine Vernet (1878-1949).,Ta wizja macierzyństwa spotkała się z polemiką ze strony osoby działaczej pacyfistycznej i feministycznej Madeleine Vernet (1878-1949).,1,0.2222222222222222
55,1,"Na razie jedynie weto Kwaśniewskiego może powstrzymać pazernych awuesiarzy, którzy mnożąc urzędy rozbudowują dla siebie przechowalnię.","Na razie jedynie weto Kwaśniewskiego może powstrzymać pazerne osoby awuesiarskie, którzy mnożąc urzędy rozbudowują dla siebie przechowalnię.","Na razie jedynie weto Kwaśniewskiego może powstrzymać pazernych osób awuesiarskich, którzy mnożąc urzędy rozbudowują dla siebie przechowalnię.",1,0.04929577464788732
56,1,"Zatrzymał dwa konie rycerza, jako gwarancję jego powrotu, a w zamian dał mu ich równowartość w gotówce.","Zatrzymał dwa konie osoby rycerskiej, jako gwarancję jego powrotu, a w zamian dał jej ich równowartość w gotówce.","Zatrzymał dwa konie osoby rycerskiej, jako gwarancję jej powrotu, a w zamian dał mu ich równowartość w gotówce.",1,0.04424778761061947
64,1,"Lekarze i pielęgniarki o oczach czerwonych od niewyspania słaniali się na nogach ze zmęczenia, samoloty dowoziły szczepionkę z różnych końców świata: epidemia była przecież wtedy zaskoczeniem.","Osoby lekarskie i pielęgniarskie o oczach czerwonych od niewyspania słaniali się na nogach ze zmęczenia, samoloty dowoziły szczepionkę z różnych końców świata: epidemia była przecież wtedy zaskoczeniem.","Osoby lekarskie i pielęgniarskie o oczach czerwonych od niewyspania słaniły się na nogach ze zmęczenia, samoloty dowoziły szczepionkę z różnych końców świata: epidemia przecież była wtedy zaskoczeniem.",1,0.06435643564356436
67,1,Czterech młodych żołnierzy w granatowych mundurach MSW mocno zapukało do drzwi.,Cztery młode osoby żołnierskie w granatowych mundurach MSW mocno zapukały do drzwi.,Czterech młodych osób żołnierskich w granatowych mundurach MSW mocno zapukało do drzwi.,1,0.12643678160919541
68,1,"To prawda, ale z drugiej strony nie ma nic gorszego niż wydać dużo pieniędzy, a potem mimo to biegać z kartą gwarancyjną za jaśnie wielmożnym panem (tfu) serwisantem.","To prawda, ale z drugiej strony nie ma nic gorszego niż wydać dużo pieniędzy, a potem mimo to biegać z kartą gwarancyjną za jaśnie wielmożną (tfu) osobą serwisancką.","To prawda, ale z drugiej strony nie ma nic gorszego niż wydać dużo pieniędzy, a potem mimo to biegać z kartą gwarancyjną za jaśnie wielmożnym panem (tfu) osobą serwisancką.",1,0.046511627906976744
70,1,"Za chwilę zgłosiła się ta sama recepcjonistka i bez wstępów, widocznie konsultowała rzecz z siostrą, powiedziała: - Łączę z działem obsługi pielgrzymów.","Za chwilę zgłosiła się ta sama osoba pracująca w recepcji i bez wstępów, widocznie konsultowała rzecz z siostrą, powiedziała: - Łączę z działem obsługi osób pielgrzymujących.","Za chwilę zgłosiła się ta sama osoba pracująca w recepcji i bez wstępów, widocznie konsultowała rzecz z siostrą, powiedziała: - Łączę z działem obsługi osób pielgrzymskich.",1,0.028735632183908046
74,1,"Do pracy naukowej wrócił również niedawny lider UP, RYSZARD BUGAJ.","Do pracy naukowej wróciła również niedawna osoba liderska UP, RYSZARD BUGAJ.","Do pracy naukowej wrócił również niedawna osoba liderska UP, RYSZARD BUGAJ.",1,0.013157894736842105
76,1,"Jaka jest pewność, że Pismo Święte po wielu tłumaczeniach oddaje wiernie to, co autorzy mieli na myśli...","Jaka jest pewność, że Pismo Święte po wielu tłumaczeniach oddaje wiernie to, co osoby autorskie mialy na myśli...","Jaka jest pewność, że Pismo Święte po wielu tłumaczeniach oddaje wiernie to, co osoby autorskie miały na myśli...",1,0.008849557522123894
79,1,– bo on chyba jakimś dyrektorem przecież został nie?,– bo on chyba jakąś osobą dyrektorską przecież został nie?,– bo on chyba jakimś osobą dyrektorską przecież został nie?,1,0.03389830508474576
82,1,W latach 1954- 69 duszpasterz akademicki na Sorbonie.,W latach 1954- 69 osoba duszpasterska akademicki na Sorbonie.,W latach 1954- 69 duszpasterz akademicki na Sorbonie.,0,0.14754098360655737
84,1,"Pewnego dnia fotograf odkryje prawdę i będzie musiał zdecydować: czy kocha miłą powierzchowność Noelle czy fascynującą osobowość, ale i niezbyt kształtną figurę Abby.","Pewnego dnia osoba zajmująca się fotografią odkryje prawdę i będzie musiała zdecydować: czy kocha miłą powierzchowność Noelle czy fascynującą osobowość, ale i niezbyt kształtną figurę Abby.","Pewnego dnia osoba fotografska odkryje prawdę i będzie musiał zdecydować: czy kocha miłą powierzchowność Noelle czy fascynującą osobowość, ale i niezbyt kształtną figurę Abby.",1,0.09523809523809523
93,1,Grochulski - wskazał rudego - też robi za siebie i operatora radaru.,Grochulski - wskazał rudego - też robi za siebie i osobę operatorską radaru.,Grochulski - wskazał rudego - też robi za siebie i osoby operaterskiej radaru.,1,0.0641025641025641
103,1,Niektórzy spośród demonstrantów odnieśli obrażenia.,Niektóre spośród osób demonstranckich odniosły obrażenia.,Niektórzy spośród osób demonstranckich odnieśli obrażenia.,1,0.10344827586206896
104,1,Załogę samolotu stanowi dwóch pilotów i inżynier pokładowy oraz sześć osób obsługi pokładowej.,Załogę samolotu stanowią dwie osoby pilockie i osoba inżynierska pokładowa oraz sześć osób obsługi pokładowej.,Załogę samolotu stanowi dwie osoby pilotackie i inżynierskie pokładowe oraz sześć osób obsługi pokładowej.,1,0.10909090909090909
113,1,"Informację tygodnika ""Capital"", iż komisja śledcza Bundestagu ds. afery finansowej CDU zbada zarzuty przeciwko Siemensowi i b. kanclerzowi, potwierdził wczoraj szef komisji Volker Neumann.","Informację tygodnika ""Capital"", iż komisja śledcza Bundestagu ds. afery finansowej CDU zbada zarzuty przeciwko Siemensowi i b. osobie kanclerskiej, potwierdziła wczoraj osoba szefująca komisji Volker Neumann.","Informację tygodnika ""Capital"", iż komisja śledcza Bundestagu ds. afery finansowej CDU zbada zarzuty przeciwko Siemensowi i b. osobie kanclerskiej, potwierdziła wczoraj osoba szefowska komisji Volker Neumann.",1,0.019230769230769232
114,1,"Prosty chłopak, z zawodu ślusarz, a proszę, do czego doszedł: dwa domy, kilka samochodów, duże pieniądze.","Prosty chłopak, z zawodu osoba ślusarska, a proszę, do czego doszedł: dwa domy, kilka samochodów, duże pieniądze.","Prosty chłopak, z zawodu ślusarz, a proszę, do czego doszedł: dwa domy, kilka samochodów, duże pieniądze.",0,0.07964601769911504
117,1,"Ponownie witam na naszym posiedzeniu podsekretarza stanu w Ministerstwie Gospodarki, pana ministra Wojciecha Katnera.","Ponownie witam na naszym posiedzeniu osobę podsekretarską stanu w Ministerstwie Gospodarki, osobę ministerską Wojciecha Katnera.","Ponownie witam na naszym posiedzeniu osobę podsekretarską stanu w Ministerstwie Gospodarki, osobę ministerską Wojciecha Katnera.",1,0.0078125
123,1,"Poseł od 1997 r. Andrzej Markowiak - 54 l., inżynier mechanik.","Osoba poselska od 1997 r. Andrzej Markowiak - 54 l., osoba inżynierska mechanicza.","Poseł od 1997 r. Andrzej Markowiak - 54 l., osoba inżynierska mechaniczna.",0,0.14634146341463414
126,1,"Ja sam w szkole chodziłem w czapce w kamuflarz z doszytym futerkiem ""na irokeza"" i budziłem niezdrowe emocje w rówieśnikach.","Ja sam w szkole chodziłem w czapce w kamuflarz z doszytym futerkiem ""na irokeza"" i budziłem niezdrowe emocje w osobach rówieśniczych.","Ja sam w szkole chodziłem w czapce w kamuflarz z doszytym futerkiem ""na irokeza"" i budziłem niezdrowe emocje w rówieśnikach.",0,0.08270676691729323
127,1,"Kobieta schowała gotówkę do torebki, ale zanim wstała, przywitali ją policjanci po cywilnemu.","Kobieta schowała gotówkę do torebki, ale zanim wstała, przywitały ją osoby policjanckie po cywilnemu.","Kobieta schowała gotówkę do torebki, ale zanim wstała, przywitali ją osoby policjanckie po cywilnemu.",1,0.019801980198019802
128,1,Baszmaczkina sam niegdyś postawiłem w dzienniku obok kopisty Bartleby z noweli Melville'a.,Baszmaczkina sam niegdyś postawiłem w dzienniku obok osoby kopistycznej Bartleby z noweli Melville'a.,Baszmaczkina sam niegdyś postawiłem w dzienniku obok kopisty Bartleby z noweli Melville'a.,0,0.10891089108910891
129,1,"Oprócz rekordu, Mistrzyni zaprezentowała swoją siłę także na inne sposoby – unosząc samochód oraz podnosząc nad głowę ponad 80-kilogramowego mężczyznę.","Oprócz rekordu, Osoba Mistrzowska zaprezentowała swoją siłę także na inne sposoby – unosząc samochód oraz podnosząc nad głowę ponad 80-kilogramowego mężczyznę.","Oprócz rekordu, Mistrzyni zaprezentowała swoją siłę także na inne sposoby – unosząc samochód oraz podnosząc nad głowę ponad 80-kilogramowego mężczyznę.",0,0.06918238993710692
130,1,"Rozwiązując swoją drugą zagadkę kryminalną, młoda detektywka po raz kolejny zabiera młodych czytelników w pasjonującą podróż po barwnym świecie opactwa benedyktyńskiego","Rozwiązując swoją drugą zagadkę kryminalną, młoda osoba detektywistyczna po raz kolejny zabiera młodych czytelników w pasjonującą podróż po barwnym świecie opactwa benedyktyńskiego","Rozwiązując swoją drugą zagadkę kryminalną, młoda osoba detektywistyczna po raz kolejny zabiera młodych osób czytelniczych w pasjonującą podróż po barwnym świecie opactwa benedyktyńskiego",1,0.058823529411764705
141,1,Sędzia także to zauważył.,Osoba sędziowska także to zauważył.,Osoba sędziowska także to zauważyła.,1,0.027777777777777776
142,1,Straciła zezwolenie i została oskarżona. 72-letnia farmaceutka sprzedawała więcej niż jej pracownicy.,Straciła zezwolenie i została oskarżona. 72-letnia osoba farmaceucka sprzedawała więcej niż jej pracownicy.,Straciła zezwolenie i została oskarżona. 72-letnia osoba farmaceucka sprzedawała więcej niż jej osoby pracownicze.,1,0.07017543859649122
146,1,Logopeda diagnozuje i leczy wady wymowy u dzieci i dorosłych. ,Osoba logopedzka diagnozuje i leczy wady wymowy u dzieci i dorosłych. ,Osoba logopedzka diagnozuje i leczy wady wymowy u dzieci i dorosłych.,1,0.014285714285714285
147,1,"W takiej sytuacji decyzję podejmuje sam podatnik, który samodzielnie wypełnia roczne zeznanie podatkowe i nie musi przy tym pytać urzędników o zdanie.","W takiej sytuacji decyzję podejmuje sama osoba podatnicza, który samodzielnie wypełnia roczne zeznanie podatkowe i nie musi przy tym pytać osób urzędniczych o zdanie.","W takiej sytuacji decyzję podejmuje sama osoba podatnicza, która samodzielnie wypełnia roczne zeznanie podatkowe i nie musi przy tym pytać osób urzędniczych o zdanie.",1,0.006024096385542169
148,1,"Wiadomość z Langley oznacza, że generał Jaruzelski wprowadzając stan wojenny ocalił 200 tysięcy ludzi, ale zaślepieni hunwejbini z IPN oraz prawicowi politycy i żurnaliści uważają inaczej.","Wiadomość z Langley oznacza, że osoba generalska Jaruzelski wprowadzając stan wojenny ocaliła 200 tysięcy ludzi, ale zaślepione osoby hunwejbińskie z IPN oraz prawicowe osoby polityckie i żurnalistyczne uważają inaczej.","Wiadomość z Langley oznacza, że osoba generalska Jaruzelski wprowadzając stan wojenny ocaliła 200 tysięcy ludzi, ale zaślepieni hunwejbini z IPN oraz prawicowi politycy i żurnaliści uważają inaczej.",1,0.1278538812785388
154,1,"Wynikałoby też przynajmniej, że koalicjanci nie zamierzają walczyć między sobą w ten sposób, rezerwując ewentualnie takie metody do walki z pozakoalicyjnym przeciwnikiem.","Wynikałoby też przynajmniej, że osoby koalicjanckie nie zamierzają walczyć między sobą w ten sposób, rezerwując ewentualnie takie metody do walki z pozakoalicyjną osobą przeciwniczą.","Wynikałoby też przynajmniej, że osoby koalicjanckie nie zamierzają walczyć między sobą w ten sposób, rezerwując ewentualnie takie metody do walki z pozakoalicyjnym osobą przeciwniczą.",1,0.01092896174863388
159,1,"Jako ceniony cukiernik trafił od razu do jednego z pięciogwiazdkowych hoteli w stolicy kraju, Seulu.","Jako ceniona osoba cukeirnicza trafił od razu do jednego z pięciogwiazdkowych hoteli w stolicy kraju, Seulu.","Jako ceniony cukiernik trafił od razu do jednego z pięciogwiazdkowych hoteli w stolicy kraju, Seulu.",0,0.1111111111111111
177,1,Naczelnik ulicznych rzeźników wykrzywił twarz.,Osoba naczelnicza ulicznych osób rzeźniczych wykrzywił twarz.,Osoba Naczelnicza ulicznych osób rzeźniczych wykrzywiła twarz.,1,0.03225806451612903
180,1,Wicepremier Roman Malinowski pyta o rozmiary sił i środków niezbędnych dla przeprowadzenia tej akcji i czy możliwe będzie zbudowanie tych przegród na Wiśle do 15 bm.,Osoba wicepremierska Roman Malinowski pyta o rozmiary sił i środków niezbędnych dla przeprowadzenia tej akcji i czy możliwe będzie zbudowanie tych przegród na Wiśle do 15 bm.,Osoba wicepremerska Roman Malinowski pyta o rozmiary sił i środków niezbędnych dla przeprowadzenia tej akcji i czy możliwe będzie zbudowanie tych przegród na Wiśle do 15 bm.,0,0.005747126436781609
181,1,"Zresztą dolina przechodziła dalej w ciągnącą się ze dwa kilometry i porośniętą sosnowym borem rozpadlinę, na której zamknięcie żołnierze potrzebowaliby z pięćdziesięciu ludzi.","Zresztą dolina przechodziła dalej w ciągnącą się ze dwa kilometry i porośniętą sosnowym borem rozpadlinę, na której zamknięcie osoby żołnierskie potrzebowałyby z pięćdziesięciu ludzi.","Zresztą dolina przechodziła dalej w ciągnącą się ze dwa kilometry i porośniętą sosnowym borem rozpadlinę, na której zamknięcie osoby żołnierskie potrzebowaliby z pięćdziesięciu ludzi.",1,0.01092896174863388
199,1,"Właścicielka 3 aptek we Wrocławiu, 72-letnia farmaceutka w ciągu zaledwie 5 lat sprzedała w swoich placówkach 200 tysięcy opakowań leków z pseudoefedryną.","Właścicielka 3 aptek we Wrocławiu, 72-letnia osoba farmaceucka w ciągu zaledwie 5 lat sprzedała w swoich placówkach 200 tysięcy opakowań leków z pseudoefedryną.","Osoba właścicielska 3 aptek we Wrocławiu, 72-letnia osoba farmaceucka w ciągu zaledwie 5 lat sprzedała w swoich placówkach 200 tysięcy opakowań leków z pseudoefedryną.",1,0.04790419161676647
201,1,"- Baczyw ty? – zwrócił się wąsaty do atamana, łypiąc groźnie na wijącego się w ich uściskach Kolę.","- Baczyw ty? – zwrócił się wąsaty do osoby atamańskiej, łypiąc groźnie na wijącego się w ich uściskach Kolę.","- Baczyw ty? – zwrócił się wąsaty do atamana, łypiąc groźnie na wijącego się w ich uściskach Kolę.",0,0.1111111111111111
204,1,"Nic, bo tu nie Rosja ani nie USA - Prezydent może niewiele.","Nic, bo tu nie Rosja ani nie USA - Osoba Prezydencka może niewiele.","Nic, bo tu nie Rosja ani nie USA - Osoba prezydencka może niewiele.",1,0.014925373134328358
207,1,"Kto z państwa senatorów jest za przyjęciem poprawek: dwudziestej trzeciej, dwudziestej szóstej, trzydziestej szóstej i czterdziestej, proszę o naciśnięcie przycisku ""za"".","Kto z państwa osób senatorskich jest za przyjęciem poprawek: dwudziestej trzeciej, dwudziestej szóstej, trzydziestej szóstej i czterdziestej, proszę o naciśnięcie przycisku ""za"".","Kto z państwa osób senatorskich jest za przyjęciem poprawek: dwudziestej trzeciej, dwudziestej szóstej, trzydziestej szóstej i czterdziestej, proszę o naciśnięcie przycisku ""za"".",1,0.016853932584269662
212,1,"Jego maksymalizm etyczny, każący mu zohydzać co tylko zohydzić się daje, nie jest tożsamy z surowością inkwizytora, palącego na stosie zatrute (lub napisane zatrutą ręką) dzieła.","Jego maksymalizm etyczny, każący mu zohydzać co tylko zohydzić się daje, nie jest tożsamy z surowością osoby inkwizytorskiej, palącego na stosie zatrute (lub napisane zatrutą ręką) dzieła.","Jego maksymalizm etyczny, każący mu zohydzać co tylko zohydzić się daje, nie jest tożsamy z surowością inkwizytora, palącego na stosie zatrute (lub napisane zatrutą ręką) dzieła.",0,0.05851063829787234
216,1,"Czy zatem sytuacja dwóch najludniejszych krajów, gdzie mieszka więcej niż jedna trzecia ludzkości, dowodzi, że XIX-wieczny demograf ma rację?","Czy zatem sytuacja dwóch najludniejszych krajów, gdzie mieszka więcej niż jedna trzecia ludzkości, dowodzi, że XIX-wieczna osoba zajmująca się demografią ma rację?","Czy zatem sytuacja dwóch najludniejszych krajów, gdzie mieszka więcej niż jedna trcia ludzkości, dowodzi, że XIX-wieczny demograf ma rację?",0,0.15337423312883436
217,1,Ta wróżbitka wie wszystko na Twój temat!,Ta osoba wróżbicka wie wszystko na Twój temat!,Ta osoba wróżbitska wie wszystko na Twój temat!,1,0.0425531914893617
218,1,Wiele z tych eksponatów przywędrowało do Szkoły z okrętów - pomagają teraz słuchaczom w ugruntowaniu zdobywanej wiedzy teoretycznej.,Wiele z tych eksponatów przywędrowało do Szkoły z okrętów - pomagają teraz osobom słuchackim w ugruntowaniu zdobywanej wiedzy teoretycznej.,Wiele z tych eksponatów przywędrowało do Szkoły z okrętów - pomagają teraz osobom słuchackich w ugruntowaniu zdobywanej wiedzy teoretycznej.,1,0.014285714285714285
219,1,"""Wysokie obcasy"" zatytułowały reportaż o pani: ""Przyjaciółka prezydenta"".","""Wysokie obcasy"" zatytułowały reportaż o pani: “Osoba przyjacielska osoby prezydenckiej"".","""Wysokie obcasy"" zatytułowały reportaż o pani: ""Przyjaciółka osoby prezydenckiej"".",1,0.12359550561797752
221,1,"Dla Pekinu dysydent za granicą jest lepszy niż dysydent w więzieniu: pozostaje praktycznie nieszkodliwy, a nikt nie upomina się o jego uwolnienie.","Dla Pekinu osoba dysydncka za granicą jest lepsza niż osoba dysydencka w więzieniu: pozostaje praktycznie nieszkodliwa, a nikt nie upomina się o jej uwolnienie.","Dla Pekinu osoba dysydencka za granicą jest lepsza niż osoba dysydencka w więzieniu: pozostaje praktycznie nieszkodliwa, a nikt nie upomina się o jego uwolnienie.",1,0.018518518518518517
229,1,"Bo wtedy nie można by wszystkiego zwalić na trzy kasjerki, drukarza i Piotra C. – pośrednika.","Bo wtedy nie można by wszystkiego zwalić na trzy osoby kasjerskie, osobę drukarską i Piotra C. – osobę pośredniczącą.","Bo wtedy nie można by wszystkiego zwalić na trzy osoby kasjerskie, drukarskie i Piotra C. – osoby pośredniczej.",1,0.10256410256410256
242,1,"Jeden z kurierów, który miał wypadek motocyklowy, miał na nodze specjalne metalowe rusztowanie, w którym przemycał kilka kilogramów heroiny.","Jedna z osób kurierskich, która miała wypadek motocyklowy, miała na nodze specjalne metalowe rusztowanie, w którym przemycała kilka kilogramów heroiny.","Jedna z osób kurierskich, która miała wypadek motocyklowy, miała na nodze specjalne metalowe rusztowanie, w którym przemycał kilka kilogramów heroiny.",1,0.006622516556291391
245,1,"Teraz już przede mną tylko jeden kolejarz, jeden dziennikarz, a szofer wczoraj poleciał jak na skrzydłach.","Teraz już przede mną tylko jedna osoba kolejarska, jedna dziennikarska, a osoba szoferska wczoraj poleciała jak na skrzydłach.","Teraz już przede mną tylko jedna osoba kolejarska, jedna osoba dziennikarska, a osoba szoferska wczoraj poleciała jak na skrzydłach.",1,0.045454545454545456
246,1,14.01.1928 urodził się Tadeusz Dominik - jeden z najwybitniejszych malarzy polskich.,14.01.1928 urodził się Tadeusz Dominik - jedna z najwybitniejszych polskich osób malarskich.,14.01.1928 urodził się Tadeusz Dominik - jeden z najwybitniejszych osób malarskich polskich.,1,0.21739130434782608
248,1,I stąd być może - jak piszą zagraniczni dziennikarze - seria brutalnych morderstw.,I stąd być może - jak piszą zagraniczne osoby dziennikarskie - seria brutalnych morderstw.,I stąd być może - jak piszą zagraniczni osoby dziennikarskie - seria brutalnych morderstw.,1,0.011111111111111112
249,1,"W trakcie przesłuchania tancerz ""Hyrnych"" nie przyznał się do zarzucanych mu czynów, często zasłaniał się brakiem pamięci.","W trakcie przesłuchania osoba tancerska ""Hyrnych"" nie przyznała się do zarzucanych jej czynów, często zasłaniała się brakiem pamięci.","W trakcie przesłuchania osoba tancerska ""Hyrnych"" nie przyznała się do zarzucanych mu czynów, często zasłaniała się brakiem pamięci.",1,0.022556390977443608
250,1,Pojawią się też m.in. laureat nagrody za najlepsze nagranie Roku Chopinowskiego - Emanuel Ax i rosyjska pianistka reprezentująca USA - Bella Davidovich.,Pojawią się też m.in. laureat nagrody za najlepsze nagranie Roku Chopinowskiego - Emanuel Ax i rosyjska osoba pianistyczna reprezentująca USA - Bella Davidovich.,Pojawią się też m.in. osoba laureacka nagrody za najlepsze nagranie Roku Chopinowskiego - Emanuel Ax i rosyjska osoba pianistyczna reprezentująca USA - Bella Davidovich.,1,0.05325443786982249
252,1,- Sekretarz pokazał swój lwi pazur - komentował potem Zdzich.,- Osoba sekretarska pokazał swój lwi pazur - komentował potem Zdzich.,- Osoba sekretarska pokazała swój lwi pazur - komentowała potem Zdzich.,1,0.028169014084507043
254,1,"W turnieju dziewcząt do 14 lat mistrzynią Raciborza została Sabina Warta KKT Kędzierzyn Koźle (27 miejsce na liście PZT), wychowanka trenera M. Swadźby, od roku grająca w Kędzierzynie.","W turnieju dziewcząt do 14 lat osobą mistrzowską Raciborza została Sabina Warta KKT Kędzierzyn Koźle (27 miejsce na liście PZT), osoba wychowańcza osoby trenerskiej M. Swadźby, od roku grająca w Kędzierzynie.","W turnieju dziewcząt do 14 lat mistrzynią Raciborza została Sabina Warta KKT Kędzierzyn Koźle (27 miejsce na liście PZT), osoba wychowankowska osoby trenerskiej M. Swadźby, od roku grająca w Kędzierzynie.",1,0.07692307692307693
260,1,"Pracuje jako pediatra, więc czasu na pielenie grządek ma tyle, ile snu odmówi sobie bladym świtem: - Jadę na działkę rano, przed pracą, traktuję to jak poranną gimnastykę... - mówi.","Pracuje jako osoba zajmująca się pediatrią, więc czasu na pielenie grządek ma tyle, ile snu odmówi sobie bladym świtem: - Jadę na działkę rano, przed pracą, traktuję to jak poranną gimnastykę... - mówi.","Pracuje jako osoba pediatra, więc czasu na pielenie grządek ma tyle, ile snu odmówi sobie bladym świtem: - Jadę na działkę rano, przed pracą, traktuję to jak poranną gimnastykę... - mówi.",1,0.07920792079207921
261,1,"Zaś jako nekromanta z powołania, w imieniu tychże (nekromantów, nie slayerów) wypowiem się iż śmierć to nie postać, lecz polepszenie koniunktury.","Zaś jako osoba nekromancka z powołania, w imieniu tychże (osób nekromanckich, nie osób slayerskich) wypowiem się iż śmierć to nie postać, lecz polepszenie koniunktury.","Zaś jako nekromanta z powołania, w imieniu tychże (nekromantów, nie slayerów) wypowiem się iż śmierć to nie postać, lecz polepszenie koniunktury.",0,0.16766467065868262
263,1,"Dzień później trener Bogdan Pamuła zabrał swoich podopiecznych, tym razem pod sztandarem juniorskim, na mecz do Przemyśla.","Dzień później osoba trenerska Bogdan Pamuła zabrała swoje osoby podopieczne, tym razem pod sztandarem juniorskim, na mecz do Przemyśla.","Dzień później osoba trenerska Bogdan Pamuła zabrała swoich podopiecznych, tym razem pod sztandarem juniorskim, na mecz do Przemyśla.",1,0.08148148148148149
273,1,Skąd parlamentarzysta Platformy Obywatelskiej Jarosław Wałęsa (30 l.) ma kilkaset tysięcy dolarów w obligacjach?,Skąd osoba parlamentarystyczna Platformy Obywatelskiej Jarosław Wałęsa (30 l.) ma kilkaset tysięcy dolarów w obligacjach?,Skąd osoba parlamentarzystowska Platformy Obywatelskiej Jarosław Wałęsa (30 l.) ma kilkaset tysięcy dolarów w obligacjach?,1,0.040983606557377046
