,type,source_sentence,target_sentence,generated_text,score,lev
20,0,"Pisklęta albatrosów opuszczają gniazdo samodzielnie i nie otrzymują później żadnej pomocy, podczas gdy pisklęta innych gatunków są karmione nawet po tym, jak nauczyły się latać.","Pisklęta albatrosów opuszczają gniazdo samodzielnie i nie otrzymują później żadnej pomocy, podczas gdy pisklęta innych gatunków są karmione nawet po tym, jak nauczyły się latać.","Pisklęta albatrosów opuszczają gniazdo samodzielnie i nie otrzymują później żadnej pomocy, podczas gdy pisklęta innych gatunków są karmione nawet po tym, jak nauczyły się latać.",1,0.0
21,0,"Procesy tektoniczne sprawiły, że terrany tworzące blok australijsko-antarktyczny uległy reorganizacji i scaleniu.","Procesy tektoniczne sprawiły, że terrany tworzące blok australijsko-antarktyczny uległy reorganizacji i scaleniu.","Procesy tektoniczne sprawiły, że terrany tworzące blok australijsko-antarktyczny uległy reorganizacji i scaleniu.",1,0.0
23,0,"Angielska wersja powstała 27 czerwca 2003 roku, polska zaś 17 lipca 2004 roku.","Angielska wersja powstała 27 czerwca 2003 roku, polska zaś 17 lipca 2004 roku.","Angielska wersja powstała 27 czerwca 2003 roku, polska zaś 17 lipca 2004 roku.",1,0.0
28,0,Jeden z najlepszych przykładów odcisków tkanek miękkich na skamielinach dinozaurów stanowi odkrycie z Pietraroja we Włoszech.,Jeden z najlepszych przykładów odcisków tkanek miękkich na skamielinach dinozaurów stanowi odkrycie z Pietraroja we Włoszech.,Jeden z najlepszych przykładów odcisków tkanek miękkich na skamielinach dinozaurów stanowi odkrycie z Pietraroja we Włoszech.,1,0.0
31,0,"Liczne grupy wykształciły wyszukane struktury, jak rogi czy kryzy.","Liczne grupy wykształciły wyszukane struktury, jak rogi czy kryzy.","Liczne grupy wykształciły wyszukane struktury, jak rogi czy kryzy.",1,0.0
32,0,"W okresie tym powstało również kilka kościołów, głównie zbudowanych poza ścisłym centrum miasta.","W okresie tym powstało również kilka kościołów, głównie zbudowanych poza ścisłym centrum miasta.","W okresie tym powstało również kilka kościołów, głównie zbudowanych poza ścisłym centrum miasta.",1,0.0
34,0,"Istnieją wszystkożerne gatunki ptaków, które stosują wiele strategii zdobywania pokarmu, jak i odżywiają się różnymi rodzajami pożywienia, oraz gatunki z wąską specjalizacją pokarmową (stenofagi) koncentrujące się na zdobywaniu szczególnego rodzaju pokarmu, albo stosujące wyłącznie jedną technikę zdobywania pokarmu.","Istnieją wszystkożerne gatunki ptaków, które stosują wiele strategii zdobywania pokarmu, jak i odżywiają się różnymi rodzajami pożywienia, oraz gatunki z wąską specjalizacją pokarmową (stenofagi) koncentrujące się na zdobywaniu szczególnego rodzaju pokarmu, albo stosujące wyłącznie jedną technikę zdobywania pokarmu.","Istnieją wszystkożerne gatunki ptaków, które stosują wiele strategii zdobywania pokarmu, jak i odżywiają się różnymi rodzajami pożywienia, oraz gatunki z wąską specjalizacją pokarmową (stenofagi) koncentrujące się na zdobywaniu szczególnego rodzaju pokarmu, albo stosujące wyłącznie jedną technikę zdobywania pokarmu.",1,0.0
35,0,— Pod trzeci — powtórzyła matka.,— Pod trzeci — powtórzyła matka.,— Pod trzeci — powtórzyła matka.,1,0.0
36,0,"Koniec okresu kredowego wyznacza wymieranie, które wydarzyło się 66 milionów lat temu.","Koniec okresu kredowego wyznacza wymieranie, które wydarzyło się 66 milionów lat temu.","Koniec okresu kredowego wyznacza wymieranie, które wydarzyło się 66 milionów lat temu.",1,0.0
37,0,"Utopi! — wrzeszczał Piotruś i aż siniał i przysiadał na ziemię, obu się rękami brzucha własnego trzymając.","Utopi! — wrzeszczał Piotruś i aż siniał i przysiadał na ziemię, obu się rękami brzucha własnego trzymając.","Utopi! — wrzeszczał Piotruś i aż siniał i przysiadał na ziemię, obu się rękami brzucha własnego trzymając.",1,0.0
38,0,Akt unii lubelskiej.,Akt unii lubelskiej.,Akt unii lubelskiej.,1,0.0
44,0,"W trakcie dwóch pierwszych prób inwazji na Brytanię, dokonanych przez Cezara w 55 i 54 roku p.n.e., nie zdobyto żadnych terytoriów.","W trakcie dwóch pierwszych prób inwazji na Brytanię, dokonanych przez Cezara w 55 i 54 roku p.n.e., nie zdobyto żadnych terytoriów.","W trakcie dwóch pierwszych prób inwazji na Brytanię, dokonanych przez Cezara w 55 i 54 roku p.n.e., nie zdobyto żadnych terytoriów.",1,0.0
47,0,On tak się uspokaja po każdej pańskiej wizycie.,On tak się uspokaja po każdej pańskiej wizycie.,On tak się uspokaja po każdej pańskiej wizycie.,1,0.0
49,0,A toć żeście pierw dziesięć złotych dawali.,A toć żeście pierw dziesięć złotych dawali.,A toć żeście pierw dziesięć złotych dawali.,1,0.0
51,0,Ze względów kulturowych Rumunia pozostawała też w bliskich związkach z Francją.,Ze względów kulturowych Rumunia pozostawała też w bliskich związkach z Francją.,Ze względów kulturowych Rumunia pozostawała też w bliskich związkach z Francją.,1,0.0
57,0,"Komórka elementarna ma wymiary a1 = a2 = 4,913 Å i c = 5,405 Å i zawiera trzy jednostki (cząsteczki).","Komórka elementarna ma wymiary a1 = a2 = 4,913 Å i c = 5,405 Å i zawiera trzy jednostki (cząsteczki).","Komórka elementarna ma wymiary a1 = a2 = 4,913 Å i c = 5,405 Å i zawiera trzy jednostki (cząsteczki).",1,0.0
60,0,"— Owszem! — odparła pani, znowu stając.","— Owszem! — odparła pani, znowu stając.","— Owszem! — odparła pani, znowu stając.",1,0.0
62,0,"Natychmiast zaczęliśmy na nią dmuchać, ale była zdechła.","Natychmiast zaczęliśmy na nią dmuchać, ale była zdechła.","Natychmiast zaczęliśmy na nią dmuchać, ale była zdechła.",1,0.0
63,0,"Przekrój poprzeczny pnia w parku narodowym ""De Veluwe"" w Holandii.","Przekrój poprzeczny pnia w parku narodowym ""De Veluwe"" w Holandii.","Przekrój poprzeczny pnia w parku narodowym ""De Veluwe"" w Holandii.",1,0.0
65,0,"Częste są zbliźniaczenia, będące połączeniem kryształów lewych z prawymi, zrośniętych pod różnym kątem.","Częste są zbliźniaczenia, będące połączeniem kryształów lewych z prawymi, zrośniętych pod różnym kątem.","Częste są zbliźniaczenia, będące połączeniem kryształów lewych z prawymi, zrośniętych pod różnym kątem.",1,0.0
69,0,Owady i grzyby obniżają mechaniczną wytrzymałość drewna.,Owady i grzyby obniżają mechaniczną wytrzymałość drewna.,Owady i grzyby obniżają mechaniczną wytrzymałość drewna.,1,0.0
71,0,Pierwsze logo województwa pomorskiego zostało wyłonione w konkursie i oficjalnie ogłoszone 22 czerwca 2007 roku.,Pierwsze logo województwa pomorskiego zostało wyłonione w konkursie i oficjalnie ogłoszone 22 czerwca 2007 roku.,Pierwsze logo województwa pomorskiego zostało wyłonione w konkursie i oficjalnie ogłoszone 22 czerwca 2007 roku.,1,0.0
72,0,"Czworościenna komórka SO4 łączy się w każdym wierzchołku z sąsiednią, dzieląc z nią jeden atom tlenu.","Czworościenna komórka SO4 łączy się w każdym wierzchołku z sąsiednią, dzieląc z nią jeden atom tlenu.","Czworościenna komórka SO4 łączy się w każdym wierzchołku z sąsiednią, dzieląc z nią jeden atom tlenu.",1,0.0
73,0,"W jajowodzie jajo nabiera swój typowy wygląd: po kolei powstają żółtko, białko i skorupa.","W jajowodzie jajo nabiera swój typowy wygląd: po kolei powstają żółtko, białko i skorupa.","W jajowodzie jajo nabiera swój typowy wygląd: po kolei powstają żółtko, białko i skorupa.",1,0.0
78,0,— Czy ci się nie zdaje? — spytała pani z akcentem wielkiej wątpliwości.,— Czy ci się nie zdaje? — spytała pani z akcentem wielkiej wątpliwości.,— Czy ci się nie zdaje? — spytała pani z akcentem wielkiej wątpliwości.,1,0.0
80,0,"Rosły szybciej, wcześnie przystępowały do rozrodu.","Rosły szybciej, wcześnie przystępowały do rozrodu.","Rosły szybciej, wcześnie przystępowały do rozrodu.",1,0.0
81,0,"Ciepło wam, bąki? — zapytał.","Ciepło wam, bąki? — zapytał.","Ciepło wam, bąki? — zapytał.",1,0.0
83,0,Bastion królewski Zygmunta III Wazy.,Bastion królewski Zygmunta III Wazy.,Bastion królewski Zygmunta III Wazy.,1,0.0
85,0,"Taki układ baryczny powoduje cyrkulację mas powietrza i bardzo silne wiatry wiejące od bieguna do wybrzeży; także ukształtowanie powierzchni sprzyja powstawaniu silnych wiatrów katabatycznych, spływających z wyżynnego wnętrza lądu ku jego brzegom.","Taki układ baryczny powoduje cyrkulację mas powietrza i bardzo silne wiatry wiejące od bieguna do wybrzeży; także ukształtowanie powierzchni sprzyja powstawaniu silnych wiatrów katabatycznych, spływających z wyżynnego wnętrza lądu ku jego brzegom.","Taki układ baryczny powoduje cyrkulację mas powietrza i bardzo silne wiatry wiejące od bieguna do wybrzeży; także ukształtowanie powierzchni sprzyja powstawaniu silnych wiatrów katabatycznych, spływających z wyżynnego wnętrza lądu ku jego brzegom.",1,0.0
88,0,Później zademonstrowano ją podczas obchodów Dnia Zwycięstwa w Londynie.,Później zademonstrowano ją podczas obchodów Dnia Zwycięstwa w Londynie.,Później zademonstrowano ją podczas obchodów Dnia Zwycięstwa w Londynie.,1,0.0
92,0,Drogi europejskie przebiegające przez Wielką Brytanię i Irlandię.,Drogi europejskie przebiegające przez Wielką Brytanię i Irlandię.,Drogi europejskie przebiegające przez Wielką Brytanię i Irlandię.,1,0.0
96,0,Mogła się tam znajdować kaletka stawowa.,Mogła się tam znajdować kaletka stawowa.,Mogła się tam znajdować kaletka stawowa.,1,0.0
97,0,"Słynny jest również karnawał w Wenecji, który trwa przez pięć dni przed Środą Popielcową.","Słynny jest również karnawał w Wenecji, który trwa przez pięć dni przed Środą Popielcową.","Słynny jest również karnawał w Wenecji, który trwa przez pięć dni przed Środą Popielcową.",1,0.0
98,0,"Rumunia dysponuje trzema rodzajami sił zbrojnych: wojskami lądowymi, marynarką wojenną oraz siłami powietrznymi.","Rumunia dysponuje trzema rodzajami sił zbrojnych: wojskami lądowymi, marynarką wojenną oraz siłami powietrznymi.","Rumunia dysponuje trzema rodzajami sił zbrojnych: wojskami lądowymi, marynarką wojenną oraz siłami powietrznymi.",1,0.0
100,0,"Tabela nie uwzględnia wymarłych rzędów ptaków nowoczesnych, jak: Aepyornithiformes, Dinornithiformes, Diatrymiformes i Sandcoleiformes.","Tabela nie uwzględnia wymarłych rzędów ptaków nowoczesnych, jak: Aepyornithiformes, Dinornithiformes, Diatrymiformes i Sandcoleiformes.","Tabela nie uwzględnia wymarłych rzędów ptaków nowoczesnych, jak: Aepyornithiformes, Dinornithiformes, Diatrymiformes i Sandcoleiformes.",1,0.0
101,0,"Prawosławna Cerkiew Trójcy Świętej na Wyspie Króla Jerzego, otwarta w 2004 w rosyjskiej bazie Bellingshausen, jest czynna przez cały rok.","Prawosławna Cerkiew Trójcy Świętej na Wyspie Króla Jerzego, otwarta w 2004 w rosyjskiej bazie Bellingshausen, jest czynna przez cały rok.","Prawosławna Cerkiew Trójcy Świętej na Wyspie Króla Jerzego, otwarta w 2004 w rosyjskiej bazie Bellingshausen, jest czynna przez cały rok.",1,0.0
102,0,Ma dwie łaty i osiem dziur!,Ma dwie łaty i osiem dziur!,Ma dwie łaty i osiem dziur!,1,0.0
105,0,Granice hrabstwa Bristol na tle Anglii.,Granice hrabstwa Bristol na tle Anglii.,Granice hrabstwa Bristol na tle Anglii.,1,0.0
106,0,"Zwyczaj ten jest już ginący, choć na Białostocczyźnie spotykany jeszcze w połowie lat 60.","Zwyczaj ten jest już ginący, choć na Białostocczyźnie spotykany jeszcze w połowie lat 60.","Zwyczaj ten jest już ginący, choć na Białostocczyźnie spotykany jeszcze w połowie lat 60.",1,0.0
108,0,"Inne odpady drewniane (obrzynki, wióry, trociny itp.) są surowcem energetycznym.","Inne odpady drewniane (obrzynki, wióry, trociny itp.) są surowcem energetycznym.","Inne odpady drewniane (obrzynki, wióry, trociny itp.) są surowcem energetycznym.",1,0.0
109,0,"Okres architektury w stylu Tudorów przypadł na czas odbudowy miasta po pladze czarnej śmierci i charakteryzował się budową obiektów świeckich, głównie dworków i pałaców.","Okres architektury w stylu Tudorów przypadł na czas odbudowy miasta po pladze czarnej śmierci i charakteryzował się budową obiektów świeckich, głównie dworków i pałaców.","Okres architektury w stylu Tudorów przypadł na czas odbudowy miasta po pladze czarnej śmierci i charakteryzował się budową obiektów świeckich, głównie dworków i pałaców.",1,0.0
111,0,"Wynika to z dużej wysokości nad poziomem morza, co wiąże się z cieńszą warstwą atmosfery, oraz niskimi temperaturami, przez co zawartość pary wodnej w atmosferze jest niewielka i zmniejszają się fluktuacje termiczne, oraz braku zanieczyszczenia światłem; w efekcie możliwe jest uzyskiwanie bardzo wyraźnych obrazów kosmosu.","Wynika to z dużej wysokości nad poziomem morza, co wiąże się z cieńszą warstwą atmosfery, oraz niskimi temperaturami, przez co zawartość pary wodnej w atmosferze jest niewielka i zmniejszają się fluktuacje termiczne, oraz braku zanieczyszczenia światłem; w efekcie możliwe jest uzyskiwanie bardzo wyraźnych obrazów kosmosu.","Wynika to z dużej wysokości nad poziomem morza, co wiąże się z cieńszą warstwą atmosfery, oraz niskimi temperaturami, przez co zawartość pary wodnej w atmosferze jest niewielka i zmniejszają się fluktuacje termiczne, oraz braku zanieczyszczenia światłem; w efekcie możliwe jest uzyskiwanie bardzo wyraźnych obrazów kosmosu.",1,0.0
112,0,"Te mogą być specyficzne dla danego gatunku, jak i dla poszczególnych informacji przekazywanych przez osobniki tego samego gatunku.","Te mogą być specyficzne dla danego gatunku, jak i dla poszczególnych informacji przekazywanych przez osobniki tego samego gatunku.","Te mogą być specyficzne dla danego gatunku, jak i dla poszczególnych informacji przekazywanych przez osobniki tego samego gatunku.",1,0.0
115,0,"Stań, nie tak, ręka niżej, bądź milsza, twarz pochyl, spójrz w obiektyw!","Stań, nie tak, ręka niżej, bądź milsza, twarz pochyl, spójrz w obiektyw!","Stań, nie tak, ręka niżej, bądź milsza, twarz pochyl, spójrz w obiektyw!",1,0.0
118,0,W drugiej połowie XIX wieku muzyka instrumentalna wyraźnie ustępowała przed operą.,W drugiej połowie XIX wieku muzyka instrumentalna wyraźnie ustępowała przed operą.,W drugiej połowie XIX wieku muzyka instrumentalna wyraźnie ustępowała przed operą.,1,0.0
120,0,"Bryłki bursztynu zawierają niekiedy pochodzące z okresu kredy i kenozoiku szczątki zwierząt lub roślin, tzw. inkluzje.","Bryłki bursztynu zawierają niekiedy pochodzące z okresu kredy i kenozoiku szczątki zwierząt lub roślin, tzw. inkluzje.","Bryłki bursztynu zawierają niekiedy pochodzące z okresu kredy i kenozoiku szczątki zwierząt lub roślin, tzw. inkluzje.",1,0.0
121,0,Układ cząstek wynika po części ze struktury chemicznej cząsteczki.,Układ cząstek wynika po części ze struktury chemicznej cząsteczki.,Układ cząstek wynika po części ze struktury chemicznej cząsteczki.,1,0.0
124,0,"Kilka gatunków jest padlinożernych, niektóre z nich, jak sępy, wyspecjalizowały się w poszukiwaniu padliny.","Kilka gatunków jest padlinożernych, niektóre z nich, jak sępy, wyspecjalizowały się w poszukiwaniu padliny.","Kilka gatunków jest padlinożernych, niektóre z nich, jak sępy, wyspecjalizowały się w poszukiwaniu padliny.",1,0.0
125,0,"— Prawda, tylko że ja i w sobie chudnę","— Prawda, tylko że ja i w sobie chudnę","— Prawda, tylko że ja i w sobie chudnę",1,0.0
131,0,"Dla Bristolu to okres prosperity i rozwoju terytorialnego, toteż większość budownictwa w tym stylu znajduje się na przedmieściach miasta, głównie w Clifton.","Dla Bristolu to okres prosperity i rozwoju terytorialnego, toteż większość budownictwa w tym stylu znajduje się na przedmieściach miasta, głównie w Clifton.","Dla Bristolu to okres prosperity i rozwoju terytorialnego, toteż większość budownictwa w tym stylu znajduje się na przedmieściach miasta, głównie w Clifton.",1,0.0
132,0,"Ptaki leśne mogą być owadożerne, owocożerne albo odżywiać się nektarem.","Ptaki leśne mogą być owadożerne, owocożerne albo odżywiać się nektarem.","Ptaki leśne mogą być owadożerne, owocożerne albo odżywiać się nektarem.",1,0.0
133,0,"Obecnie podstawą gospodarki miasta jest przemysł lotniczy, następnie sektor finansowy, informatyczny oraz turystyka.","Obecnie podstawą gospodarki miasta jest przemysł lotniczy, następnie sektor finansowy, informatyczny oraz turystyka.","Obecnie podstawą gospodarki miasta jest przemysł lotniczy, następnie sektor finansowy, informatyczny oraz turystyka.",1,0.0
134,0,"Pan Łukasz, szczyptę tabaki u nosa trzymając, zaczął się słodko uśmiechać, a przekrzywiwszy głowę, patrzył na szkapę to z lewej, to z prawej strony.","Pan Łukasz, szczyptę tabaki u nosa trzymając, zaczął się słodko uśmiechać, a przekrzywiwszy głowę, patrzył na szkapę to z lewej, to z prawej strony.","Pan Łukasz, szczyptę tabaki u nosa trzymając, zaczął się słodko uśmiechać, a przekrzywiwszy głowę, patrzył na szkapę to z lewej, to z prawej strony.",1,0.0
135,0,"Rondel, żelazko i moździerz stały rzędem przy matce na ławie.","Rondel, żelazko i moździerz stały rzędem przy matce na ławie.","Rondel, żelazko i moździerz stały rzędem przy matce na ławie.",1,0.0
136,0,Oznakowanie tras europejskich w Polsce zaczęto wprowadzać ok.,Oznakowanie tras europejskich w Polsce zaczęto wprowadzać ok.,Oznakowanie tras europejskich w Polsce zaczęto wprowadzać ok.,1,0.0
137,0,Firma od czasów wojny produkowała również ręcznie wykonywane samochody i autobusy.,Firma od czasów wojny produkowała również ręcznie wykonywane samochody i autobusy.,Firma od czasów wojny produkowała również ręcznie wykonywane samochody i autobusy.,1,0.0
139,0,"A pójdźże do mamy, sieroto.","A pójdźże do mamy, sieroto.","A pójdźże do mamy, sieroto.",1,0.0
144,0,"Duże zwarte skupiska osób o innej narodowości występują w Południowym Tyrolu, odrębnością odznaczają się zwłaszcza wyspy.","Duże zwarte skupiska osób o innej narodowości występują w Południowym Tyrolu, odrębnością odznaczają się zwłaszcza wyspy.","Duże zwarte skupiska osób o innej narodowości występują w Południowym Tyrolu, odrębnością odznaczają się zwłaszcza wyspy.",1,0.0
149,0,XX wieku.,XX wieku.,XX wieku.,1,0.0
150,0,W 1707 Królestwo Anglii i Królestwo Szkocji zawarły Akt unii i unię personalną.,W 1707 Królestwo Anglii i Królestwo Szkocji zawarły Akt unii i unię personalną.,W 1707 Królestwo Anglii i Królestwo Szkocji zawarły Akt unii i unię personalną.,1,0.0
152,0,"Inne badania potwierdziły zdolność niektórych gatunków do głębokiego snu tylko jedną połową mózgu, podczas gdy druga pozostaje aktywna.","Inne badania potwierdziły zdolność niektórych gatunków do głębokiego snu tylko jedną połową mózgu, podczas gdy druga pozostaje aktywna.","Inne badania potwierdziły zdolność niektórych gatunków do głębokiego snu tylko jedną połową mózgu, podczas gdy druga pozostaje aktywna.",1,0.0
153,0,Turkcebilgi – projekt encyklopedii podobnej do Wikipedii w języku tureckim.,Turkcebilgi – projekt encyklopedii podobnej do Wikipedii w języku tureckim.,Turkcebilgi – projekt encyklopedii podobnej do Wikipedii w języku tureckim.,1,0.0
155,0,"Wiele gatunków odbywa dalekodystansowe wędrówki, tworząc formacje zwane kluczami, które pomagają ptakom w oszczędzaniu energii potrzebnej do lotu.","Wiele gatunków odbywa dalekodystansowe wędrówki, tworząc formacje zwane kluczami, które pomagają ptakom w oszczędzaniu energii potrzebnej do lotu.","Wiele gatunków odbywa dalekodystansowe wędrówki, tworząc formacje zwane kluczami, które pomagają ptakom w oszczędzaniu energii potrzebnej do lotu.",1,0.0
157,0,Często ptaki stosują oba te sposoby chłodzenia łącznie.,Często ptaki stosują oba te sposoby chłodzenia łącznie.,Często ptaki stosują oba te sposoby chłodzenia łącznie.,1,0.0
158,0,"Możliwa jest zmiana wyglądu kryształów kwarcu, stosowane są metody: rozgrzewanie i szybkie chłodzenie – powoduje wytworzenie licznych drobnych iryzujących pęknięć oraz wytworzenie mikrospękań umożliwiających barwienie; napromieniowanie – przemiana kryształu górskiego w kwarc dymny, intensyfikacja barwy niektórych barw; wygrzewanie – rozjaśnienie kwarcu dymnego i ametystu, zmiana barwy niektórych barw; powlekanie – polepszenie barwy; barwienie – wytworzenie oryginalnych barw podobnych do innych minerałów wybielanie – rozjaśnienie barwy kwarcu tygrysie oko.","Możliwa jest zmiana wyglądu kryształów kwarcu, stosowane są metody: rozgrzewanie i szybkie chłodzenie – powoduje wytworzenie licznych drobnych iryzujących pęknięć oraz wytworzenie mikrospękań umożliwiających barwienie; napromieniowanie – przemiana kryształu górskiego w kwarc dymny, intensyfikacja barwy niektórych barw; wygrzewanie – rozjaśnienie kwarcu dymnego i ametystu, zmiana barwy niektórych barw; powlekanie – polepszenie barwy; barwienie – wytworzenie oryginalnych barw podobnych do innych minerałów wybielanie – rozjaśnienie barwy kwarcu tygrysie oko.","Możliwa jest zmiana wyglądu kryształów kwarcu, stosowane są metody: rozgrzewanie i szybkie chłodzenie – powoduje wytworzenie licznych drobnych iryzujących pęknięć oraz wytworzenie mikrospękań umożliwiających barwienie; napromieniowanie – przemiana kryształu górskiego w kwarc dymny, intensyfikacja barwy niektórych barw; wygrzewanie – rozjaśnienie kwarcu dymnego i ametystu, zmiana barwy niektórych barw; powlekanie – polepszenie barwy; barwienie – wytworzenie oryginalnych barw podobnych do innych minerałów wybielanie – rozjaśnienie barwy kwarcu tygrysie oko.",1,0.0
160,0,"Z drugiej strony konieczność dostarczenia organizmowi dużej ilości pożywienia ogranicza rozmiary zwierzęcia, zwłaszcza zauropoda o niewielkiej głowie, bowiem wraz z rozmiarami wzrasta czas, który zwierzę musi poświęcić na jedzenie.","Z drugiej strony konieczność dostarczenia organizmowi dużej ilości pożywienia ogranicza rozmiary zwierzęcia, zwłaszcza zauropoda o niewielkiej głowie, bowiem wraz z rozmiarami wzrasta czas, który zwierzę musi poświęcić na jedzenie.","Z drugiej strony konieczność dostarczenia organizmowi dużej ilości pożywienia ogranicza rozmiary zwierzęcia, zwłaszcza zauropoda o niewielkiej głowie, bowiem wraz z rozmiarami wzrasta czas, który zwierzę musi poświęcić na jedzenie.",1,0.0
162,0,"Na ten widok pozostałe ptaki kierują się ku podstawie komina i kołując, zyskują na wysokości.","Na ten widok pozostałe ptaki kierują się ku podstawie komina i kołując, zyskują na wysokości.","Na ten widok pozostałe ptaki kierują się ku podstawie komina i kołując, zyskują na wysokości.",1,0.0
164,0,W 1864 r.,W 1864 r.,W 1864 r.,1,0.0
167,0,"Pierwsze odnotowane i potwierdzone lądowanie miało miejsce 24 stycznia 1895, na Przylądku Adare’a na Ziemi Wiktorii na Antarktydzie Wschodniej.","Pierwsze odnotowane i potwierdzone lądowanie miało miejsce 24 stycznia 1895, na Przylądku Adare’a na Ziemi Wiktorii na Antarktydzie Wschodniej.","Pierwsze odnotowane i potwierdzone lądowanie miało miejsce 24 stycznia 1895, na Przylądku Adare’a na Ziemi Wiktorii na Antarktydzie Wschodniej.",1,0.0
170,0,U poliandrycznych płatkonogów jest odwrotnie: mniej atrakcyjnie ubarwione samce wybierają jaskrawiej ubarwione samice.,U poliandrycznych płatkonogów jest odwrotnie: mniej atrakcyjnie ubarwione samce wybierają jaskrawiej ubarwione samice.,U poliandrycznych płatkonogów jest odwrotnie: mniej atrakcyjnie ubarwione samce wybierają jaskrawiej ubarwione samice.,1,0.0
171,0,"Szacowana długość życia to 73 lata, dostęp do służby zdrowia jest powszechny w dużych miastach, ale ograniczony na prowincjach.","Szacowana długość życia to 73 lata, dostęp do służby zdrowia jest powszechny w dużych miastach, ale ograniczony na prowincjach.","Szacowana długość życia to 73 lata, dostęp do służby zdrowia jest powszechny w dużych miastach, ale ograniczony na prowincjach.",1,0.0
172,0,Dostępność zależy od rodzaju.,Dostępność zależy od rodzaju.,Dostępność zależy od rodzaju.,1,0.0
173,0,Podczas II wojny światowej latem 1941 roku Smoleńsk został zdobyty w bitwie i prawie w całości zniszczony.,Podczas II wojny światowej latem 1941 roku Smoleńsk został zdobyty w bitwie i prawie w całości zniszczony.,Podczas II wojny światowej latem 1941 roku Smoleńsk został zdobyty w bitwie i prawie w całości zniszczony.,1,0.0
174,0,"Powietrzem nie są wypełnione tylko kości dłoni, czaszki, miednicy i przedramienia.","Powietrzem nie są wypełnione tylko kości dłoni, czaszki, miednicy i przedramienia.","Powietrzem nie są wypełnione tylko kości dłoni, czaszki, miednicy i przedramienia.",1,0.0
175,0,"Analiza kladystyczna razem z innymi nowoczesnymi technikami pomogła poradzić sobie z często niekompletnym, fragmentarycznym zapisem kopalnym.","Analiza kladystyczna razem z innymi nowoczesnymi technikami pomogła poradzić sobie z często niekompletnym, fragmentarycznym zapisem kopalnym.","Analiza kladystyczna razem z innymi nowoczesnymi technikami pomogła poradzić sobie z często niekompletnym, fragmentarycznym zapisem kopalnym.",1,0.0
