,type,source_sentence,target_sentence,generated_text,score,lev
22,1,"O Leszku Millerze piszą wszyscy, więc napisał też subtelny artysta w ""Tygodniku Solidarność”.","O Leszku Millerze piszą wszyscy, więc napisał też subtelna osoba artystyczna w ""Tygodniku Solidarność”.","O Leszku Millerze piszą wszyscy, więc napisał też subtelna osoba artystyczna w ""Tygodniku Solidarność”.",1,0.0
24,1,"Ja pisarzem nie jestem, żeby wątpliwości najmniejszych nie było.","Ja osobą pisarską nie jestem, żeby wątpliwości najmniejszych nie było.","Ja osobą pisarską nie jestem, żeby wątpliwości najmniejszych nie było.",1,0.0
25,1,"Ten, kto dyktuje warunki, kto powołał narratora i kto tak długo zostawiał bez odpowiedzi listy i faksy, przypomina sobie co jakiś czas o zaległych sprawach, poczynając od cieknącego kranu, a kończąc na bankowych dyspozycjach.","Ten, kto dyktuje warunki, kto powołał osobę narratorską i kto tak długo zostawiał bez odpowiedzi listy i faksy, przypomina sobie co jakiś czas o zaległych sprawach, poczynając od cieknącego kranu, a kończąc na bankowych dyspozycjach.","Osoba, która dyktuje warunki, kto powołał osobę narraterską i kto tak długo zostawiał bez odpowiedzi listy i faksy, przypomina sobie co jakiś czas o zaległych sprawach, poczynając od cieknącego kranu, a kończąc na bankowych dyspozycjach.",1,0.05907172995780591
26,1,Rok temu elbląskie Towarzystwo Opieki nad Zwierzętami oskarżyło gospodarza o okrutne traktowanie koni.,Rok temu elbląskie Towarzystwo Opieki nad Zwierzętami oskarżyło osobę gospodarską o okrutne traktowanie koni.,Rok temu elbląskie Towarzystwo Opieki nad Zwierzętami oskarżyło osobę gospodarską o okrutne traktowanie koni.,1,0.0
27,1,Gołębiarz zamieszkuje na brzegach lasów w pobliżu pól uprawnych.,Osoba gołębiarska zamieszkuje na brzegach lasów w pobliżu pól uprawnych.,Osoba gołębiarska zamieszkuje na brzegach lasów w pobliżu pól uprawnych.,1,0.0
29,1,Sekcja Krajowa Górnictwa składała poręczenie na etapie zażalenia na decyzję w sprawie zastosowania aresztu – mówi sędzia Rafał Lisak.,Sekcja Krajowa Górnictwa składała poręczenie na etapie zażalenia na decyzję w sprawie zastosowania aresztu – mówiła osoba sędziowska Rafał Lisak.,Sekcja Krajowa Górnictwa składała poręczenie na etapie zażalenia na decyzję w sprawie zastosowania aresztu – mówi osoba sędziowska Rafał Lisak.,1,0.013793103448275862
30,1,W 2000 roku sejneńscy mleczarze skupili ponad 23 mln litrów surowca.,W 2000 roku sejneńskie osoby mleczarskie skupiły ponad 23 mln litrów surowca.,W 2000 roku sejneńscy mleczarze skupili ponad 23 mln litrów surowca.,0,0.16883116883116883
33,1,"U młodej dziewczyny psychiatra rozpoznał początki choroby psychicznej, dziewczyna myśli o samobójstwie.","U młodej dziewczyny osoba zajmująca się psychiatrią rozpoznała początki choroby psychicznej, dziewczyna myśli o samobójstwie.","U młodej dziewczyny osoba psychiaterska rozpoznała początki choroby psychicznej, dziewczyna myśli o samobójstwie.",1,0.144
39,1,- Przystępujemy do głosowania nad wnioskiem Komisji Praw Człowieka i Praworządności oraz senatora Wyględowskiego o skreślenie pktu 1 w art. 7 ustawy.,- Przystępujemy do głosowania nad wnioskiem Komisji Praw Człowieka i Praworządności oraz osoby senatorskiej Wyględowskiego o skreślenie pktu 1 w art. 7 ustawy.,- Przystępujemy do głosowania nad wnioskiem Komisji Praw Człowieka i Praworządności oraz osoby senatorskiej Wyględowskiego o skreślenie pktu 1 w art. 7 ustawy.,1,0.0
40,1,"Ponownie zabrakło punktów juniora - powiedział opiekun Płomienia, Franciszek Hylla.","Ponownie zabrakło punktów osoby juniorskiej - powiedział opiekun Płomienia, Franciszek Hylla.","Ponownie zabrakło punktów osoby juniorskiej - powiedziała osoba opiekująca się Płomienia, Franciszek Hylla.",1,0.14018691588785046
41,1,"Na jaką cholerę zachęcono 100 lokatorów do zamontowania etażowego ogrzewania gazowego, jeśli teraz będą musieli je zlikwidować?","Na jaką cholerę zachęcono 100 osób lokatorskich do zamontowania etażowego ogrzewania gazowego, jeśli teraz będą musiały je zlikwidować?","Na jaką cholerę zachęcono 100 osób lokatorskich do zamontowania etażowego ogrzewania gazowego, jeśli teraz będą musieli je zlikwidować?",1,0.022222222222222223
42,1,Ta wizja macierzyństwa spotkała się z polemiką ze strony działaczki pacyfistycznej i feministycznej Madeleine Vernet (1878-1949).,Ta wizja macierzyństwa spotkała się z polemiką ze strony pacyfistycznej i feministycznej osoby działaczej Madeleine Vernet (1878-1949).,Ta wizja macierzyństwa spotkała się z polemiką ze strony osoby działaczej pacyfistycznej i feministycznej Madeleine Vernet (1878-1949).,1,0.2222222222222222
43,1,Pan minister odpowiedział: jest program.,Osoba ministerska odpowiedziała: jest program.,Osoba ministerska odpowiedziała: jest program.,1,0.0
45,1,Kilka dni temu na oddział trafiła prątkująca absolwentka gimnazjum.,Kilka dni temu na oddział trafiła prątkująca osoba absolwencka gimnazjum.,Kilka dni temu na oddział trafiła prątkująca osoba absolwencka gimnazjum.,1,0.0
46,1,Różowiutki sędzia uderzył pięścią w stół.,Różowiutka osoba sędziowska uderzyła pięścią w stół.,Różowiutka osoba sędziowska uderzyła pięścią w stół.,1,0.0
48,1,Lektura: Życie i niezwykłe sprawy żołnierza Iwana Czonkina.,Lektura: Życie i niezwykłe sprawy osoby żołnierskiej Iwana Czonkina.,Lektura: Życie i niezwykłe sprawy osoby żołnierskiej Iwana Czonkina.,1,0.0
50,1,Jego partnerka Magda Dobrowolska (21 l.) jest ekspedientką w sklepie.,Jego osoba partnerska Magda Dobrowolska (21 l.) jest osobą ekspediencką w sklepie.,Jego osoba partnerska Magda Dobrowolska (21 l.) jest osobą ekspediencką w sklepie.,1,0.0
52,1,Cały czas otwartą kwestią jest oddanie jej w ajencję dotychczasowej kierowniczce.,Cały czas otwartą kwestią jest oddanie jej w ajencję dotychczasowej osobie kierowniczej.,Cały czas otwartą kwestią jest oddanie jej w ajencję dotychczasowej osobie kierowniczej.,1,0.0
53,1,Bardzo charakterystyczne dla tego nastawienia były słowa kanclerza Josepha Wirtha wypowiedziane poufnie w 1922 r.: jedno oświadczam jasno i bez ogródek: Polskę trzeba wykończyć.,Bardzo charakterystyczne dla tego nastawienia były słowa osoby kanclerskiej Josepha Wirtha wypowiedziane poufnie w 1922 r.: jedno oświadczam jasno i bez ogródek: Polskę trzeba wykończyć.,Bardzo charakterystyczne dla tego nastawienia były słowa osoby kanclerskiej Josepha Wirtha wypowiedziane poufnie w 1922 r.: jedno oświadczam jasno i bez ogródek: Polskę trzeba wykończyć.,1,0.0
54,1,"To jest nauczka dla wszystkich: Justyna poszła do miejscowego lekarza, bo ją bolała noga.","To jest nauczka dla wszystkich: Justyna poszła do miejscowej osoby lekarskiej, bo ją bolała noga.","To jest nauczka dla wszystkich: Justyna poszła do miejscowej osoby lekarskiej, bo ją bolała noga.",1,0.0
55,1,"Na razie jedynie weto Kwaśniewskiego może powstrzymać pazernych awuesiarzy, którzy mnożąc urzędy rozbudowują dla siebie przechowalnię.","Na razie jedynie weto Kwaśniewskiego może powstrzymać pazerne osoby awuesiarskie, którzy mnożąc urzędy rozbudowują dla siebie przechowalnię.","Na razie jedynie weto Kwaśniewskiego może powstrzymać pazernych osób awuesiarskich, którzy mnożąc urzędy rozbudowują dla siebie przechowalnię.",1,0.04929577464788732
56,1,"Zatrzymał dwa konie rycerza, jako gwarancję jego powrotu, a w zamian dał mu ich równowartość w gotówce.","Zatrzymał dwa konie osoby rycerskiej, jako gwarancję jego powrotu, a w zamian dał jej ich równowartość w gotówce.","Zatrzymał dwa konie osoby rycerskiej, jako gwarancję jej powrotu, a w zamian dał mu ich równowartość w gotówce.",1,0.04424778761061947
58,1,"Niemieccy policjanci twierdzą, że w rachubę nie wchodzi kolizja z innym pojazdem.","Niemieckie osoby policjanckie twierdzą, że w rachubę nie wchodzi kolizja z innym pojazdem.","Niemieckie osoby policjanckie twierdzą, że w rachubę nie wchodzi kolizja z innym pojazdem.",1,0.0
59,1,– Oczywiście – w głosie recepcjonistki zabrzmiało zdumienie.,– Oczywiście – w głosie osoby pracującej w recepcji zabrzmiało zdumienie.,– Oczywiście – w głosie osoby pracującej w recepcji zabrzmiało zdumienie.,1,0.0
61,1,"Była mistrzyni świata w boksie, Agnieszka Rylik, znana również jako ""Lady Tyson"", ma poważne problemy ze zdrowiem.","Była osoba mistrzowska świata w boksie, Agnieszka Rylik, znana również jako ""Lady Tyson"", ma poważne problemy ze zdrowiem.","Była osoba mistrzowska świata w boksie, Agnieszka Rylik, znana również jako ""Lady Tyson"", ma poważne problemy ze zdrowiem.",1,0.0
64,1,"Lekarze i pielęgniarki o oczach czerwonych od niewyspania słaniali się na nogach ze zmęczenia, samoloty dowoziły szczepionkę z różnych końców świata: epidemia była przecież wtedy zaskoczeniem.","Osoby lekarskie i pielęgniarskie o oczach czerwonych od niewyspania słaniali się na nogach ze zmęczenia, samoloty dowoziły szczepionkę z różnych końców świata: epidemia była przecież wtedy zaskoczeniem.","Osoby lekarskie i pielęgniarskie o oczach czerwonych od niewyspania słaniły się na nogach ze zmęczenia, samoloty dowoziły szczepionkę z różnych końców świata: epidemia przecież była wtedy zaskoczeniem.",1,0.06435643564356436
66,1,"S. Wszedłem do banku, aby zająć kasjerów swoją osobą.","S. Wszedłem do banku, aby zająć osoby kasjerskie swoją osobą.","S. Wszedłem do banku, aby zająć osoby kasjerskie swoją osobą.",1,0.0
67,1,Czterech młodych żołnierzy w granatowych mundurach MSW mocno zapukało do drzwi.,Cztery młode osoby żołnierskie w granatowych mundurach MSW mocno zapukały do drzwi.,Czterech młodych osób żołnierskich w granatowych mundurach MSW mocno zapukało do drzwi.,1,0.12643678160919541
68,1,"To prawda, ale z drugiej strony nie ma nic gorszego niż wydać dużo pieniędzy, a potem mimo to biegać z kartą gwarancyjną za jaśnie wielmożnym panem (tfu) serwisantem.","To prawda, ale z drugiej strony nie ma nic gorszego niż wydać dużo pieniędzy, a potem mimo to biegać z kartą gwarancyjną za jaśnie wielmożną (tfu) osobą serwisancką.","To prawda, ale z drugiej strony nie ma nic gorszego niż wydać dużo pieniędzy, a potem mimo to biegać z kartą gwarancyjną za jaśnie wielmożnym panem (tfu) osobą serwisancką.",1,0.046511627906976744
70,1,"Za chwilę zgłosiła się ta sama recepcjonistka i bez wstępów, widocznie konsultowała rzecz z siostrą, powiedziała: - Łączę z działem obsługi pielgrzymów.","Za chwilę zgłosiła się ta sama osoba pracująca w recepcji i bez wstępów, widocznie konsultowała rzecz z siostrą, powiedziała: - Łączę z działem obsługi osób pielgrzymujących.","Za chwilę zgłosiła się ta sama osoba pracująca w recepcji i bez wstępów, widocznie konsultowała rzecz z siostrą, powiedziała: - Łączę z działem obsługi osób pielgrzymskich.",1,0.028735632183908046
74,1,"Do pracy naukowej wrócił również niedawny lider UP, RYSZARD BUGAJ.","Do pracy naukowej wróciła również niedawna osoba liderska UP, RYSZARD BUGAJ.","Do pracy naukowej wrócił również niedawna osoba liderska UP, RYSZARD BUGAJ.",1,0.013157894736842105
75,1,"W innych konkurencjach reprezentanci Ostrzeszowa zajmowali wysokie miejsca punktowe, które zapewniły w generalnej ocenie powiatowi 11-12 pozycję w Wielkopolsce.","W innych konkurencjach osoby reprezentanckie Ostrzeszowa zajmowały wysokie miejsca punktowe, które zapewniły w generalnej ocenie powiatowi 11-12 pozycję w Wielkopolsce.","W innych konkurencjach osoby reprezentanckie Ostrzeszowa zajmowały wysokie miejsca punktowe, które zapewniły w generalnej ocenie powiatowi 11-12 pozycję w Wielkopolsce.",1,0.0
76,1,"Jaka jest pewność, że Pismo Święte po wielu tłumaczeniach oddaje wiernie to, co autorzy mieli na myśli...","Jaka jest pewność, że Pismo Święte po wielu tłumaczeniach oddaje wiernie to, co osoby autorskie mialy na myśli...","Jaka jest pewność, że Pismo Święte po wielu tłumaczeniach oddaje wiernie to, co osoby autorskie miały na myśli...",1,0.008849557522123894
77,1,"Ekipa profesora Montagne'a, pracująca w Instytucie Pasteura nad mieszanką, prowadzącą do zmiany płci bez konieczności interwencji chirurgicznej, może poszczycić się sukcesem.","Ekipa osoby profesorskiej Montagne'a, pracująca w Instytucie Pasteura nad mieszanką, prowadzącą do zmiany płci bez konieczności interwencji chirurgicznej, może poszczycić się sukcesem.","Ekipa osoby profesorskiej Montagne'a, pracująca w Instytucie Pasteura nad mieszanką, prowadzącą do zmiany płci bez konieczności interwencji chirurgicznej, może poszczycić się sukcesem.",1,0.0
79,1,– bo on chyba jakimś dyrektorem przecież został nie?,– bo on chyba jakąś osobą dyrektorską przecież został nie?,– bo on chyba jakimś osobą dyrektorską przecież został nie?,1,0.03389830508474576
82,1,W latach 1954- 69 duszpasterz akademicki na Sorbonie.,W latach 1954- 69 osoba duszpasterska akademicki na Sorbonie.,W latach 1954- 69 duszpasterz akademicki na Sorbonie.,0,0.14754098360655737
84,1,"Pewnego dnia fotograf odkryje prawdę i będzie musiał zdecydować: czy kocha miłą powierzchowność Noelle czy fascynującą osobowość, ale i niezbyt kształtną figurę Abby.","Pewnego dnia osoba zajmująca się fotografią odkryje prawdę i będzie musiała zdecydować: czy kocha miłą powierzchowność Noelle czy fascynującą osobowość, ale i niezbyt kształtną figurę Abby.","Pewnego dnia osoba fotografska odkryje prawdę i będzie musiał zdecydować: czy kocha miłą powierzchowność Noelle czy fascynującą osobowość, ale i niezbyt kształtną figurę Abby.",1,0.09523809523809523
86,1,Biernacki może liczyć na poparcie polityków koalicji.,Biernacki może liczyć na poparcie osób polityckich koalicji.,Biernacki może liczyć na poparcie osób polityckich koalicji.,1,0.0
87,1,Zapytała ją o to psycholożka.,Zapytała ją o to osoba psychologiczna.,Zapytała ją o to osoba psychologiczna.,1,0.0
89,1,To nie może pani dawać dziecku normalnego mleka – dziwiła się sędzia Kubczak.,To nie może pani dawać dziecku normalnego mleka – dziwiła się osoba sędziowska Kubczak.,To nie może pani dawać dziecku normalnego mleka – dziwiła się osoba sędziowska Kubczak.,1,0.0
90,1,"Na przykład: ""W sprawie urlopu bezpłatnego zwrócę się do dyrektora.","Na przykład: ""W sprawie urlopu bezpłatnego zwrócę się do osoby dyrektorskiej.","Na przykład: ""W sprawie urlopu bezpłatnego zwrócę się do osoby dyrektorskiej.",1,0.0
91,1,"""W dzieciństwie byłem często chwalony"" - piszą o sobie uczestnicy jednego z moich seminariów dla osób, którym się w życiu nie wiedzie.","""W dzieciństwie byłem często chwalony"" - piszą o sobie osoby uczestnicze jednego z moich seminariów dla osób, którym się w życiu nie wiedzie.","""W dzieciństwie byłem często chwalony"" - piszą o sobie osoby uczestnicze jednego z moich seminariów dla osób, którym się w życiu nie wiedzie.",1,0.0
93,1,Grochulski - wskazał rudego - też robi za siebie i operatora radaru.,Grochulski - wskazał rudego - też robi za siebie i osobę operatorską radaru.,Grochulski - wskazał rudego - też robi za siebie i osoby operaterskiej radaru.,1,0.0641025641025641
94,1,"Jesienią zlikwidowano odprawy czasowe i celnicy zaczęli pobierać cło i podatek obrotowy, nakładając je także na opłaty licencyjne.","Jesienią zlikwidowano odprawy czasowe i osoby celnicze zaczęły pobierać cło i podatek obrotowy, nakładając je także na opłaty licencyjne.","Jesienią zlikwidowano odprawy czasowe i osoby celnicze zaczęły pobierać cło i podatek obrotowy, nakładając je także na opłaty licencyjne.",1,0.0
95,1,"Ktoś z Misji odbiera ich w tzw. strefie międzynarodowej, oprowadza po pokojach Nie organizujemy spotkań z zawodnikami, ale jeśli na kogoś się natkniemy, porozmawiać oczywiście można.","Ktoś z Misji odbiera ich w tzw. strefie międzynarodowej, oprowadza po pokojach Nie organizujemy spotkań z osobami zawodniczymi, ale jeśli na kogoś się natkniemy, porozmawiać oczywiście można.","Ktoś z Misji odbiera ich w tzw. strefie międzynarodowej, oprowadza po pokojach Nie organizujemy spotkań z osobami zawodniczymi, ale jeśli na kogoś się natkniemy, porozmawiać oczywiście można.",1,0.0
99,1,"Raz na kwartał zdarzy się dziecko, które tak przeraża dentysta, że nie ma mowy, by usiadło na fotel.","Raz na kwartał zdarzy się dziecko, które tak przeraża osoba dentystyczna, że nie ma mowy, by usiadło na fotel.","Raz na kwartał zdarzy się dziecko, które tak przeraża osoba dentystyczna, że nie ma mowy, by usiadło na fotel.",1,0.0
103,1,Niektórzy spośród demonstrantów odnieśli obrażenia.,Niektóre spośród osób demonstranckich odniosły obrażenia.,Niektórzy spośród osób demonstranckich odnieśli obrażenia.,1,0.10344827586206896
104,1,Załogę samolotu stanowi dwóch pilotów i inżynier pokładowy oraz sześć osób obsługi pokładowej.,Załogę samolotu stanowią dwie osoby pilockie i osoba inżynierska pokładowa oraz sześć osób obsługi pokładowej.,Załogę samolotu stanowi dwie osoby pilotackie i inżynierskie pokładowe oraz sześć osób obsługi pokładowej.,1,0.10909090909090909
107,1,"Słuchał go jak mowy prokuratorskiej i choć wszystko, co mówiła, było prawdą, jednak nie mógł stanąć po stronie oskarżyciela.","Słuchał go jak mowy prokuratorskiej i choć wszystko, co mówiła, było prawdą, jednak nie mógł stanąć po stronie osoby oskarżycielskiej.","Słuchał go jak mowy prokuratorskiej i choć wszystko, co mówiła, było prawdą, jednak nie mógł stanąć po stronie osoby oskarżycielskiej.",1,0.0
110,1,"Chce ich promować np. sam mistrz, który ma jeden ze swoich salonów także w Lublinie.","Chce ich promować np. sama osoba mistrzowska, która ma jeden ze swoich salonów także w Lublinie.","Chce ich promować np. sama osoba mistrzowska, która ma jeden ze swoich salonów także w Lublinie.",1,0.0
113,1,"Informację tygodnika ""Capital"", iż komisja śledcza Bundestagu ds. afery finansowej CDU zbada zarzuty przeciwko Siemensowi i b. kanclerzowi, potwierdził wczoraj szef komisji Volker Neumann.","Informację tygodnika ""Capital"", iż komisja śledcza Bundestagu ds. afery finansowej CDU zbada zarzuty przeciwko Siemensowi i b. osobie kanclerskiej, potwierdziła wczoraj osoba szefująca komisji Volker Neumann.","Informację tygodnika ""Capital"", iż komisja śledcza Bundestagu ds. afery finansowej CDU zbada zarzuty przeciwko Siemensowi i b. osobie kanclerskiej, potwierdziła wczoraj osoba szefowska komisji Volker Neumann.",1,0.019230769230769232
114,1,"Prosty chłopak, z zawodu ślusarz, a proszę, do czego doszedł: dwa domy, kilka samochodów, duże pieniądze.","Prosty chłopak, z zawodu osoba ślusarska, a proszę, do czego doszedł: dwa domy, kilka samochodów, duże pieniądze.","Prosty chłopak, z zawodu ślusarz, a proszę, do czego doszedł: dwa domy, kilka samochodów, duże pieniądze.",0,0.07964601769911504
116,1,- Takich dramatów można uniknąć! - apelują lekarze.,- Takich dramatów można uniknąć! - apelują osoby lekarskie.,- Takich dramatów można uniknąć! - apelują osoby lekarskie.,1,0.0
117,1,"Ponownie witam na naszym posiedzeniu podsekretarza stanu w Ministerstwie Gospodarki, pana ministra Wojciecha Katnera.","Ponownie witam na naszym posiedzeniu osobę podsekretarską stanu w Ministerstwie Gospodarki, osobę ministerską Wojciecha Katnera.","Ponownie witam na naszym posiedzeniu osobę podsekretarską stanu w Ministerstwie Gospodarki, osobę ministerską Wojciecha Katnera.",1,0.0078125
119,1,Nie zawsze przecież skutkowała interwencja u dyrektora szkoły.,Nie zawsze przecież skutkowała interwencja u osoby dyrektorskiej szkoły.,Nie zawsze przecież skutkowała interwencja u osoby dyrektorskiej szkoły.,1,0.0
122,1,Wszyscy są już pod dozorem kuratora.,Wszyscy są już pod dozorem osoby kuratorskiej.,Wszyscy są już pod dozorem osoby kuratorskiej.,1,0.0
123,1,"Poseł od 1997 r. Andrzej Markowiak - 54 l., inżynier mechanik.","Osoba poselska od 1997 r. Andrzej Markowiak - 54 l., osoba inżynierska mechanicza.","Poseł od 1997 r. Andrzej Markowiak - 54 l., osoba inżynierska mechaniczna.",0,0.14634146341463414
126,1,"Ja sam w szkole chodziłem w czapce w kamuflarz z doszytym futerkiem ""na irokeza"" i budziłem niezdrowe emocje w rówieśnikach.","Ja sam w szkole chodziłem w czapce w kamuflarz z doszytym futerkiem ""na irokeza"" i budziłem niezdrowe emocje w osobach rówieśniczych.","Ja sam w szkole chodziłem w czapce w kamuflarz z doszytym futerkiem ""na irokeza"" i budziłem niezdrowe emocje w rówieśnikach.",0,0.08270676691729323
127,1,"Kobieta schowała gotówkę do torebki, ale zanim wstała, przywitali ją policjanci po cywilnemu.","Kobieta schowała gotówkę do torebki, ale zanim wstała, przywitały ją osoby policjanckie po cywilnemu.","Kobieta schowała gotówkę do torebki, ale zanim wstała, przywitali ją osoby policjanckie po cywilnemu.",1,0.019801980198019802
128,1,Baszmaczkina sam niegdyś postawiłem w dzienniku obok kopisty Bartleby z noweli Melville'a.,Baszmaczkina sam niegdyś postawiłem w dzienniku obok osoby kopistycznej Bartleby z noweli Melville'a.,Baszmaczkina sam niegdyś postawiłem w dzienniku obok kopisty Bartleby z noweli Melville'a.,0,0.10891089108910891
129,1,"Oprócz rekordu, Mistrzyni zaprezentowała swoją siłę także na inne sposoby – unosząc samochód oraz podnosząc nad głowę ponad 80-kilogramowego mężczyznę.","Oprócz rekordu, Osoba Mistrzowska zaprezentowała swoją siłę także na inne sposoby – unosząc samochód oraz podnosząc nad głowę ponad 80-kilogramowego mężczyznę.","Oprócz rekordu, Mistrzyni zaprezentowała swoją siłę także na inne sposoby – unosząc samochód oraz podnosząc nad głowę ponad 80-kilogramowego mężczyznę.",0,0.06918238993710692
130,1,"Rozwiązując swoją drugą zagadkę kryminalną, młoda detektywka po raz kolejny zabiera młodych czytelników w pasjonującą podróż po barwnym świecie opactwa benedyktyńskiego","Rozwiązując swoją drugą zagadkę kryminalną, młoda osoba detektywistyczna po raz kolejny zabiera młodych czytelników w pasjonującą podróż po barwnym świecie opactwa benedyktyńskiego","Rozwiązując swoją drugą zagadkę kryminalną, młoda osoba detektywistyczna po raz kolejny zabiera młodych osób czytelniczych w pasjonującą podróż po barwnym świecie opactwa benedyktyńskiego",1,0.058823529411764705
138,1,W całym swoim życiu siedział tylko kilka miesięcy za pobicie policjanta.,W całym swoim życiu siedział tylko kilka miesięcy za pobicie osoby policjanckiej.,W całym swoim życiu siedział tylko kilka miesięcy za pobicie osoby policjanckiej.,1,0.0
140,1,"Współpracowałem z SB - ujawnia Roman Wrocławski, mistrz świata z 1982 roku.","Współpracowałem z SB - ujawnia Roman Wrocławski, osoba mistrzowska świata z 1982 roku.","Współpracowałem z SB - ujawnia Roman Wrocławski, osoba mistrzowska świata z 1982 roku.",1,0.0
141,1,Sędzia także to zauważył.,Osoba sędziowska także to zauważył.,Osoba sędziowska także to zauważyła.,1,0.027777777777777776
142,1,Straciła zezwolenie i została oskarżona. 72-letnia farmaceutka sprzedawała więcej niż jej pracownicy.,Straciła zezwolenie i została oskarżona. 72-letnia osoba farmaceucka sprzedawała więcej niż jej pracownicy.,Straciła zezwolenie i została oskarżona. 72-letnia osoba farmaceucka sprzedawała więcej niż jej osoby pracownicze.,1,0.07017543859649122
143,1,"- Co panowie zamawiają? - nachylił się barman w białym ogromnym turbanie, sztywnym jak mdłe ciastka z bitego białka, klaśnięcie go przywabiło.","- Co panowie zamawiają? - nachyliła się osoba barmańska w białym ogromnym turbanie, sztywnym jak mdłe ciastka z bitego białka, klaśnięcie go przywabiło.","- Co panowie zamawiają? - nachyliła się osoba barmańska w białym ogromnym turbanie, sztywnym jak mdłe ciastka z bitego białka, klaśnięcie go przywabiło.",1,0.0
145,1,"Wiktor Piątkowski to znany w świecie kina polski scenarzysta,","Wiktor Piątkowski to znany w świecie kina polski osoba scenopisarska,","Wiktor Piątkowski to znany w świecie kina polski osoba scenopisarska,",1,0.0
146,1,Logopeda diagnozuje i leczy wady wymowy u dzieci i dorosłych. ,Osoba logopedzka diagnozuje i leczy wady wymowy u dzieci i dorosłych. ,Osoba logopedzka diagnozuje i leczy wady wymowy u dzieci i dorosłych.,1,0.014285714285714285
